WHereas	WHereas	cs	WHereas	whereas	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
there	there	a-acp	there	there	0
came	came	vvd	came	come	0
lately	lately	av-j	lately	late	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
an	an	dt	and	a	0
inso	inso	fw-la	inso	inso	0
∣	∣	sy	∣	∣	0
lēt	lēt	n1	lent	lent	0
bragge	bragge	vvi	brag	brag	0
or	or	cc	or	or	0
challēge	challēge	n1	challenge	challenge	0
contayning	contayning	vvg	containing	contain	0
nyne	nyne	crd	nyne	nine	0
poyntes	poyntes	n2	points	point	0
,	,	,	,	,	0
or	or	cc	or	or	0
articles	articles	n2	articles	article	0
,	,	,	,	,	0
and	and	cc	and	and	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
scribed	scribed	vvn	scribed	scribe	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Champion	Champion	n1	Champion	champion	0
a	a	dt	a	a	0
Iesuite	Iesuite	np1	Iesuite	Jesuit	0
and	and	cc	and	and	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
calleth	calleth	vvz	calls	call	0
himselfe	himselfe	px31	himself	himself	0
)	)	)	)	)	0
a	a	dt	a	a	0
Priest	Priest	n1	Priest	priest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
latelye	latelye	av-j	lately	late	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
riued	riued	vvn	rived	rive	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
directed	directed	vvn	directed	direct	0
vnto-your	vnto-your	j	vnto-your	vnto-your	0
Honours	Honours	ng1	Honours	honour	0
by	by	p-acp	by	by	0
waye	waye	n1	way	way	0
of	of	pp-f	of	of	0
humble	humble	j	humble	humble	0
sute	sute	n1	suit	suit	0
and	and	cc	and	and	0
petition	petition	n1	petition	petition	0
:	:	:	:	:	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
duety	duety	n1	duty	duty	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
fauoure	fauoure	n1	favour	favour	0
,	,	,	,	,	0
and	and	cc	and	and	0
correction	correction	n1	correction	correction	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
scanne	scanne	vvi	scan	scan	0
his	his	po31	his	his	0
drift	drift	n1	drift	drift	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
answeare	answeare	n1	answer	answer	0
his	his	po31	his	his	0
bragges	bragges	n2	brags	brag	0
and	and	cc	and	and	0
challenge	challenge	n1	challenge	challenge	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
forth	forth	av	forth	forth	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
concernes	concernes	vvz	concerns	concern	0
my	my	po11	my	my	0
degree	degree	n1	degree	degree	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cler	Cler	np1	Cler	Cler	0
∣	∣	sy	∣	∣	0
gie	gie	n1	gie	gie	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
His	His	po31	His	his	0
petition	petition	n1	petition	petition	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honours	honours	n2	honours	honour	0
for	for	p-acp	for	for	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
uoure	uoure	vvb	uoure	uoure	0
,	,	,	,	,	0
his	his	po31	his	his	0
quarell	quarell	n1	quarrel	quarrel	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Clergie	Clergie	n1	Clergy	clergy	0
for	for	p-acp	for	for	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
drift	drift	n1	drift	drift	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
farforth	farforth	av	farforth	farforth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
perceiued	perceiued	vvn	perceived	perceive	0
)	)	)	)	)	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
se	se	vvi	see	see	0
∣	∣	sy	∣	∣	0
duce	duce	fw-la	duce	duce	0
her	her	pno31	her	she	0
Maiestyes	Maiestyes	ng1	Majesties	majesties	0
louing	louing	n1	loving	love	0
and	and	cc	and	and	0
faythfull	faythfull	j	faithful	faithful	0
Subiectes	Subiectes	n2-jn	Subjects	subject	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
showe	showe	n1	show	show	0
of	of	pp-f	of	of	0
Catholike	Catholike	jp	Catholic	catholic	0
Priesthood	Priesthood	n1	Priesthood	priesthood	0
and	and	cc	and	and	0
profession	profession	n1	profession	profession	0
.	.	.	.	.	1
Vnto	Vnto	p-acp	Unto	unto	0
your	your	po22	your	your	0
honours	honours	ng1	honours	honour	0
he	he	pns31	he	he	0
directed	directed	vvd	directed	direct	0
the	the	dt	the	the	0
Challenge	Challenge	vvb	Challenge	challenge	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
receiued	receiued	vvn	received	receive	0
:	:	:	:	:	0
and	and	cc	and	and	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honours	honours	n2	honours	honour	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humility	humility	n1	humility	humility	0
I	I	pns11	I	i	0
send	send	vvb	send	send	0
it	it	pn31	it	it	0
answered	answered	vvd	answered	answer	0
submitting	submitting	vvg	submitting	submit	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
and	and	cc	and	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
wisedomes	wisedomes	n2	wisdoms	wisdom	0
