WHAT	WHAT	q-crq	WHAT	what	0
tyme	tyme	n1	time	time	0
as	as	a-acp	as	as	0
,	,	,	,	,	0
moste	moste	av-ds	most	most	0
graci	graci	fw-la	graci	graci	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
this	this	d	this	this	0
last	last	ord	last	last	0
year	year	n1	year	year	0
past	past	j	past	past	0
,	,	,	,	,	0
tooke	tooke	vvd	took	take	0
that	that	cst	that	that	0
your	your	po22	your	your	0
moost	moost	av-ds	most	most	0
honorable	honorable	j	honourable	honourable	0
and	and	cc	and	and	0
victori	victori	fw-la	victori	victori	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
iourney	iourney	n1	journey	journey	0
into	into	p-acp	into	into	0
Fraunce	Fraunce	np1	Fraunce	France	0
,	,	,	,	,	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
companied	companied	vvd	companied	company	0
vvith	vvith	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
porte	porte	n1	port	port	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nobilitie	Nobilitie	n1	Nobility	nobility	0
and	and	cc	and	and	0
yeomanrie	yeomanrie	n1	yeomanry	yeomanry	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
neyther	neyther	dx	neither	neither	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
lyke	lyke	av-j	like	like	0
knovven	knovven	vvn	known	know	0
by	by	p-acp	by	by	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
red	red	j-jn	read	red	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
Historie	Historie	n1	History	history	0
:	:	:	:	:	0
accompanied	accompanied	vvd	accompanied	accompany	0
also	also	av	also	also	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
daylie	daylie	j	daily	daily	0
prayers	prayers	n2	prayers	prayer	0
,	,	,	,	,	0
good	good	j	good	good	0
hartes	hartes	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvilles	vvilles	n2	wills	will	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
and	and	cc	and	and	0
euery	euery	d	every	every	0
one	one	pi	one	one	0
your	your	po22	your	your	0
graces	graces	n2	graces	grace	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
iectes	iectes	n2-jn	iectes	iecte	0
,	,	,	,	,	0
lefte	lefte	vvn	left	leave	0
behinde	behinde	p-acp	behind	behind	0
you	you	pn22	you	you	0
here	here	av	here	here	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
in	in	p-acp	in	in	0
En	En	fw-fr	En	en	0
∣	∣	sy	∣	∣	0
glande	glande	n1	gland	gland	0
:	:	:	:	:	0
the	the	dt	the	the	0
same	same	d	same	same	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beinge	beinge	vbg	being	be	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
in	in	p-acp	in	in	0
Cambrige	Cambrige	np1	Cambrige	Cambrige	0
,	,	,	,	,	0
sorie	sorie	j	sorry	sorry	0
that	that	cst	that	that	0
my	my	po11	my	my	0
litle	litle	j	little	little	0
habilitie	habilitie	n1	hability	hability	0
could	could	vmd	could	can	0
stretche	stretche	vvi	stretch	stretch	0
out	out	av	out	out	0
no	no	av-dx	no	no	0
better	better	av-jc	better	better	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
forvvard	forvvard	av-j	forward	forward	0
so	so	av	so	so	0
no	no	dx	no	no	0
¦	¦	sy	¦	¦	0
ble	ble	zz	ble	ble	0
an	an	zz	an	an	0
enterprice	enterprice	n1	enterprise	enterprise	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
vvith	vvith	p-acp	with	with	0
my	my	po11	my	my	0
good	good	j	good	good	0
vvylle	vvylle	n1	will	will	0
,	,	,	,	,	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
harte	harte	n1	heart	heart	0
,	,	,	,	,	0
nothinge	nothinge	pix	nothing	nothing	0
behynde	behynde	p-acp	behind	behind	0
hym	hym	pno31	him	he	0
that	that	cst	that	that	0
vvas	vvas	vbds	was	be	0
formoste	formoste	js	foremost	foremost	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
conceyued	conceyued	vvd	conceived	conceive	0
a	a	dt	a	a	0
vvonderful	vvonderful	j-vvn	wondered	wonder	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
bi	bi	p-acp	by	by	0
the	the	dt	the	the	0
praier	praier	n1	prayer	prayer	0
,	,	,	,	,	0
vvishing	vvishing	vvg	wishing	wish	0
,	,	,	,	,	0
talking	talking	vvg	talking	talk	0
,	,	,	,	,	0
&	&	cc	&	and	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
municatiō	municatiō	n1	munication	munication	0
that	that	cst	that	that	0
vvas	vvas	vbds	was	be	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
mās	mās	ng1	men	man	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Graces	Graces	n2	Graces	grace	0
moost	moost	av-ds	most	most	0
victoriouse	victoriouse	j	victorious	victorious	0
retourne	retourne	n1	return	return	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
vp	vp	a-acp	up	up	0
sumthinge	sumthinge	pi	something	something	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
home	home	n1-an	home	home	0
cumming	cumming	vvg	coming	come	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Highnesse	Highnesse	n1	Highness	highness	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
shuld	shuld	vmd	should	shall	0
both	both	d	both	both	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
mi	mi	fw-mi	mi	mi	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
deutie	deutie	n1	duty	duty	0
tovvard	tovvard	p-acp	toward	toward	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
&	&	cc	&	and	0
also	also	av	also	also	0
a	a	dt	a	a	0
signe	signe	n1	sign	sign	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
minde	minde	n1	mind	mind	0
and	and	cc	and	and	0
zeale	zeale	n1	zeal	zeal	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
vvarde	vvarde	n1	ward	ward	0
