Dedicated	Dedicated	vvn	Dedicated	dedicate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
and	and	cc	and	and	0
truely	truely	av-j	truly	true	0
Generous	Generous	j	Generous	generous	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
Robert	Robert	np1	Robert	Robert	0
Scot	Scot	np1	Scot	Scot	0
Laird	Laird	np1	Laird	Laird	0
of	of	pp-f	of	of	0
Horsliehill	Horsliehill	np1	Horsliehill	Horsliehill	0
,	,	,	,	,	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
VVilliam	VVilliam	np1	VVilliam	William	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Horsliehill	Horsliehill	np1	Horsliehill	Horsliehill	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
Robert-Scot	Robert-Scot	n1	Robert-Scot	robert-scot	0
Portioner	Portioner	n1	Portioner	portioner	0
and	and	cc	and	and	0
Baillie	Baillie	np1	Baillie	Baillie	0
of	of	pp-f	of	of	0
Hawick	Hawick	np1	Hawick	Hawick	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
fon	fon	fw-fr	fon	son	0
to	to	pc-acp	to	to	0
VVilliam	VVilliam	np1	VVilliam	William	0
Scot	Scot	np1	Scot	Scot	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
second	second	ord	second	second	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Laird	Laird	np1	Laird	Laird	0
of	of	pp-f	of	of	0
Midgup	Midgup	np1	Midgup	Midgup	0
,	,	,	,	,	0
Walter	Walter	np1	Walter	Walter	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Midgup	Midgup	np1	Midgup	Midgup	0
was	was	vbds	was	be	0
grand-child	grand-child	n1	grandchild	grandchild	0
to	to	p-acp	to	to	0
Adam	Adam	np1	Adam	Adam	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Tushilaw	Tushilaw	np1	Tushilaw	Tushilaw	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
David	David	np1	David	David	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Howpaslaw	Howpaslaw	np1	Howpaslaw	Howpaslaw	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
son	son	n1	son	son	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Sir	Sir	n1	Sir	sir	0
Walter	Walter	np1	Walter	Walter	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Howpaslaw	Howpaslaw	np1	Howpaslaw	Howpaslaw	0
,	,	,	,	,	0
their	their	po32	their	their	0
ori	ori	fw-la	ori	ori	0
∣	∣	sy	∣	∣	0
ginal	ginal	n-jn	ginal	ginal	0
was	was	vbds	was	be	0
from	from	p-acp	from	from	0
Buckcleugh	Buckcleugh	np1	Buckcleugh	Buckcleugh	0
.	.	.	.	.	1
