Dear	Dear	j-jn	Dear	dear	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Custom	Custom	n1	Custom	custom	0
of	of	pp-f	of	of	0
Dedicating	Dedicating	j-vvg	Dedicating	dedicate	0
Books	Books	n2	Books	book	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
ancient	ancient	j	ancient	ancient	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
usually	usually	av-j	usually	usual	0
dedicated	dedicated	vvn	dedicated	dedicate	0
either	either	d	either	either	0
to	to	p-acp	to	to	0
Great	Great	j	Great	great	0
Persons	Persons	n2	Persons	person	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
protection	protection	n1	protection	protection	0
or	or	cc	or	or	0
remuneration	remuneration	n1	remuneration	remuneration	0
;	;	;	;	;	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
Familiars	Familiars	n2-jn	Familiars	familiar	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
friendship	friendship	n1	friendship	friendship	0
and	and	cc	and	and	0
affection	affection	n1	affection	affection	0
;	;	;	;	;	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
admonition	admonition	n1	admonition	admonition	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
commend	commend	vvb	commend	commend	0
the	the	dt	the	the	0
reading	reading	n-vvg	reading	read	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Discourse	Discourse	n1	Discourse	discourse	0
following	following	vvg	following	follow	0
;	;	;	;	;	0
that	that	cst	that	that	0
so	so	av	so	so	0
beholding	beholding	vvg	beholding	behold	0
the	the	dt	the	the	0
18	18	crd	18	18	0
years	years	ng2	years	year	0
War	War	n1	War	war	0
by	by	p-acp	by	by	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
years	years	n2	years	year	0
you	you	pn22	you	you	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
then	then	av	then	then	0
remember	remember	vvi	remember	remember	0
;	;	;	;	;	0
and	and	cc	and	and	0
comparing	comparing	vvg	comparing	compare	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
18	18	crd	18	18	0
years	years	n2	years	year	0
of	of	pp-f	of	of	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
lived	lived	vvn	lived	live	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
consider	consider	vvi	consider	consider	0
three	three	crd	three	three	0
things	things	n2	things	thing	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
so	so	av	so	so	0
many	many	d	many	many	0
pains	pains	n2	pains	pain	0
and	and	cc	and	and	0
perils	perils	n2	perils	peril	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
lent	lent	vvn	lent	lend	0
Life	Life	n1	Life	life	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Father	Father	n1	Father	father	0
to	to	p-acp	to	to	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
your	your	po22	your	your	0
Education	Education	n1	Education	education	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
proportion	proportion	n1	proportion	proportion	0
his	his	po31	his	his	0
recompence	recompence	n1	recompense	recompense	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Services	Services	n2	Services	service	0
.	.	.	.	.	1
Lastly	Lastly	ord	Lastly	last	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
just	just	j	just	just	0
cause	cause	n1	cause	cause	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
to	to	pc-acp	to	to	0
abandon	abandon	vvi	abandon	abandon	0
the	the	dt	the	the	0
thoughts	thoughts	n2	thoughts	thought	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
dangerous	dangerous	j	dangerous	dangerous	0
and	and	cc	and	and	0
uncertain	uncertain	j	uncertain	uncertain	0
courses	courses	n2	courses	course	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
follow	follow	vvi	follow	follow	0
the	the	dt	the	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Precepts	Precepts	n2	Precepts	precept	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
commend	commend	vvb	commend	commend	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
often	often	av	often	often	0
perusal	perusal	n1	perusal	perusal	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
place	place	n1	place	place	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
put	put	vvi	put	put	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
small	small	j	small	small	0
Means	Means	n2	Means	mean	0
and	and	cc	and	and	0
For	For	c-acp	For	for	0
∣	∣	sy	∣	∣	0
tune	tune	n1	tune	tune	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
leave	leave	vvi	leave	leave	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
rate	rate	vvi	rate	rate	0
your	your	po22	your	your	0
Expences	Expences	n2	Expenses	expense	0
accordingly	accordingly	av-vvg	accordingly	accord	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
as	as	c-acp	as	as	0
little	little	j	little	little	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
'tis	'tis	pn31|vbz	it's	it|be	0
great	great	j	great	great	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
I	I	pns11	I	i	0
attained	attained	vvd	attained	attain	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
own	own	d	own	own	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
vours	vours	n2	vours	vour	0
and	and	cc	and	and	0
dangers	dangers	n2	dangers	danger	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
no	no	dx	no	no	0
body	body	n1	body	body	0
can	can	vmb	can	can	0
challenge	challenge	vvi	challenge	challenge	0
Interest	Interest	n1	Interest	interest	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
but	but	p-acp	but	but	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
