SIRS	SIRS	np1	SIRS	Sirs	0
,	,	,	,	,	0
FEasts	FEasts	n2	FEasts	feast	0
of	of	pp-f	of	of	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Charity	Charity	n1	Charity	charity	0
,	,	,	,	,	0
are	are	vbr	are	be	0
near	near	av-j	near	near	0
as	as	p-acp	as	as	0
old	old	j	old	old	0
as	as	c-acp	as	as	0
Christianity	Christianity	np1	Christianity	Christianity	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Primitive	Primitive	j	Primitive	primitive	0
Age	Age	n1	Age	age	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
Holy	Holy	j	Holy	holy	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
frequent	frequent	j	frequent	frequent	0
Pra	Pra	fw-it	Pra	pra	0
∣	∣	sy	∣	∣	0
ctice	ctice	n1	ctice	ctice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Professors	Professors	n2	Professors	professor	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Reli	Reli	j	Reli	reli	0
∣	∣	sy	∣	∣	0
gious	gious	j	gious	gious	0
Assembly	Assembly	n1	Assembly	assembly	0
;	;	;	;	;	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Performance	Performance	n1	Performance	performance	0
of	of	pp-f	of	of	0
Publick	Publick	j	Public	public	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Testimony	Testimony	n1	Testimony	testimony	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
mutual	mutual	j	mutual	mutual	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Charity	Charity	n1	Charity	charity	0
,	,	,	,	,	0
