MOst	MOst	ds	MOst	most	0
High	High	j	High	high	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
gra	gra	j	gram	great	0
∣	∣	sy	∣	∣	0
cious	cious	uh	cious	cious	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
present	present	vvi	present	present	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Excell	Excell	vvi	Excel	excel	0
:	:	:	:	:	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
faithfull	faithfull	j	faithful	faithful	0
Inhabitants	Inhabitants	n2	Inhabitants	inhabitant	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
vnited	vnited	j-vvn	united	unite	0
Prouin	Prouin	np1	Prouin	Prouin	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
,	,	,	,	,	0
the	the	dt	the	the	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
decease	decease	n1	decease	decease	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
and	and	cc	and	and	0
High-borne	High-borne	j	Highborn	high-born	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
Maurice	Maurice	np1	Maurice	Maurice	0
of	of	pp-f	of	of	0
Nassau	Nassau	np1	Nassau	Nassau	0
,	,	,	,	,	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Orange	Orange	n1	Orange	orange	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Both	Both	av-d	Both	both	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
life	life	n1	life	life	0
and	and	cc	and	and	0
death	death	n1	death	death	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
immortall	immortall	j	immortal	immortal	0
memory	memory	n1	memory	memory	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
small	small	j	small	small	0
matter	matter	n1	matter	matter	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
and	and	cc	and	and	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
very	very	av	very	very	0
great	great	j	great	great	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
great	great	j	great	great	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
doth	doth	vdz	does	do	0
here	here	av	here	here	0
speake	speake	vvi	speak	speak	0
his	his	po31	his	his	0
last	last	ord	last	last	0
words	words	n2	words	word	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
greatest	greatest	js	greatest	great	0
moment	moment	n1	moment	moment	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
doth	doth	vdz	does	do	0
here	here	av	here	here	0
fight	fight	vvi	fight	fight	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
fight	fight	n1	fight	fight	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
befall	befall	vvi	befall	befall	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
doth	doth	vdz	does	do	0
finish	finish	vvi	finish	finish	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
worke	worke	n1	work	work	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
labour	labour	n1	labour	labour	0
is	is	vbz	is	be	0
ended	ended	vvn	ended	end	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
see	see	vvb	see	see	0
him	him	pno31	him	he	0
goe	goe	vvi	go	go	0
from	from	p-acp	from	from	0
misery	misery	n1	misery	misery	0
into	into	p-acp	into	into	0
ioy	ioy	n1	joy	joy	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
leauing	leauing	vvg	leaving	leave	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
tumult	tumult	n1	tumult	tumult	0
of	of	pp-f	of	of	0
vnrest	vnrest	n1	unrest	unrest	0
.	.	.	.	.	1
It	It	pn31	It	it	0
