TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
MOST	MOST	av-ds	MOST	most	0
ILLUSTRIOUS	ILLUSTRIOUS	j	ILLUSTRIOUS	illustrious	0
PRINCE	PRINCE	n1	PRINCE	prince	0
James	James	np1	James	James	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Marques	Marques	np1	Marques	Marques	0
,	,	,	,	,	0
and	and	cc	and	and	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
,	,	,	,	,	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Brecknock	Brecknock	np1	Brecknock	Brecknock	0
and	and	cc	and	and	0
Ossery	Ossery	np1	Ossery	Ossery	0
,	,	,	,	,	0
Viscount	Viscount	np1	Viscount	Viscount	0
Thurles	Thurles	vvz	Thurles	thurle	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Arklow	Arklow	np1	Arklow	Arklow	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regalities	Regalities	n2	Regalities	regality	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
Palatin	Palatin	np1	Palatin	Palatin	0
of	of	pp-f	of	of	0
Tipperary	Tipperary	np1	Tipperary	Tipperary	0
;	;	;	;	;	0
Chancellor	Chancellor	n1	Chancellor	chancellor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Uni	Uni	fw-la	Uni	uni	0
∣	∣	sy	∣	∣	0
versities	versities	n2	versities	versity	0
of	of	pp-f	of	of	0
Oxford	Oxford	np1	Oxford	Oxford	0
and	and	cc	and	and	0
Dublin	Dublin	np1	Dublin	Dublin	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
General	General	n1	General	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
General	General	j	General	general	0
Governor	Governor	n1	Governor	governor	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Sommerset	Sommerset	np1	Sommerset	Somerset	0
,	,	,	,	,	0
the	the	dt	the	the	0
Citties	Citties	n2	Cities	city	0
of	of	pp-f	of	of	0
Bath	Bath	n1	Bath	bath	0
and	and	cc	and	and	0
Wells	Wells	np1	Wells	Wells	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
heigh	heigh	uh	heigh	hey	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Houshold	Houshold	n1	Household	household	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
honorable	honorable	j	honourable	honourable	0
privy	privy	j	privy	privy	0
Council	Council	n1	Council	council	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
