YOu	YOu	pn22	YOu	you	0
will	will	vmb	will	will	0
marvel	marvel	vvi	marvel	marvel	0
perhaps	perhaps	av	perhaps	perhaps	0
(	(	(	(	(	0
Re	Re	fw-mi	Re	re	0
∣	∣	sy	∣	∣	0
verend	verend	j	verend	verend	0
Lord	Lord	n1	Lord	lord	0
President	President	n1	President	precedent	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
hath	hath	vhz	hath	have	0
moved	moved	vvn	moved	move	0
me	me	pno11	me	i	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
Divine	Divine	j-jn	Divine	divine	0
by	by	p-acp	by	by	0
profession	profession	n1	profession	profession	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Religious	Religious	j	Religious	religious	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
concerning	concerning	vvg	concerning	concern	0
Health	Health	n1	Health	health	0
,	,	,	,	,	0
a	a	dt	a	a	0
Subject	Subject	j-jn	Subject	subject	0
proper	proper	j	proper	proper	0
to	to	p-acp	to	to	0
Physicians	Physicians	n2	Physicians	physician	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
concerning	concerning	vvg	concerning	concern	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
given	given	vvn	given	give	0
so	so	av	so	so	0
just	just	j	just	just	0
reasons	reasons	n2	reasons	reason	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Preface	Preface	n1	Preface	preface	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
work	work	n1	work	work	0
(	(	(	(	(	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
set	set	vvn	set	set	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
aim	aim	n1	aim	aim	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
undertakings	undertakings	n2-vvg	undertakings	undertake	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kind	kind	n1	kind	kind	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
away	away	av	away	away	0
all	all	d	all	all	0
