THe	THe	dt	THe	the	0
Common	Common	j	Common	common	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
eminent	eminent	j	eminent	eminent	0
Prince	Prince	n1	Prince	prince	0
)	)	)	)	)	0
makes	makes	vvz	makes	make	0
great	great	j	great	great	0
difference	difference	n1	difference	difference	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
Inheritance	Inheritance	n1	Inheritance	inheritance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
the	the	dt	the	the	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
states	states	n2	states	state	0
of	of	pp-f	of	of	0
Subjects	Subjects	n2-jn	Subject's	subject	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Heir	Heir	n1	Heir	heir	0
,	,	,	,	,	0
though	though	cs	though	though	0
of	of	pp-f	of	of	0
half	half	j-jn	half	half	0
Bloud	Bloud	n1	Blood	blood	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
inherit	inherit	vvi	inherit	inherit	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
did	did	vdd	did	do	0
Queen	Queen	n1	Queen	queen	0
Mary	Mary	vvi	Marry	marry	0
inherit	inherit	vvi	inherit	inherit	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
from	from	p-acp	from	from	0
Edward	Edward	np1	Edward	Edward	0
,	,	,	,	,	0
though	though	cs	though	though	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
half	half	j-jn	half	half	0
Bloud	Bloud	n1	Blood	blood	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
:	:	:	:	:	0
So	So	av	So	so	0
did	did	vdd	did	do	0
Queen	Queen	n1	Queen	queen	0
Eliza	Eliza	np1	Eliza	Eliza	0
∣	∣	sy	∣	∣	0
beth	beth	zz	beth	beth	0
from	from	p-acp	from	from	0
Queen	Queen	n1	Queen	queen	0
Mary	Mary	vvi	Marry	marry	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
was	was	vbds	was	be	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
half	half	j-jn	half	half	0
Bloud	Bloud	n1	Blood	blood	0
to	to	p-acp	to	to	0
her	her	pno31	her	she	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
no	no	dx	no	no	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
half	half	j-jn	half	half	0
Bloud	Bloud	n1	Blood	blood	0
shall	shall	vmb	shall	shall	0
inherit	inherit	vvi	inherit	inherit	0
any	any	d	any	any	0
Estate	Estate	n1	Estate	estate	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Heir	Heir	n1	Heir	heir	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Bloud	Bloud	n1	Blood	blood	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
Escheat	Escheat	n1	Escheat	escheat	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
upon	upon	p-acp	upon	upon	0
whom	whom	ro-crq	whom	who	0
