AMong	AMong	p-acp	AMong	among	0
al	al	d	all	all	0
thinges	thinges	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
vniuersall	vniuersall	j	universal	universal	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
moste	moste	av-ds	most	most	0
vertuous	vertuous	j	virtuous	virtuous	0
and	and	cc	and	and	0
gentle	gentle	j	gentle	gentle	0
prynce	prynce	n1	prince	prince	0
,	,	,	,	,	0
it	it	pn31	it	it	0
semeth	semeth	vvz	seemeth	seem	0
that	that	d	that	that	0
man	man	n1	man	man	0
onely	onely	av-j	only	only	0
can	can	vmb	can	can	0
chose	chose	vvi	chosen	choose	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
a	a	dt	a	a	0
state	state	n1	state	state	0
and	and	cc	and	and	0
ende	ende	n1	end	end	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
mynde	mynde	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
walkynge	walkynge	vvg	walking	walk	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
pathe	pathe	n1	path	path	0
,	,	,	,	,	0
that	that	cst	that	that	0
most	most	ds	most	most	0
pleaseth	pleaseth	vvz	pleases	please	0
him	him	pno31	him	he	0
,	,	,	,	,	0
canne	canne	vmb	can	can	0
rather	rather	av-c	rather	rather	0
rule	rule	vvi	rule	rule	0
his	his	po31	his	his	0
lyfe	lyfe	n1	life	life	0
freely	freely	av-j	freely	free	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cordinge	cordinge	vvg	cordinge	cordinge	0
to	to	p-acp	to	to	0
tharbitremente	tharbitremente	n1	tharbitremente	tharbitremente	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
will	will	n1	will	will	0
,	,	,	,	,	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
thinclination	thinclination	n1	thinclination	thinclination	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
ye	ye	pn22	you	you	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
thin	thin	j	thin	thin	0
∣	∣	sy	∣	∣	0
ges	ges	n1	ges	guess	0
be	be	vbi	be	be	0
diligently	diligently	av-j	diligently	diligent	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
special	special	j	special	special	0
kinds	kinds	n2	kinds	kind	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
haue	haue	vhi	have	have	0
bene	bene	vbn	be	be	0
appointed	appointed	vvn	appointed	appoint	0
and	and	cc	and	and	0
wyth	wyth	p-acp	with	with	0
an	an	dt	and	a	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
uyolable	uyolable	j	uyolable	uyolable	0
lawe	lawe	n1	law	law	0
assigned	assigned	vvn	assigned	assign	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
certeine	certeine	j	certain	certain	0
boundes	boundes	n2	bounds	bound	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
they	they	pns32	they	they	0
canne	canne	vmb	can	can	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
possible	possible	j	possible	possible	0
meanes	meanes	n2	means	mean	0
passe	passe	vvi	pass	pass	0
,	,	,	,	,	0
chaunging	chaunging	vvg	changing	change	0
into	into	p-acp	into	into	0
better	better	jc	better	better	0
or	or	cc	or	or	0
worse	worse	jc	worse	worse	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
beinge	beinge	vbg	being	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
was	was	vbds	was	be	0
graunted	graunted	vvn	granted	grant	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Whereas	Whereas	cs	Whereas	whereas	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
there	there	a-acp	there	there	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
frely	frely	av-j	freely	free	0
put	put	vvn	put	put	0
an	an	dt	and	a	0
abilitie	abilitie	n1	ability	ability	0
to	to	pc-acp	to	to	0
chose	chose	vvi	chosen	choose	0
a	a	dt	a	a	0
way	way	n1	way	way	0
wher	wher	q-crq	where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
he	he	pns31	he	he	0
mought	mought	vmd	might	may	0
lede	lede	vvi	lede	lead	0
his	his	po31	his	his	0
lyfe	lyfe	n1	life	life	0
moste	moste	av-ds	most	most	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
.	.	.	.	.	1
Ind	Ind	np1	Ind	Ind	0
almost	almost	av	almost	almost	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
newe	newe	j	new	new	0
Prometheus	Prometheus	np1	Prometheus	Prometheus	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
trās	trās	ng1	trans	trans	0
∣	∣	sy	∣	∣	0
forme	forme	vvi	form	form	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
into	into	p-acp	into	into	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
most	most	av-ds	most	most	0
willed	willed	vvn	willed	will	0
,	,	,	,	,	0
takynge	takynge	vvg	taking	take	0
lyke	lyke	av-j	like	like	0
a	a	dt	a	a	0
Cameleont	Cameleont	j	Cameleont	cameleont	0
the	the	dt	the	the	0
colour	colour	n1	colour	colour	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
those	those	d	those	those	0
thinges	thinges	n2	things	thing	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
with	with	p-acp	with	with	0
thaffecte	thaffecte	n1	thaffecte	thaffecte	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
nygh	nygh	av-j	nigh	nigh	0
.	.	.	.	.	1
And	And	cc	And	and	0
finally	finally	av-j	finally	final	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
eyther	eyther	av-d	either	either	0
earthly	earthly	j	earthly	earthly	0
or	or	cc	or	or	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
uyne	uyne	n1	vine	vine	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
ouer	ouer	a-acp	over	over	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
state	state	n1	state	state	0
,	,	,	,	,	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
elec	elec	fw-la	elec	elec	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
free	free	j	free	free	0
wil	wil	n1	will	will	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
most	most	av-ds	most	most	0
agreable	agreable	j	agreeable	agreeable	0
Whereby	Whereby	c-crq	Whereby	whereby	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
plainely	plainely	av-j	plainly	plain	0
sene	sene	vvn	seen	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
whiles	whiles	cs	while	while	0
men	men	n2	men	man	0
,	,	,	,	,	0
either	either	av-d	either	either	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
ill	ill	j-jn	ill	ill	0
chaunce	chaunce	n1	chance	chance	0
,	,	,	,	,	0
or	or	cc	or	or	0
their	their	po32	their	their	0
noughtie	noughtie	j	naughty	naughty	0
choyse	choyse	n1	choice	choice	0
,	,	,	,	,	0
lyue	lyue	vvi	live	live	0
holy	holy	j	holy	holy	0
