Much	Much	av-d	Much	much	0
Honoured	Honoured	vvn	Honoured	honour	0
LORD	LORD	n1	LORD	lord	0
;	;	;	;	;	0
LEt	LEt	vvb	LEt	let	0
the	the	dt	the	the	0
blisfull	blisfull	j	blissful	blissful	0
streames	streames	n2	streams	stream	0
of	of	pp-f	of	of	0
Gods	Gods	n2	Gods	god	0
eternall	eternall	j	eternal	eternal	0
mercies	mercies	n2	mercies	mercy	0
,	,	,	,	,	0
run	run	vvb	run	run	0
plentifully	plentifully	av-j	plentifully	plentiful	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
all	all	d	all	all	0
your	your	po22	your	your	0
Parliamentary	Parliamentary	j	Parliamentary	parliamentary	0
designes	designes	n2	designs	design	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
else	else	av	else	else	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
truly	truly	av-j	truly	true	0
prosperous	prosperous	j	prosperous	prosperous	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Acts	Acts	n2	Acts	act	0
of	of	pp-f	of	of	0
State	State	n1	State	state	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Religious	Religious	j	Religious	religious	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
intentions	intentions	n2	intentions	intention	0
for	for	p-acp	for	for	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
that's	that's	d|vbz	that's	that|be	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
next	next	ord	next	next	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
is	is	vbz	is	be	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
drop	drop	n1	drop	drop	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
