Dedicated	Dedicated	vvn	Dedicated	dedicate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
and	and	cc	and	and	0
much	much	av-d	much	much	0
respected	respected	vvn	respected	respect	0
generous	generous	j	generous	generous	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
Iames	Iames	np1	Iames	Iames	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Bristo	Bristo	np1	Bristo	Bristo	0
,	,	,	,	,	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
Mr.	Mr.	n1	Mr.	mr.	1
Iames	Iames	np1	Iames	Iames	0
Scot	Scot	np1	Scot	Scot	0
,	,	,	,	,	0
late	late	j	late	late	0
Parson	Parson	n1	Parson	parson	0
of	of	pp-f	of	of	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
crum	crum	n1	crumb	crumb	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
Iohn	Iohn	np1	Iohn	John	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Cachlack-know	Cachlack-know	j	Cachlack-know	cachlack-know	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
Walter	Walter	np1	Walter	Walter	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Mount-bernger	Mount-bernger	j	Mount-bernger	mount-berng	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
Robert	Robert	np1	Robert	Robert	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Mount-bernger	Mount-bernger	j	Mount-bernger	mount-berng	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
Simon	Simon	np1	Simon	Simon	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Mount-bernger	Mount-bernger	j	Mount-bernger	mount-berng	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
Simon	Simon	np1	Simon	Simon	0
Scot	Scot	n1	Scot	scot	0
of	of	pp-f	of	of	0
Dryhop	Dryhop	n1	Dryhop	dryhop	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
Son	Son	n1	Son	son	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Laird	Laird	np1	Laird	Laird	0
of	of	pp-f	of	of	0
Howpaslaw	Howpaslaw	np1	Howpaslaw	Howpaslaw	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Original	Original	j-jn	Original	original	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
Buckcleugh	Buckcleugh	np1	Buckcleugh	Buckcleugh	0
.	.	.	.	.	1
