SYR	SYR	n1	SYR	sir	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
without	without	p-acp	without	without	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
aumple	aumple	n1	aumple	aumple	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
dare	dare	vvb	dare	dare	0
take	take	vvi	take	take	0
vpon	vpon	p-acp	upon	upon	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
dedycate	dedycate	vvi	dedicate	dedicate	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
high	high	j	high	high	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
this	this	d	this	this	0
litle	litle	av-j	little	little	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
pologye	pologye	n1	pologye	pologye	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
contayneth	contayneth	vvz	containeth	contain	0
a	a	dt	a	a	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
fence	fence	n1	fence	fence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
formed	formed	vvn	formed	form	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Professors	Professors	n2	Professors	professor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
asmuch	asmuch	av	as	asmuch	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
hath	hath	vhz	hath	have	0
euen	euen	av	even	even	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
youth	youth	n1	youth	youth	0
,	,	,	,	,	0
vndertakē	vndertakē	vvn	undertaken	undertake	0
the	the	dt	the	the	0
defence	defence	n1	defence	defence	0
therof	therof	av	thereof	thereof	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
hasard	hasard	n1	hazard	hazard	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
life	life	n1	life	life	0
&	&	cc	&	and	0
gooddes	gooddes	n2	gods	god	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
fitly	fitly	av-j	fitly	fit	0
preferre	preferre	vvi	prefer	prefer	0
the	the	dt	the	the	0
iustification	iustification	n1	justification	justification	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
holy	holy	j	holy	holy	0
a	a	dt	a	a	0
cause	cause	n1	cause	cause	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Highnes	Highnes	n1	Highness	highness	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
alwayes	alwayes	av	always	always	0
maintayned	maintayned	vvn	maintained	maintain	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
words	words	n2	words	word	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
deedes	deedes	n2	deeds	deed	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
most	most	ds	most	most	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
Princely	Princely	j	Princely	princely	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
following	following	vvg	following	follow	0
the	the	dt	the	the	0
renowmed	renowmed	j-vvn	renowned	renown	0
footsteps	footsteps	n2	footsteps	footstep	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
Queen	Queen	n1	Queen	queen	0
of	of	pp-f	of	of	0
Nauarre	Nauarre	np1	Nauarre	Navarre	0
,	,	,	,	,	0
your	your	po22	your	your	0
mother	mother	n1	mother	mother	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
godlynes	godlynes	n1	godliness	godliness	0
,	,	,	,	,	0
curtesie	curtesie	n1	courtesy	courtesy	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
heroicall	heroicall	j	heroical	heroical	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
are	are	vbr	are	be	0
consecrated	consecrated	vvn	consecrated	consecrate	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
to	to	p-acp	to	to	0
most	most	ds	most	most	0
honorable	honorable	j	honourable	honourable	0
eternitie	eternitie	n1	eternity	eternity	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
led	led	vvn	led	lead	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
vpō	vpō	p-acp	upon	upon	0
me	me	pno11	me	i	0
this	this	d	this	this	0
defence	defence	n1	defence	defence	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
good	good	j	good	good	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
