DIuers	DIuers	j	Diverse	diverse	0
authors	authors	n2	authors	author	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
excelleut	excelleut	fw-fr	excelleut	excelleut	0
prince	prince	n1	prince	prince	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
setforth	setforth	zz	setforth	setforth	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
to	to	pc-acp	to	to	0
vs	vs	pno12	us	we	0
many	many	d	many	many	0
and	and	cc	and	and	0
sondrye	sondrye	j	sundry	sundry	0
alterations	alterations	n2	alterations	alteration	0
of	of	pp-f	of	of	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
:	:	:	:	:	0
And	And	cc	And	and	0
God	God	np1	God	God	0
him	him	pno31	him	he	0
self	self	n1	self	self	0
wold	wold	vmd	would	will	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
shuld	shuld	vmd	should	shall	0
be	be	vbi	be	be	0
taught	taught	vvn	taught	teach	0
these	these	d	these	these	0
thin	thin	j	thin	thin	0
∣	∣	sy	∣	∣	0
ges	ges	n1	ges	guess	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
mouth	mouth	n1	mouth	mouth	0
long	long	av-j	long	long	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
shoulde	shoulde	vmd	should	shall	0
come	come	vvi	come	come	0
so	so	av	so	so	0
passe	passe	vvi	pass	pass	0
.	.	.	.	.	1
And	And	cc	And	and	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
foure	foure	crd	foure	four	0
greate	greate	j	great	great	0
Monarchyes	Monarchyes	n2	Monarchies	monarchy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
greate	greate	j	great	great	0
aulteration	aulteration	n1	aulteration	aulteration	0
and	and	cc	and	and	0
succession	succession	n1	succession	succession	0
,	,	,	,	,	0
he	he	pns31	he	he	0
taughte	taughte	vvn	taught	teach	0
vs	vs	pno12	us	we	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Prophette	Prophette	n1	Prophet	prophet	0
Daniell	Daniell	np1	Daniell	Daniell	0
.	.	.	.	.	1
Whose	Whose	qg-crq	Whose	who	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
phecies	phecies	n2	phecies	phecy	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
mooste	mooste	av-ds	most	most	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
are	are	vbr	are	be	0
alreadye	alreadye	av	already	already	0
made	made	vvn	made	make	0
euidente	euidente	j	evident	evident	0
and	and	cc	and	and	0
manifest	manifest	j	manifest	manifest	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
wyth	wyth	p-acp	with	with	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
know	know	vvb	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
most	most	av-ds	most	most	0
pleasaunt	pleasaunt	j	pleasant	pleasant	0
and	and	cc	and	and	0
ful	ful	j	full	full	0
of	of	pp-f	of	of	0
consolation	consolation	n1	consolation	consolation	0
.	.	.	.	.	1
And	And	cc	And	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
alteration	alteration	n1	alteration	alteration	0
and	and	cc	and	and	0
contention	contention	n1	contention	contention	0
that	that	cst	that	that	0
shoulde	shoulde	vmd	should	shall	0
be	be	vbi	be	be	0
about	about	p-acp	about	about	0
Rely	Rely	vvb	Rely	rely	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
and	and	cc	and	and	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
both	both	d	both	both	0
the	the	dt	the	the	0
same	same	d	same	same	0
prophet	prophet	n1	prophet	prophet	0
hathe	hathe	vhz	hath	have	0
spoken	spoken	vvn	spoken	speak	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
and	and	cc	and	and	0
S.	S.	n1	S.	saint	0
Paule	Paule	np1	Paule	Paul	0
comminge	comminge	vvg	coming	come	0
after	after	p-acp	after	after	0
him	him	pno31	him	he	0
prophecieth	prophecieth	vvz	prophesieth	prophesy	0
also	also	av	also	also	0
manifestlye	manifestlye	av-j	manifestly	manifest	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
what	what	q-crq	what	what	0
sorte	sorte	n1	sort	sort	0
the	the	dt	the	the	0
same	same	d	same	same	0
shalbe	shalbe	vmb	shall	shall	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
