NOt	NOt	xx	NOt	not	0
long	long	av-j	long	long	0
sythens	sythens	a-acp	sythens	since	0
,	,	,	,	,	0
right	right	j-jn	right	right	0
hono	hono	fw-la	hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
especiall	especiall	j	especial	especial	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
deliuered	deliuered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
A	A	dt	A	a	0
collection	collection	n1	collection	collection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kinges	kinges	ng1	kings	king	0
prerogatiue	prerogatiue	n1	prerogative	prerogative	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
Maister	Maister	n1	Master	master	0
Staunforde	Staunforde	np1	Staunforde	Staunforde	0
had	had	vhd	had	have	0
gathered	gathered	vvn	gathered	gather	0
and	and	cc	and	and	0
dedicated	dedicated	vvn	dedicated	dedicate	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
woorke	woorke	n1	work	work	0
by	by	p-acp	by	by	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
thought	thought	vvn	thought	think	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Sages	Sages	n2-jn	Sages	sage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
printed	printed	vvn	printed	print	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
bolder	bolder	jc	bolder	bold	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
and	and	cc	and	and	0
publishe	publishe	vvi	publish	publish	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Maister	Maister	n1	Master	master	0
Staun	Staun	n1	Staun	staun	0
∣	∣	sy	∣	∣	0
forde	forde	n1	ford	ford	0
verie	verie	j	very	very	0
shortlye	shortlye	av-j	shortly	short	0
after	after	p-acp	after	after	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
hadd	hadd	vhd	had	have	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cated	cated	vvd	cated	cate	0
the	the	dt	the	the	0
same	same	d	same	same	0
booke	booke	n1	book	book	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
