HIppocrates	HIppocrates	np1	HIppocrates	HIppocrates	0
,	,	,	,	,	0
thauctor	thauctor	n1	thauctor	thauctor	0
and	and	cc	and	and	0
parent	parent	n1	parent	parent	0
preordina	preordina	n1	preordina	preordina	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
by	by	p-acp	by	by	0
Goddes	Goddes	npg1	Goddes	God	0
diuine	diuine	j-jn	divine	divine	0
prouidence	prouidence	n1	providence	providence	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
helthe	helthe	n1	health	health	0
,	,	,	,	,	0
welthe	welthe	n1	wealth	wealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
nifite	nifite	n1	nifite	nifite	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
mankynd	mankynd	n1	mankind	mankind	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
wordes	wordes	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
cthorities	cthorities	n2	cthorities	cthority	0
we	we	pns12	we	we	0
admitte	admitte	vvb	admit	admit	0
,	,	,	,	,	0
receiue	receiue	vvb	receive	receive	0
,	,	,	,	,	0
and	and	cc	and	and	0
allowe	allowe	vvi	allow	allow	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
Galen	Galen	np1	Galen	Galen	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Oracles	Oracles	n2	Oracles	oracle	0
from	from	p-acp	from	from	0
Hea	Hea	zz	Hea	hea	0
∣	∣	sy	∣	∣	0
uen	uen	n1	uen	uen	0
,	,	,	,	,	0
seemeth	seemeth	vvz	seems	seem	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
Earle	Earle	n1	Earl	earl	0
,	,	,	,	,	0
nei	nei	fw-la	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
written	written	vvn	written	write	0
rashely	rashely	av-j	rashly	rash	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
diuers	diuers	av-j	diverse	diverse	0
did	did	vdd	did	do	0
of	of	pp-f	of	of	0
olde	olde	j	old	old	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
vnprobably	vnprobably	av-j	unprobably	unprobable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
other	other	j-jn	other	other	0
haue	haue	n1	have	haven	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
,	,	,	,	,	0
wherof	wherof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
mention	mention	n1	mention	mention	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
gro	gro	n1	gro	gro	0
∣	∣	sy	∣	∣	0
wing	wing	n1	wing	wing	0
,	,	,	,	,	0
and	and	cc	and	and	0
liuing	liuing	j-vvg	living	live	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
But	But	p-acp	But	but	0
rather	rather	av	rather	rather	0
moste	moste	av-ds	most	most	0
diuinely	diuinely	av-jn	divinely	divine	0
,	,	,	,	,	0
and	and	cc	and	and	0
Philosophically	Philosophically	av-j	Philosophically	philosophical	0
in	in	p-acp	in	in	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
treating	treating	vvg	treating	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Elementes	Elementes	n2	Elements	element	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
life	life	n1	life	life	0
,	,	,	,	,	0
Fire	Fire	n1	Fire	fire	0
,	,	,	,	,	0
Ayre	Ayre	n1	Air	air	0
,	,	,	,	,	0
Water	Water	n1	Water	water	0
,	,	,	,	,	0
Earthe	Earthe	n1	Earth	earth	0
,	,	,	,	,	0
omitting	omitting	vvg	omitting	omit	0
with	with	p-acp	with	with	0
Hipp.	Hipp.	np1	Hipp.	Hipp.	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
simple	simple	j	simple	simple	0
,	,	,	,	,	0
Libr.	Libr.	np1	Libr.	Libr.	0
de	de	fw-fr	de	de	0
Carnibus	Carnibus	fw-la	Carnibus	carnibus	0
.	.	.	.	.	0
not	not	xx	not	not	0
receiuing	receiuing	vvg	receiving	receive	0
these	these	d	these	these	0
foure	foure	crd	foure	four	0
qualities	qualities	n2	qualities	quality	0
,	,	,	,	,	0
vt	vt	fw-la	vt	ut	0
Coelum	Coelum	fw-la	Coelum	coelum	0
,	,	,	,	,	0
Spherae	Spherae	np1	Spherae	Spherae	0
,	,	,	,	,	0
Stellae	Stellae	np1	Stellae	Stellae	0
,	,	,	,	,	0
Planetae	Planetae	np1	Planetae	Planetae	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Heauen	Heauen	n1	Heaven	heaven	0
,	,	,	,	,	0
Spheres	Spheres	n2	Spheres	sphere	0
,	,	,	,	,	0
Starres	Starres	n2	Stars	star	0
,	,	,	,	,	0
and	and	cc	and	and	0
Planets	Planets	n2	Planets	planet	0
,	,	,	,	,	0
entreateth	entreateth	vvz	entreateth	entreat	0
here	here	av	here	here	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
simple	simple	j	simple	simple	0
bo	bo	zz	bo	bo	0
∣	∣	sy	∣	∣	0
dies	dies	fw-la	dies	dies	0
,	,	,	,	,	0
the	the	dt	the	the	0
Elementes	Elementes	n2	Elements	element	0
,	,	,	,	,	0
receiuers	receiuers	n2	receivers	receiver	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
qualities	qualities	n2	qualities	quality	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
beginners	beginners	n2	beginners	beginner	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
Moone	Moone	n1	Moon	moon	0
:	:	:	:	:	0
whether	whether	cs	whither	whether	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
Inanimata	Inanimata	fw-la	Inanimata	inanimata	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
imperfectly	imperfectly	av-j	imperfectly	imperfect	0
mixt	mixt	vvn	mixed	mix	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Meteors	Meteors	n2	Meteors	meteor	0
,	,	,	,	,	0
or	or	cc	or	or	0
pefectly	pefectly	av-j	perfectly	perfect	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Mine	Mine	n1	Mine	mine	0
∣	∣	sy	∣	∣	0
rals	rals	n2-jn	rals	ral	0
,	,	,	,	,	0
or	or	cc	or	or	0
Animata	Animata	np1	Animata	Animata	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
life	life	n1	life	life	0
,	,	,	,	,	0
Vegetat	Vegetat	np1	Vegetat	Vegetat	0
,	,	,	,	,	0
sensit	sensit	fw-la	sensit	sensit	0
,	,	,	,	,	0
&	&	cc	&	and	0
Rati	Rati	fw-la	Rati	rati	0
∣	∣	sy	∣	∣	0
onal	onal	n1	onal	onal	0
,	,	,	,	,	0
growing	growing	vvg	growing	grow	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Hearbes	Hearbes	n2	Herbs	herb	0
,	,	,	,	,	0
Plan	Plan	np1	Plan	Plan	0
∣	∣	sy	∣	∣	0
tes	tes	fw-fr	tes	tes	0
,	,	,	,	,	0
and	and	cc	and	and	0
Trees	Trees	n2	Trees	tree	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Liuing	Liuing	vvg	Living	live	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Beastes	Beastes	n2	Beasts	beast	0
,	,	,	,	,	0
Foules	Foules	n2	Fowls	fowl	0
,	,	,	,	,	0
and	and	cc	and	and	0
Fishe	Fishe	n1	Fish	fish	0
,	,	,	,	,	0
and	and	cc	and	and	0
reasonable	reasonable	j	reasonable	reasonable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Mankinde	Mankinde	n1	Mankind	mankind	0
,	,	,	,	,	0
all	all	d	all	all	0
