WHereas	WHereas	cs	WHereas	whereas	0
noble	noble	j	noble	noble	0
Duke	Duke	n1	Duke	duke	0
and	and	cc	and	and	0
Duchesse	Duchesse	np1	Duchesse	Duchesse	0
,	,	,	,	,	0
I	I	pns11	I	i	0
like	like	vvb	like	like	0
a	a	dt	a	a	0
Fu	Fu	zz	Fu	fu	0
∣	∣	sy	∣	∣	0
nerall	nerall	n1	nerall	nerall	0
souldier	souldier	n1	soldier	soldier	0
,	,	,	,	,	0
march	march	vvb	march	march	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
and	and	cc	and	and	0
Muses	Muses	n2	Muses	muse	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
against	against	p-acp	against	against	0
your	your	po22	your	your	0
intire	intire	j	entire	entire	0
&	&	cc	&	and	0
friend	friend	n1	friend	friend	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
amitie	amitie	n1	amity	amity	0
&	&	cc	&	and	0
loue	loue	n1	love	love	0
you	you	pn22	you	you	0
euer	euer	av	ever	ever	0
bare	bare	j	bore	bare	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
deceased	deceased	j-vvn	deceased	decease	0
brother	brother	n1	brother	brother	0
;	;	;	;	;	0
and	and	cc	and	and	0
now	now	av	now	now	0
liuing	liuing	vvg	living	live	0
sister	sister	n1	sister	sister	0
,	,	,	,	,	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
and	and	cc	and	and	0
Princesse	Princesse	n1	Princess	princess	0
of	of	pp-f	of	of	0
Richmond	Richmond	np1	Richmond	Richmond	0
and	and	cc	and	and	0
Lenox	Lenox	np1	Lenox	Lenox	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
ioyne	ioyne	vvi	join	join	0
my	my	po11	my	my	0
defence	defence	n1	defence	defence	0
and	and	cc	and	and	0
loue	loue	n1	love	love	0
with	with	p-acp	with	with	0
yours	yours	png22	yours	you	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
Aduersarie	Aduersarie	n1	Adversary	adversary	0
of	of	pp-f	of	of	0
ours	ours	png12	ours	we	0
