AND	AND	cc	AND	and	0
now	now	av	now	now	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humble	humble	j	humble	humble	0
Submission	Submission	n1	Submission	submission	0
,	,	,	,	,	0
say	say	vvb	say	say	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
done	done	vdn	done	do	0
,	,	,	,	,	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
my	my	po11	my	my	0
[	[	[	[	[	0
Duty	Duty	n1	Duty	duty	0
]	]	]	]	]	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
strict	strict	j	strict	strict	0
Ties	Ties	n2	Ties	tie	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Oaths	Oaths	n2	Oaths	oath	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
Allegiance	Allegiance	n1	Allegiance	allegiance	0
and	and	cc	and	and	0
Supre	Supre	np1	Supre	Supre	0
∣	∣	sy	∣	∣	0
macy	macy	n1	macy	macy	0
,	,	,	,	,	0
requires	requires	vvz	requires	require	0
me	me	pno11	me	i	0
(	(	(	(	(	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
conceal	conceal	vvi	conceal	conceal	0
)	)	)	)	)	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
prove	prove	vvi	prove	prove	0
detrimental	detrimental	j	detrimental	detrimental	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
King	King	n1	King	king	0
and	and	cc	and	and	0
Country	Country	n1	Country	country	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesty	jesty	j	jesty	jesty	0
is	is	vbz	is	be	0
much	much	d	much	much	0
abused	abused	vvn	abused	abuse	0
,	,	,	,	,	0
the	the	dt	the	the	0
Country	Country	n1	Country	country	0
most	most	av-ds	most	most	0
grievously	grievously	av-j	grievously	grievous	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
jured	jured	vvn	jured	jure	0
,	,	,	,	,	0
and	and	cc	and	and	0
opprest	opprest	vvn	oppressed	oppress	0
;	;	;	;	;	0
