were	were	vbdr	were	be	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
sinned	sinned	vvd	sinned	sin	0
)	)	)	)	)	0
we	we	pns12	we	we	0
,	,	,	,	,	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Adam	Adam	np1	Adam	Adam	0
,	,	,	,	,	0
are	are	vbr	are	be	0
stripped	stripped	vvn	stripped	strip	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
ked	ked	n-vvn	ked	k	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Righteousnesse	Righteousnesse	n1	Righteousness	righteousness	0
and	and	cc	and	and	0
Innocency	Innocency	n1	Innocency	innocency	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
cre	cre	c-acp	credit	ere	0
∣	∣	sy	∣	∣	0
ation	ation	n1	ation	ation	0
,	,	,	,	,	0
and	and	cc	and	and	0
cloathed	cloathed	vvn	clothed	clothe	0
onely	onely	av-j	only	only	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
shame	shame	n1	shame	shame	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
nakednesse	nakednesse	n1	nakedness	nakedness	0
and	and	cc	and	and	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
Actuall	Actuall	j	Actual	actual	0
and	and	cc	and	and	0
Personall	Personall	j	Personal	personal	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
Originall	Originall	j-jn	Original	original	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
thereof	thereof	av	thereof	thereof	0
lyable	lyable	j	liable	liable	0
and	and	cc	and	and	0
subiect	subiect	j-jn	subject	subject	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
clothed	clothed	vvn	clothed	clothe	0
eter	eter	wd	eater	eter	0
∣	∣	sy	∣	∣	0
nally	nally	av-j	nally	nal	0
with	with	p-acp	with	with	0
shame	shame	n1	shame	shame	0
and	and	cc	and	and	0
confusion	confusion	n1	confusion	confusion	0
of	of	pp-f	of	of	0
face	face	n1	face	face	0
:	:	:	:	:	0
Our	Our	po12	Our	our	0
chiefe	chiefe	j-jn	chief	chief	0
or	or	cc	or	or	0
only	only	j	only	only	0
Care	Care	n1	Care	care	0
should	should	vmd	should	shall	0
therefore	therefore	av	therefore	therefore	0
be	be	vbi	be	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
this	this	d	this	this	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
proach	proach	n1	proach	proach	0
and	and	cc	and	and	0
shame	shame	n1	shame	shame	0
done	done	vdn	done	do	0
away	away	av	away	away	0
,	,	,	,	,	0
this	this	d	this	this	0
nakednesse	nakednesse	n1	nakedness	nakedness	0
co	co	vvn	counterfeit	continue	0
∣	∣	sy	∣	∣	0
uered	uered	j	uered	uered	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
clo	clo	crd	clo	clo	0
∣	∣	sy	∣	∣	0
thed	thed	av-jc	worser	worse	0
and	and	cc	and	and	0
fenced	fenced	vvn	fenced	fence	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
wrath	wrath	n1	wrath	wrath	0
and	and	cc	and	and	0
vengeance	vengeance	n1	vengeance	vengeance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Almightie	Almightie	j-jn	Almighty	almighty	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
whose	whose	rg-crq	whose	who	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
pleasure	pleasure	vvb	pleasure	pleasure	0
wee	wee	pns12	we	we	0
all	all	d	all	all	0
remaine	remaine	vvb	remain	remain	0
,	,	,	,	,	0
whilest	whilest	cs	whilst	while	0
wee	wee	pns12	we	we	0
continue	continue	vvb	continue	continue	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
