BEing	BEing	vbg	BEing	be	0
much	much	av-d	much	much	0
and	and	cc	and	and	0
earnest	earnest	j	earnest	earnest	0
∣	∣	sy	∣	∣	0
lie	lie	zz	lie	lie	0
requested	requested	vvd	requested	request	0
heere-vnto	heere-vnto	j	hereunto	hereunto	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lished	lished	vvn	lished	lish	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
vulgar	vulgar	j	vulgar	vulgar	0
tongue	tongue	n1	tongue	tongue	0
another	another	j-jn	another	another	0
of	of	pp-f	of	of	0
Malleolus	Malleolus	np1	Malleolus	Malleolus	0
,	,	,	,	,	0
aliàs	aliàs	av	alias	alias	0
Thom.	Thom.	np1	Thom.	Thom.	0
de	de	fw-fr	de	de	0
Kempis	Kempis	np1	Kempis	Kempis	0
,	,	,	,	,	0
or	or	cc	or	or	0
,	,	,	,	,	0
Kem	Kem	np1	Kem	Kem	0
∣	∣	sy	∣	∣	0
pisius	pisius	n1	pisius	pisius	0
workes	workes	n2	works	work	0
:	:	:	:	:	0
not	not	xx	not	not	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
fesse	fesse	vvb	fesse	fesse	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
well	well	av	well	well	0
wee	wee	pns12	we	we	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
so	so	av	so	so	0
well	well	av	well	well	0
dee	dee	zz	dee	dee	0
∣	∣	sy	∣	∣	0
ming	ming	n-vvg	ming	ming	0
persons	persons	n2	persons	person	0
was	was	vbds	was	be	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
old	old	j	old	old	0
English	English	jp	English	english	0
translation	translation	n1	translation	translation	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
Latine	Latine	jp	Latin	latin	0
copies	copies	n2	copies	copy	0
too	too	av	too	too	0
,	,	,	,	,	0
called	called	vvn	called	call	0
,	,	,	,	,	0
The	The	dt	The	the	0
fourth	fourth	ord	fourth	four	0
Booke	Booke	n1	Book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Imitation	Imitation	n1	Imitation	imitation	0
of	of	pp-f	of	of	0
Christe	Christe	np1	Christe	Christe	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
deede	deede	n1	deed	deed	0
is	is	vbz	is	be	0
altogether	altogether	av	altogether	altogether	0
De	De	fw-fr	De	de	0
sacramento	sacramento	fw-la	sacramento	sacramento	0
altaris	altaris	fw-la	altaris	altaris	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
entitled	entitled	vvn	entitled	entitle	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
in	in	p-acp	in	in	0
Kempisius	Kempisius	np1	Kempisius	Kempisius	0
workes	workes	vvz	works	work	0
,	,	,	,	,	0
namelie	namelie	av	namely	namely	0
,	,	,	,	,	0
the	the	dt	the	the	0
Soliloquium	Soliloquium	fw-la	Soliloquium	soliloquium	0
a	a	zz	a	a	0
∣	∣	sy	∣	∣	0
nimae	nimae	fw-la	nimae	nimae	0
.	.	.	.	.	1
This	This	d	This	this	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
tearmed	tearmed	vvn	termed	term	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
great	great	j	great	great	0
affinitie	affinitie	n1	affinity	affinity	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
bookes	bookes	n2	books	book	0
of	of	pp-f	of	of	0
