TWo	TWo	crd	TWo	two	0
reasons	reasons	n2	reasons	reason	0
,	,	,	,	,	0
my	my	po11	my	my	0
Honorable	Honorable	j	Honourable	honourable	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
mee	mee	pno11	me	i	0
especially	especially	av-j	especially	especial	0
mooued	mooued	vvd	moved	move	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
dicate	dicate	vvb	dicate	dicate	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
I	I	pns11	I	i	0
helde	helde	vvd	held	hold	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
deutie	deutie	n1	duty	duty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
certifie	certifie	vvi	certify	certify	0
you	you	pn22	you	you	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
notable	notable	j	notable	notable	0
abuses	abuses	n2	abuses	abuse	0
dayly	dayly	av-j	daily	daily	0
committed	committed	vvn	committed	commit	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
great	great	j	great	great	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
very	very	av	very	very	0
bad	bad	j	bad	bad	0
fellowes	fellowes	n2	fellows	fellow	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
couller	couller	n1	couller	colour	0
of	of	pp-f	of	of	0
Office	Office	n1	Office	office	0
and	and	cc	and	and	0
seruice	seruice	n1	service	service	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
mightely	mightely	av-j	mightily	mighty	0
abuse	abuse	vvi	abuse	abuse	0
both	both	d	both	both	0
Iustice	Iustice	n1	Justice	justice	0
and	and	cc	and	and	0
Iustices	Iustices	n2	Justices	justice	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
is	is	vbz	is	be	0
largely	largely	av-j	largely	large	0
discouered	discouered	vvn	discovered	discover	0
.	.	.	.	.	1
The	The	dt	The	the	0
next	next	ord	next	next	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
being	being	vbg	being	be	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
certified	certified	vvn	certified	certify	0
,	,	,	,	,	0
such	such	d	such	such	0
bad	bad	j	bad	bad	0
fellowes	fellowes	n2	fellows	fellow	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
the	the	dt	the	the	0
soner	soner	av-c	sooner	soon	0
lookt	lookt	vvd	looked	look	0
into	into	p-acp	into	into	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
outragies	outragies	n2	outrages	outrage	0
quallified	quallified	vvn	qualified	qualify	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
soner	soner	av-c	sooner	soon	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
like	like	j	like	like	0
mischieues	mischieues	n2	mischiefs	mischief	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
preuented	preuented	vvn	prevented	prevent	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
Zeale	Zeale	n1	Zeal	zeal	0
:	:	:	:	:	0
Both	Both	d	Both	both	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
excuse	excuse	vvi	excuse	excuse	0
my	my	po11	my	my	0
boldnesse	boldnesse	n1	boldness	boldness	0
:	:	:	:	:	0
And	And	cc	And	and	0
so	so	av	so	so	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
be	be	vbb	be	be	0
acceptable	acceptable	j	acceptable	acceptable	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
good	good	j	good	good	0
opi	opi	n2	opi	opi	0
∣	∣	sy	∣	∣	0
nion	nion	n1	nion	nion	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
regarde	regarde	vvi	regard	regard	0
the	the	dt	the	the	0
mallice	mallice	n1	malice	malice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
threatning	threatning	j-vvg	threatening	threaten	0
Cunny-catcher	Cunny-catcher	n1	Cunny-catcher	cony-catcher	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
sworne	sworne	vvn	sworn	swear	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
publish	publish	vvb	publish	publish	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
me	me	pno11	me	i	0
what	what	r-crq	what	what	0
mischiefe	mischiefe	n1	mischief	mischief	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
how	how	c-crq	how	how	0
little	little	j	little	little	0
