Honor'd	Honor'd	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
YOur	YOur	po22	YOur	your	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
Brother	Brother	n1	Brother	brother	0
Mr	Mr	n1	Mr	mr.	0
Sidney	Sidney	np1	Sidney	Sidney	0
Godolphin	Godolphin	np1	Godolphin	Godolphin	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
lived	lived	vvd	lived	live	0
,	,	,	,	,	0
was	was	vbds	was	be	0
pleas'd	pleas'd	vvn	pleased	please	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
my	my	po11	my	my	0
studies	studies	n2	studies	study	0
something	something	pi	something	something	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	n-jn	other	other	0
∣	∣	sy	∣	∣	0
wise	wise	j	wise	wise	0
to	to	pc-acp	to	to	0
oblige	oblige	vvi	oblige	oblige	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
reall	reall	j	real	real	0
testimonies	testimonies	n2	testimonies	testimony	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
good	good	j	good	good	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
great	great	j	great	great	0
in	in	p-acp	in	in	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
grea	grea	zz	grea	grea	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
worthinesse	worthinesse	n1	worthiness	worthiness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
person	person	n1	person	person	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
any	any	d	any	any	0
vertue	vertue	n1	virtue	virtue	0
that	that	cst	that	that	0
disposeth	disposeth	vvz	disposeth	dispose	0
a	a	dt	a	a	0
man	man	n1	man	man	0
,	,	,	,	,	0
either	either	av-d	either	either	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Civill	Civill	j	Civil	civil	0
Society	Society	n1	Society	society	0
,	,	,	,	,	0
or	or	cc	or	or	0
private	private	j	private	private	0
Friendship	Friendship	n1	Friendship	friendship	0
,	,	,	,	,	0
that	that	cst	that	that	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
manifest	manifest	j	manifest	manifest	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
appear	appear	vvb	appear	appear	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
conversation	conversation	n1	conversation	conversation	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
acqui	acqui	fw-la	acqui	acqui	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
by	by	p-acp	by	by	0
necessity	necessity	n1	necessity	necessity	0
,	,	,	,	,	0
or	or	cc	or	or	0
affected	affected	vvn	affected	affect	0
upon	upon	p-acp	upon	upon	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
inhaerent	inhaerent	j	inherent	inherent	0
,	,	,	,	,	0
and	and	cc	and	and	0
shining	shining	vvg	shining	shine	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
generous	generous	j	generous	generous	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
stitution	stitution	n1	stitution	stitution	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
nature	nature	n1	nature	nature	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
in	in	p-acp	in	in	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
gratitude	gratitude	n1	gratitude	gratitude	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
devotion	devotion	n1	devotion	devotion	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
this	this	d	this	this	0
my	my	po11	my	my	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
world	world	n1	world	world	0
will	will	vmb	will	will	0
receive	receive	vvi	receive	receive	0
it	it	pn31	it	it	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
reflect	reflect	vvi	reflect	reflect	0
on	on	p-acp	on	on	0
those	those	d	those	those	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
seem	seem	vvi	seem	seem	0
to	to	pc-acp	to	to	0
favour	favour	vvi	favour	favour	0
it	it	pn31	it	it	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
way	way	n1	way	way	0
beset	beset	vvn	beset	beset	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
that	that	cst	that	that	0
contend	contend	vvb	contend	contend	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
one	one	crd	one	one	0
side	side	n1	side	side	0
for	for	p-acp	for	for	0
too	too	av	too	too	0
great	great	j	great	great	0
Liberty	Liberty	n1	Liberty	liberty	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
for	for	c-acp	for	for	0
too	too	av	too	too	0
much	much	d	much	much	0
Authority	Authority	n1	Authority	authority	0
,	,	,	,	,	0
'tis	'tis	pn31|vbz	it's	it|be	0
hard	hard	j	hard	hard	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
unwounded	unwounded	j	unwounded	unwounded	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
me	me	pno11	me	i	0
thinks	thinks	vvz	thinks	think	0
,	,	,	,	,	0
the	the	dt	the	the	0
endeavour	endeavour	n1	endeavour	endeavour	0
to	to	pc-acp	to	to	0
advance	advance	vvi	advance	advance	0
the	the	dt	the	the	0
Civill	Civill	j	Civil	civil	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Civill	Civill	j	Civil	civil	0
Power	Power	n1	Power	power	0
condemned	condemned	vvn	condemned	condemn	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
private	private	j	private	private	0
men	men	n2	men	man	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reprehend	reprehend	vvi	reprehend	reprehend	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
it	it	pn31	it	it	0
,	,	,	,	,	0
declare	declare	vvb	declare	declare	0
they	they	pns32	they	they	0
think	think	vvb	think	think	0
that	that	cst	that	that	0
Power	Power	n1	Power	power	0
too	too	av	too	too	0
great	great	j	great	great	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
,	,	,	,	,	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
men	men	n2	men	man	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Abstract	Abstract	n-jn	Abstract	abstract	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Seat	Seat	n1	Seat	seat	0
of	of	pp-f	of	of	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
(	(	(	(	(	0
like	like	av-j	like	like	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
simple	simple	j	simple	simple	0
and	and	cc	and	and	0
unpartiall	unpartiall	j	unpartial	unpartial	0
creatures	creatures	n2	creatures	creature	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Roman	Roman	njp	Roman	roman	0
Capitol	Capitol	np1	Capitol	Capitol	0
,	,	,	,	,	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
noyse	noyse	n1	noise	noise	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
fended	fended	vvn	fended	fend	0
those	those	d	those	those	0
within	within	p-acp	within	within	0
it	it	pn31	it	it	0
,	,	,	,	,	0
not	not	xx	not	not	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
)	)	)	)	)	0
offending	offending	vvg	offending	offend	0
none	none	pix	none	none	0
,	,	,	,	,	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
those	those	d	those	those	0
without	without	p-acp	without	without	0
,	,	,	,	,	0
or	or	cc	or	or	0
such	such	d	such	such	0
within	within	a-acp	within	within	0
(	(	(	(	(	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
such	such	d	such	such	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
favour	favour	vvi	favour	favour	0
them	them	pno32	them	they	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
haps	haps	vvz	haps	hap	0
may	may	vmb	may	may	0
most	most	ds	most	most	0
offend	offend	vvi	offend	offend	0
,	,	,	,	,	0
are	are	vbr	are	be	0
certain	certain	j	certain	certain	0
Texts	Texts	n2	Texts	text	0
of	of	pp-f	of	of	0
Holy	Holy	j	Holy	holy	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
alledged	alledged	vvn	alleged	allege	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
than	than	cs	than	than	0
ordinarily	ordinarily	av-j	ordinarily	ordinary	0
they	they	pns32	they	they	0
use	use	vvb	use	use	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
by	by	p-acp	by	by	0
o	o	fw-fr	o	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
due	due	j-jn	due	due	0
submissi	submissi	n1	submissi	submissi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Subject	Subject	j-jn	Subject	subject	0
)	)	)	)	)	0
neces	neces	n2	nieces	niece	0
∣	∣	sy	∣	∣	0
sarily	sarily	av-j	sarily	sary	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Outworks	Outworks	n2	Outworks	outwork	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ene	Ene	fw-mi	Ene	ene	0
∣	∣	sy	∣	∣	0
my	my	po11	my	my	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
they	they	pns32	they	they	0
impugne	impugne	vvi	impugn	impugn	0
the	the	dt	the	the	0
Civill	Civill	j	Civil	civil	0
Power	Power	n1	Power	power	0
.	.	.	.	.	1
If	If	cs	If	if	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
this	this	d	this	this	0
,	,	,	,	,	0
you	you	pn22	you	you	0
find	find	vvb	find	find	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
generally	generally	av-j	generally	general	0
decryed	decryed	vvn	decried	decry	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
to	to	p-acp	to	to	0
excuse	excuse	vvi	excuse	excuse	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
say	say	vvb	say	say	0
I	I	pns11	I	i	0
