Beloved	Beloved	j-vvn	Beloved	belove	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
HOW	HOW	c-crq	HOW	how	0
displeasing	displeasing	vvg	displeasing	displease	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
walk	walk	n1	walk	walk	0
∣	∣	sy	∣	∣	0
eth	eth	zz	eth	eth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
golden	golden	j	golden	golden	0
Can	Can	vmb	Can	can	0
∣	∣	sy	∣	∣	0
dlesticks	dlesticks	n2	dlesticks	dlestick	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
2.1	2.1	crd	2.1	2.1	0
.	.	.	.	.	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
his	his	po31	his	his	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
either	either	av-d	either	either	0
corrupted	corrupted	vvn	corrupted	corrupt	0
,	,	,	,	,	0
or	or	cc	or	or	0
divided	divided	vvn	divided	divide	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
his	his	po31	his	his	0
Body	Body	n1	Body	body	0
ei	ei	fw-la	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
defiled	defiled	vvn	defiled	defile	0
,	,	,	,	,	0
or	or	cc	or	or	0
torn	torn	vvn	torn	tear	0
.	.	.	.	.	1
Christ	Christ	np1	Christ	Christ	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Head	Head	n1	Head	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Members	Members	n2	Members	member	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Purity	Purity	n1	Purity	purity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Head	Head	n1	Head	head	0
,	,	,	,	,	0
calls	calls	vvz	calls	call	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Purity	Purity	n1	Purity	purity	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Bo	Bo	uh	Bo	bo	0
∣	∣	sy	∣	∣	0
dy	dy	vvi	die	die	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
Oneness	Oneness	n1	Oneness	oneness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
requires	requires	vvz	requires	require	0
the	the	dt	the	the	0
strict	strict	j	strict	strict	0
∣	∣	sy	∣	∣	0
est	est	zz	est	est	0
Ʋnion	Ʋnion	n1	Ʋnion	ʋnion	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Members	Members	n2	Members	member	0
;	;	;	;	;	0
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
10.17	10.17	crd	10.17	10.17	0
.	.	.	.	.	1
For	For	c-acp	For	for	0
we	we	pns12	we	we	0
being	being	vbg	being	be	0
many	many	d	many	many	0
are	are	vbr	are	be	0
one	one	pi	one	one	0
Bread	Bread	n1	Bred	bread	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
all	all	d	all	all	0
Partakers	Partakers	n2	Partakers	partaker	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
one	one	crd	one	one	0
Bread	Bread	n1	Bred	bread	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
Members	Members	n2	Members	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Body	Body	n1	Body	body	0
who	who	r-crq	who	who	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
hold	hold	vvi	hold	hold	0
the	the	dt	the	the	0
Head	Head	n1	Head	head	0
:	:	:	:	:	0
Col.	Col.	np1	Col.	Col.	1
2.19	2.19	crd	2.19	2.19	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
the	the	dt	the	the	0
Body	Body	n1	Body	body	0
by	by	p-acp	by	by	0
Joynts	Joynts	n2	Joints	joint	0
and	and	cc	and	and	0
Bands	Bands	n2	Bans	band	0
,	,	,	,	,	0
having	having	vhg	having	have	0
Nou	Nou	av	Now	now	0
∣	∣	sy	∣	∣	0
rishment	rishment	n1	rishment	rishment	0
ministred	ministred	vvn	ministered	minister	0
and	and	cc	and	and	0
knit	knit	vvn	knit	knit	0
together	together	av	together	together	0
increa	increa	fw-la	increa	increa	0
∣	∣	sy	∣	∣	0
seth	seth	vvz	seth	se	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
And	And	cc	And	and	0
such	such	d	such	such	0
cease	cease	vvb	cease	cease	0
to	to	pc-acp	to	to	0
