IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
vnknowne	vnknowne	j	unknown	unknown	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worships	worships	n2	worships	worship	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
all	all	d	all	all	0
round	round	av-j	round	round	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
great	great	j	great	great	0
and	and	cc	and	and	0
manifold	manifold	j	manifold	manifold	0
dangers	dangers	n2	dangers	danger	0
haue	haue	vhb	have	have	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
uerspread	uerspread	vvd	uerspread	uerspread	0
all	all	d	all	all	0
our	our	po12	our	our	0
countrie	countrie	n1	country	country	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
two	two	crd	two	two	0
last	last	ord	last	last	0
yeares	yeares	n2	years	year	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
by	by	p-acp	by	by	0
dearth	dearth	n1	dearth	dearth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
strange	strange	j	strange	strange	0
&	&	cc	&	and	0
fearefull	fearefull	j	fearful	fearful	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
eases	eases	vvz	eases	ease	0
,	,	,	,	,	0
and	and	cc	and	and	0
sicknesses	sicknesses	n2	sicknesses	sickness	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
knowne	knowne	vvn	known	know	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
also	also	av	also	also	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
little	little	j	little	little	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
small	small	j	small	small	0
reliefe	reliefe	n1	relief	relief	0
,	,	,	,	,	0
all	all	d	all	all	0
out	out	av	out	out	0
∣	∣	sy	∣	∣	0
ward	ward	av	ward	ward	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
remedie	remedie	n1	remedy	remedy	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
brought	brought	vvn	brought	bring	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
stressed	stressed	j-vvn	stressed	stress	0
ones	ones	pi2	ones	one	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
extremi	extremi	fw-it	extremi	extremi	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
knoweth	knoweth	vvz	knoweth	know	0
not	not	xx	not	not	0
how	how	c-crq	how	how	0
lamentable	lamentable	j	lamentable	lamentable	0
and	and	cc	and	and	0
wofull	wofull	j	woeful	woeful	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
afflicted	afflicted	j-vvn	afflicted	afflict	0
one	one	pi	one	one	0
,	,	,	,	,	0
(	(	(	(	(	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
places	places	n2	places	place	0
as	as	c-acp	as	as	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
fected	fected	vvn	fected	fect	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
pestilence	pestilence	n1	pestilence	pestilence	0
)	)	)	)	)	0
and	and	cc	and	and	0
what	what	q-crq	what	what	0
feare	feare	n1	fear	fear	0
came	came	vvd	came	come	0
vpon	vpon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
all	all	d	all	all	0
thorough	thorough	p-acp	through	through	0
that	that	cst	that	that	0
their	their	po32	their	their	0
affliction	affliction	n1	affliction	affliction	0
