BEloued	BEloued	j-vvn	Beloved	belove	0
in	in	p-acp	in	in	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
my	my	po11	my	my	0
first	first	ord	first	first	0
fruites	fruites	n2	fruits	fruit	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
myte	myte	n1	myte	mite	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
my	my	po11	my	my	0
sermons	sermons	n2	sermons	sermon	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
it	it	pn31	it	it	0
alrea	alrea	n1	alrea	alrea	0
∣	∣	sy	∣	∣	0
dy	dy	vvi	die	die	0
,	,	,	,	,	0
&	&	cc	&	and	0
as	as	p-acp	as	as	0
th'apostle	th'apostle	n1	apostle	apostle	0
cals	cals	vvz	calls	call	0
the	the	dt	the	the	0
Corinthi	Corinthi	np1	Corinthi	Corinthi	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
his	his	png31	his	he	0
epistle	epistle	n1	epistle	epistle	0
,	,	,	,	,	0
so	so	av	so	so	0
ye	ye	pn22	you	you	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
;	;	;	;	;	0
2	2	crd	2	2	0
,	,	,	,	,	0
Cor.	Cor.	np1	Cor.	Cor.	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
my	my	po11	my	my	0
sermon	sermon	n1	sermon	sermon	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
prin	prin	av	prin	prin	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
