REnowned	REnowned	j-vvn	REnowned	renown	0
Rulers	Rulers	n2	Rulers	ruler	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
sacred	sacred	j	sacred	sacred	0
seat	seat	n1	seat	seat	0
,	,	,	,	,	0
Wherein	Wherein	c-crq	Wherein	wherein	0
all	all	d	all	all	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
graciously	graciously	av-j	graciously	gracious	0
abound	abound	vvb	abound	abound	0
,	,	,	,	,	0
Whose	Whose	rg-crq	Whose	who	0
fames	fames	n2	fame's	fame	0
for	for	p-acp	for	for	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
vertues	vertues	n2	virtues	virtue	0
are	are	vbr	are	be	0
compleat	compleat	j	complete	complete	0
Whose	Whose	r-crq	Whose	who	0
liues	liues	n2	lives	life	0
are	are	vbr	are	be	0
lights	lights	n2	lights	light	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
learnings	learnings	n2-vvg	learning's	learn	0
are	are	vbr	are	be	0
profound	profound	j	profound	profound	0
▪	▪	▪	▪	▪	0
Amongst	Amongst	p-acp	among	among	0
all	all	d	all	all	0
these	these	d	these	these	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
loue	loue	n1	love	love	0
your	your	po22	your	your	0
vertues	vertues	n2	virtues	virtue	0
best	best	av-js	best	best	0
,	,	,	,	,	0
And	And	cc	And	and	0
they	they	pns32	they	they	0
whose	whose	r-crq	whose	who	0
workes	workes	n2	works	work	0
vnfained	vnfained	j	unfeigned	unfeigned	0
witnesse	witnesse	n1	witness	witness	0
beare	beare	vvi	bear	bear	0
,	,	,	,	,	0
I'm	I'm	pns11|vbm	I'm	I|be	0
loath	loath	j	loath	loath	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
last	last	ord	last	last	0
,	,	,	,	,	0
albeit	albeit	cs	albeit	albeit	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
Who	Who	r-crq	Who	who	0
would	would	vmd	would	will	0
approue	approue	vvi	approve	approve	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
I	I	pns11	I	i	0
your	your	po22	your	your	0
worth	worth	n1	worth	worth	0
admeare	admeare	vvi	admeare	admeare	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
let	let	vvb	let	let	0
this	this	d	this	this	0
invention	invention	n1	invention	invention	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Muse	Muse	n1	Muse	muse	0
,	,	,	,	,	0
(	(	(	(	(	0
Which	Which	r-crq	Which	which	0
though	though	c-acp	though	though	0
not	not	xx	not	not	0
worthie	worthie	j	worthy	worthy	0
,	,	,	,	,	0
boldly	boldly	av-j	boldly	bold	0
weares	weares	vvz	wears	wear	0
the	the	dt	the	the	0
ba	ba	uh	ba	ba	0
Of	Of	pp-f	Of	of	0
these	these	d	these	these	0
your	your	po22	your	your	0
names	names	n2	names	name	0
,	,	,	,	,	0
