MAy	MAy	vmb	MAy	may	0
I	I	pns11	I	i	0
be	be	vbi	be	be	0
bold	bold	j	bold	bold	0
(	(	(	(	(	0
you	you	pn22	you	you	0
valiant	valiant	j	valiant	valiant	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
?	?	?	?	?	1
Then	Then	av	Then	then	0
prepare	prepare	vvb	prepare	prepare	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
Romish	Romish	jp	Romish	romish	0
Midianits	Midianits	np2	Midianits	midianit	0
,	,	,	,	,	0
and	and	cc	and	and	0
shoute	shoute	n1	shout	shout	0
with	with	p-acp	with	with	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
say	say	vvi	say	say	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Gideon	Gideon	np1	Gideon	Gideon	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
day	day	n1	day	day	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pointed	pointed	j-vvn	pointed	point	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
draweth	draweth	vvz	draws	draw	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
auenge	auenge	vvi	avenge	avenge	0
the	the	dt	the	the	0
bloud	bloud	n1	blood	blood	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
vpon	vpon	p-acp	upon	upon	0
Babylon	Babylon	np1	Babylon	Babylon	0
,	,	,	,	,	0
that	that	cst	that	that	0
where	where	r-crq	where	where	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
∣	∣	sy	∣	∣	0
hold	hold	vvi	hold	hold	0
the	the	dt	the	the	0
progresse	progresse	n1	progress	progress	0
,	,	,	,	,	0
and	and	cc	and	and	0
whereto	whereto	c-crq	whereto	whereto	0
wee	wee	pns12	we	we	0
now	now	av	now	now	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
looke	looke	vvi	look	look	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
ruine	ruine	n1	ruin	ruin	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
mother	mother	n1	mother	mother	0
of	of	pp-f	of	of	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
domes	domes	n2	domes	dome	0
,	,	,	,	,	0
and	and	cc	and	and	0
abominations	abominations	n2	abominations	abomination	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
.	.	.	.	.	1
The	The	dt	The	the	0
Angell	Angell	n1	Angel	angel	0
sworeChap	sworeChap	n1	sworeChap	sworechap	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	0
6.	6.	crd	6.	6.	0
solemnely	solemnely	av-j	solemnly	solemn	0
