GLORIOUS	GLORIOUS	j	GLORIOUS	glorious	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
This	This	d	This	this	0
poor	poor	j	poor	poor	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
thy	thy	po21	thy	thy	0
unworthy	unworthy	j	unworthy	unworthy	0
servant	servant	n1	servant	servant	0
hath	hath	vhz	hath	have	0
finish't	finish't	vvn	finished	finish	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
strength	strength	n1	strength	strength	0
,	,	,	,	,	0
is	is	vbz	is	be	0
now	now	av	now	now	0
prest	prest	vvn	pressed	press	0
for	for	p-acp	for	for	0
thy	thy	po21	thy	thy	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
vice	vice	n1	vice	vice	0
.	.	.	.	.	1
And	And	cc	And	and	0
behold	behold	vvb	behold	behold	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
brought	brought	vvn	brought	bring	0
it	it	pn31	it	it	0
before	before	p-acp	before	before	0
thy	thy	po21	thy	thy	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
receive	receive	vvi	receive	receive	0
thy	thy	po21	thy	thy	0
Blessing	Blessing	n1	Blessing	blessing	0
.	.	.	.	.	1
Thou	Thou	pns21	Thou	thou	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
art	art	vb2r	art	be	0
the	the	dt	the	the	0
great	great	j	great	great	0
God	God	np1	God	God	0
,	,	,	,	,	0
delightest	delightest	vv2	delightest	delight	0
to	to	p-acp	to	to	0
do	do	vdi	do	do	0
great	great	j	great	great	0
things	things	n2	things	thing	0
by	by	p-acp	by	by	0
weak	weak	j	weak	weak	0
Means	Means	n2	Means	mean	0
,	,	,	,	,	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
Power	Power	n1	Power	power	0
may	may	vmb	may	may	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
Name	Name	n1	Name	name	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
.	.	.	.	.	1
O	O	sy	O	o	0
