Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Here	Here	av	Here	here	0
present	present	vvb	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Sermons	Sermons	n2	Sermons	sermon	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dear	dear	j-jn	dear	dear	0
Brother	Brother	n1	Brother	brother	0
deceased	deceased	j-vvn	deceased	decease	0
,	,	,	,	,	0
your	your	po22	your	your	0
late	late	j	late	late	0
(	(	(	(	(	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
allowed	allowed	vvn	allowed	allow	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
it	it	pn31	it	it	0
)	)	)	)	)	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
Pastour	Pastour	n1	Pastor	pastor	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
transcribing	transcribing	vvg	transcribing	transcribe	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Press	Press	n1	Press	press	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
any	any	d	any	any	0
alteration	alteration	n1	alteration	alteration	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
correct	correct	vvi	correct	correct	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
plain	plain	n1	plain	plain	0
errata's	errata's	vhz	errata's	errata'	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
original	original	j-jn	original	original	0
Copy	Copy	n1	Copy	copy	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
onely	onely	av-j	only	only	0
some	some	d	some	some	0
few	few	d	few	few	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
Reader	Reader	n1	Reader	reader	0
almost	almost	av	almost	almost	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
observed	observed	vvn	observed	observe	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
well	well	av	well	well	0
be	be	vbi	be	be	0
supposed	supposed	vvn	supposed	suppose	0
