IT	IT	pn31	IT	it	0
being	being	vbg	being	be	0
my	my	po11	my	my	0
hap	hap	n1	hap	hap	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Worship	Worship	n1	Worship	worship	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
abroad	abroad	av	abroad	abroad	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
vsuallie	vsuallie	av-j	usually	usual	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
also	also	av	also	also	0
my	my	po11	my	my	0
chaunce	chaunce	n1	chance	chance	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
otherwise	otherwise	av	otherwise	otherwise	0
I	I	pns11	I	i	0
knewe	knewe	vvd	knew	know	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
part	part	n1	part	part	0
till	till	c-acp	till	till	0
then	then	av	then	then	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
but	but	cc-acp	but	but	0
knowe	knowe	vvb	know	know	0
you	you	pn22	you	you	0
ex	ex	fw-la	ex	ex	0
facie	facie	n1	fancy	fancy	0
.	.	.	.	.	0
)	)	)	)	)	1
And	And	cc	And	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
then	then	av	then	then	0
I	I	pns11	I	i	0
heard	heard	vvd	herd	hear	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
spoken	spoken	vvn	spoken	speak	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
credit	credit	n1	credit	credit	0
(	(	(	(	(	0
if	if	cs	if	if	0
not	not	xx	not	not	0
great	great	j	great	great	0
calling	calling	vvg	calling	call	0
)	)	)	)	)	0
em	em	pno32	em	they	0
∣	∣	sy	∣	∣	0
boldened	boldened	vvn	boldened	bolden	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
what	what	r-crq	what	what	0
now	now	av	now	now	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
a	a	dt	a	a	0
dooing	dooing	vdg	doing	do	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
bethin	bethin	av	bethin	bethin	0
∣	∣	sy	∣	∣	0
king	king	n1	king	king	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
dedicate	dedicate	vvi	dedicate	dedicate	0
what	what	r-crq	what	what	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
sees	sees	vvz	sees	see	0
here	here	av	here	here	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
that	that	cst	that	that	0
good	good	j	good	good	0
report	report	n1	report	report	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
heard	heard	vvd	herd	hear	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
sinceritie	sinceritie	n1	sincerity	sincerity	0
in	in	p-acp	in	in	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
integritie	integritie	n1	integrity	integrity	0
in	in	p-acp	in	in	0
conuersation	conuersation	n1	conversation	conversation	0
,	,	,	,	,	0
made	made	vvd	made	make	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
resolue	resolue	vvi	resolve	resolve	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vpon	vpon	p-acp	upon	upon	0
you	you	pn22	you	you	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
well	well	av	well	well	0
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
those	those	d	those	those	0
two	two	crd	two	two	0
good	good	j	good	good	0
qualities	qualities	n2	qualities	quality	0
would	would	vmd	would	will	0
fit	fit	vvi	fit	fit	0
this	this	d	this	this	0
simple	simple	j	simple	simple	0
peece	peece	n1	piece	piece	0
of	of	pp-f	of	of	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
made	made	vvd	made	make	0
more	more	av-dc	more	more	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
profit	profit	n1	profit	profit	0
of	of	pp-f	of	of	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
one	one	pi	one	one	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
too	too	av	too	too	0
bolde	bolde	j	bold	bold	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
no	no	dx	no	no	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
quaintance	quaintance	n1	quaintance	quaintance	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
pardon	pardon	vvb	pardon	pardon	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pietie	pietie	n1	piety	piety	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
purpose	purpose	n1	purpose	purpose	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
you	you	pn22	you	you	0
willing	willing	j	willing	willing	0
∣	∣	sy	∣	∣	0
lie	lie	vvb	lie	lie	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
thinke	thinke	vvi	think	think	0
this	this	d	this	this	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
hurt	hurt	vvi	hurt	hurt	0
you	you	pn22	you	you	0
hastilie	hastilie	av-j	hastily	hasty	0
:	:	:	:	:	0
If	If	cs	If	if	0
I	I	pns11	I	i	0
bee	bee	vbb	be	be	0
no	no	dx	no	no	0
bolder	bolder	jc	bolder	bold	0
than	than	cs	than	than	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
,	,	,	,	,	0
take	take	vvb	take	take	0
well	well	av	well	well	0
in	in	p-acp	in	in	0
worth	worth	n1	worth	worth	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
courtesie	courtesie	n1	courtesy	courtesy	0
:	:	:	:	:	0
neither	neither	av-dx	neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
vnfitting	vnfitting	vvg	unfitting	unfitting	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
,	,	,	,	,	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
commit	commit	vvi	commit	commit	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
patronage	patronage	n1	patronage	patronage	0
,	,	,	,	,	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
a	a	zz	a	a	0
Knight	Knight	n1	Knight	knight	0
;	;	;	;	;	0
nor	nor	ccx	nor	nor	0
vnbeseeming	vnbeseeming	j	unbeseeming	unbeseeming	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
your	your	po22	your	your	0
patrocinie	patrocinie	n1	patrociny	patrociny	0
,	,	,	,	,	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
inferior	inferior	j-jn	inferior	inferior	0
person	person	n1	person	person	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
a	a	dt	a	a	0
sworde	sworde	n1	sword	sword	0
was	was	vbds	was	be	0
giuen	giuen	vvn	given	give	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
a	a	dt	a	a	0
tongue	tongue	n1	tongue	tongue	0
was	was	vbds	was	be	0
giuen	giuen	vvn	given	give	0
