Whose	Whose	rg-crq	Whose	who	0
spititual	spititual	j	spititual	spititual	0
welfare	welfare	n1	welfare	welfare	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
tender	tender	vvi	tender	tender	0
if	if	cs	if	if	0
not	not	xx	not	not	0
yours	yours	png22	yours	you	0
?	?	?	?	?	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
interest	interest	n1	interest	interest	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
publike	publike	j	public	public	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
private	private	j	private	private	0
services	services	n2	services	service	0
.	.	.	.	.	1
FOr	FOr	p-acp	FOr	for	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Dear	Dear	j-jn	Dear	dear	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
love	love	n1	love	love	0
here	here	av	here	here	0
greeteth	greeteth	vvz	greets	greet	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
so	so	av	so	so	0
thine	thine	po21	thine	thy	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
self	self	n1	self	self	0
,	,	,	,	,	0
(	(	(	(	(	0
I	I	pns11	I	i	0
question	question	vvb	question	question	0
not	not	xx	not	not	0
)	)	)	)	)	0
will	will	vmb	will	will	0
put	put	vvi	put	put	0
thee	thee	pno21	thee	thou	0
on	on	p-acp	on	on	0
seriously	seriously	av-j	seriously	serious	0
to	to	pc-acp	to	to	0
view	view	vvi	view	view	0
and	and	cc	and	and	0
hearken	hearken	vvi	harken	hearken	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
other	other	j-jn	other	other	0
and	and	cc	and	and	0
former	former	j	former	former	0
advices	advices	n2	advices	advice	0
.	.	.	.	.	1
Here	Here	av	Here	here	0
thou	thou	pns21	thou	thou	0
mayst	mayst	vm2	mayest	may	0
try	try	vvi	try	try	0
that	that	d	that	that	0
grace	grace	n1	grace	grace	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
thee	thee	pno21	thee	thou	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
thine	thine	png21	thine	thou	0
and	and	cc	and	and	0
my	my	po11	my	my	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
mayst	mayst	vm2	mayest	may	0
be	be	vbi	be	be	0
helped	helped	vvn	helped	help	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
