TO	TO	p-acp	TO	to	0
You	You	pn22	You	you	0
(	(	(	(	(	0
Gods	Gods	n2	Gods	god	0
Vicege	Vicege	n1	Vicege	vicege	0
∣	∣	sy	∣	∣	0
rents	rents	vvz	rends	rend	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
Ec	Ec	np1	Ec	Ec	0
∣	∣	sy	∣	∣	0
clesiastical	clesiastical	j	clesiastical	clesiastical	0
or	or	cc	or	or	0
Tempo	Tempo	fw-it	Tempo	tempo	0
∣	∣	sy	∣	∣	0
ral	ral	n1	ral	ral	0
,	,	,	,	,	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
within	within	p-acp	within	within	0
Your	Your	po22	Your	your	0
own	own	d	own	own	0
respective	respective	j	respective	respective	0
Domini	Domini	fw-la	Domini	domini	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
Supreme	Supreme	j	Supreme	supreme	0
Governour	Governour	n1	Governor	governor	0
;	;	;	;	;	0
)	)	)	)	)	0
I	I	pns11	I	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
cieve	cieve	vvb	cieve	cieve	0
fittest	fittest	js	fittest	fit	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
,	,	,	,	,	0
and	and	cc	and	and	0
Direct	Direct	vvi	Direct	direct	0
the	the	dt	the	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Papers	Papers	n2	Papers	paper	0
;	;	;	;	;	0
To	To	p-acp	To	to	0
You	You	pn22	You	you	0
(	(	(	(	(	0
Most	Most	ds	Most	most	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
,	,	,	,	,	0
)	)	)	)	)	0
they	they	pns32	they	they	0
address	address	vvb	address	address	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
persons	persons	n2	persons	person	0
most	most	av-ds	most	most	0
concern'd	concern'd	vvn	concerned	concern	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Subject	Subject	n-jn	Subject	subject	0
they	they	pns32	they	they	0
treat	treat	vvb	treat	treat	0
about	about	a-acp	about	about	0
;	;	;	;	;	0
whereby	whereby	q-crq	whereby	whereby	0
is	is	vbz	is	be	0
endeavoured	endeavoured	vvn	endeavoured	endeavour	0
the	the	dt	the	the	0
Vindication	Vindication	n1	Vindication	vindication	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Edward	Edward	np1	Edward	Edward	0
Tyldsly	Tyldsly	np1	Tyldsly	Tyldsly	0
a	a	dt	a	a	0
Ro	Ro	np1	Ro	Ro	0
∣	∣	sy	∣	∣	0
manist	manist	n1	manist	manist	0
,	,	,	,	,	0
was	was	vbds	was	be	0
railing	railing	vvg	railing	rail	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Jesuites	Jesuites	np2	Jesuites	Jesuit	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
(	(	(	(	(	0
then	then	av	then	then	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
theirs	theirs	png32	theirs	they	0
;	;	;	;	;	0
say	say	vvb	say	say	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
Firebrands	Firebrands	n2	Firebrands	firebrand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christi	Christi	np1	Christi	Christi	0
∣	∣	sy	∣	∣	0
an	an	dt	and	a	0
World	World	n1	World	world	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
his	his	po31	his	his	0
friend	friend	n1	friend	friend	0
replyed	replyed	vvd	replied	reply	0
thus	thus	av	thus	thus	0
.	.	.	.	.	1
—	—	—	—	—	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confess	confess	vvi	confess	confess	0
(	(	(	(	(	0
Mr.	Mr.	n1	Mr.	mr.	1
Tildesly	Tildesly	np1	Tildesly	Tildesly	0
)	)	)	)	)	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
very	very	av	very	very	0
much	much	av-d	much	much	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
Jesuites	Jesuites	np2	Jesuites	Jesuit	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
would	would	vmd	would	will	0
soon	soon	av	soon	soon	0
be	be	vbi	be	be	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
supporters	supporters	n2	supporters	supporter	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
wherein	wherein	q-crq	wherein	wherein	0
as	as	c-acp	as	as	0
