WHat	WHat	q-crq	WHat	what	0
benefit	benefit	n1	benefit	benefit	0
(	(	(	(	(	0
Right	Right	n-jn	Right	right	0
Reuerend	Reuerend	j-jn	Reverend	reverend	0
)	)	)	)	)	0
this	this	d	this	this	0
Church	Church	n1	Church	church	0
hath	hath	vhz	hath	have	0
receiued	receiued	vvn	received	receive	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
(	(	(	(	(	0
God	God	np1	God	God	0
bessing	bessing	n1	bessing	blessing	0
your	your	po22	your	your	0
Counsell	Counsell	n1	Counsel	counsel	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
gouernment	gouernment	n1	government	government	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
great	great	j	great	great	0
Princes	Princes	n2	Princes	prince	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
this	this	d	this	this	0
age	age	n1	age	age	0
present	present	j	present	present	0
doth	doth	vdz	does	do	0
sensiblie	sensiblie	av-j	sensibly	sensible	0
perceiue	perceiue	vvi	perceive	perceive	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
memorie	memorie	n1	memory	memory	0
thereof	thereof	av	thereof	thereof	0
shalbe	shalbe	vmb	shall	shall	0
honorable	honorable	j	honourable	honourable	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
vertuons	vertuons	j	virtuous	virtuous	0
Gouernment	Gouernment	n1	Government	government	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
late	late	j	late	late	0
Souereigne	Souereigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
had	had	vhd	had	have	0
banished	banished	vvn	banished	banish	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
the	the	dt	the	the	0
Tyrannie	Tyrannie	n1	Tyranny	tyranny	0
and	and	cc	and	and	0
superstitiō	superstitiō	n1	superstition	superstition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
,	,	,	,	,	0
some	some	d	some	some	0
men	men	n2	men	man	0
(	(	(	(	(	0
fit	fit	j	fit	fit	0
instruments	instruments	n2	instruments	instrument	0
to	to	p-acp	to	to	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
sturbe	sturbe	vvb	sturbe	sturbe	0
the	the	pno32	thee	they	0
peacefull	peacefull	j	peaceful	peaceful	0
happinesse	happinesse	n1	happiness	happiness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
)	)	)	)	)	0
feare	feare	vvb	fear	fear	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
seemed	seemed	vvd	seemed	seem	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dangers	dangers	n2	dangers	danger	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
follow	follow	vvi	follow	follow	0
,	,	,	,	,	0
and	and	cc	and	and	0
impatient	impatient	j	impatient	impatient	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
gouernment	gouernment	n1	government	government	0
which	which	r-crq	which	which	0
mercy	mercy	n1	mercy	mercy	0
and	and	cc	and	and	0
wisedome	wisedome	n1	wisdom	wisdom	0
had	had	vhd	had	have	0
planted	planted	vvn	planted	plant	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
safetie	safetie	n1	safety	safety	0
,	,	,	,	,	0
laboured	laboured	vvn	laboured	labour	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
ouer	ouer	p-acp	over	over	0
violent	violent	j	violent	violent	0
,	,	,	,	,	0
and	and	cc	and	and	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
holy	holy	j	holy	holy	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
(	(	(	(	(	0
perhaps	perhaps	av	perhaps	perhaps	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
partiall	partiall	j	partial	partial	0
loue	loue	n1	love	love	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
orders	orders	n2	order	order	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Churches	Churches	n2	Churches	church	0
which	which	r-crq	which	which	0
comfortably	comfortably	av-j	comfortably	comfortable	0
refresht	refresht	vvn	refreshed	refresh	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
banishment	banishment	n1	banishment	banishment	0
)	)	)	)	)	0
a	a	dt	a	a	0
presbite	presbite	n1	presbite	presbite	0
∣	∣	sy	∣	∣	0
riall	riall	n1	riall	rial	0
Discipline	Discipline	n1	Discipline	discipline	0
;	;	;	;	;	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
(	(	(	(	(	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
)	)	)	)	)	0
following	following	vvg	following	follow	0
a	a	dt	a	a	0
diuers	diuers	j	diverse	diverse	0
shape	shape	n1	shape	shape	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ecclesiasticall	Ecclesiasticall	j	Ecclesiastical	ecclesiastical	0
state	state	n1	state	state	0
in	in	p-acp	in	in	0
diuers	diuers	j	diverse	diverse	0
times	times	n2	times	time	0
;	;	;	;	;	0
the	the	dt	the	the	0
