Dear	Dear	j-jn	Dear	dear	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Observing	Observing	vvg	Observing	observe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
severall	severall	j	several	several	0
places	places	n2	places	place	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
lived	lived	vvn	lived	live	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
countries	countries	n2	countries	country	0
:	:	:	:	:	0
Some	Some	d	Some	some	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
Popishly	Popishly	av-j	Popishly	popish	0
(	(	(	(	(	0
even	even	av	even	even	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
Protestants	Protestants	n2	Protestants	protestant	0
)	)	)	)	)	0
the	the	dt	the	the	0
Pater-noster	Pater-noster	j	Paternoster	paternost	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Ave	Ave	vhb	Have	have	0
Maria	Maria	np1	Maria	Maria	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Latine	Latine	jp	Latin	latin	0
forms	forms	n2	forms	form	0
:	:	:	:	:	0
Some	Some	d	Some	some	0
grossely	grossely	av-j	grossly	gross	0
ignorantly	ignorantly	av-j	ignorantly	ignorant	0
,	,	,	,	,	0
The	The	dt	The	the	0
Belief	Belief	n1	Belief	belief	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
the	the	dt	the	the	0
ten	ten	crd	ten	ten	0
Command	Command	vvb	Command	command	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
understanding	understanding	vvg	understanding	understand	0
rightly	rightly	av-jn	rightly	right	0
one	one	pi	one	one	0
sentence	sentence	n1	sentence	sentence	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
Some	Some	d	Some	some	0
meerly	meerly	av-j	merely	mere	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
mally	mally	av-j	mally	mal	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
prayers	prayers	n2	prayers	prayer	0
in	in	p-acp	in	in	0
books	books	n2	books	book	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
got	got	vvn	god	get	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
books	books	n2	books	book	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
pray	pray	vvi	pray	pray	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
or	or	cc	or	or	0
praising	praising	vvg	praising	praise	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
is	is	vbz	is	be	0
set	set	vvn	set	set	0
down	down	a-acp	down	down	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
form	form	n1	from	form	0
:	:	:	:	:	0
Some	Some	d	Some	some	0
rash	rash	j	rash	rash	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
formally	formally	av-j	formally	formal	0
then	then	av	then	then	0
sincerely	sincerely	av-j	sincerely	sincere	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
remembring	remembring	vvg	remembering	remember	0
that	that	cst	that	that	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
ven	ven	c-crq	ven	when	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
:	:	:	:	:	0
And	And	cc	And	and	0
the	the	dt	the	the	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
