BEing	BEing	vbg	BEing	be	0
very	very	av	very	very	0
desirous	desirous	j	desirous	desirous	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
profit	profit	vvi	profit	profit	0
(	(	(	(	(	0
among	among	p-acp	among	among	0
all	all	d	all	all	0
)	)	)	)	)	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
some	some	d	some	some	0
,	,	,	,	,	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
weakest	weakest	js	weakest	weak	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
neede	neede	n1	need	need	0
of	of	pp-f	of	of	0
helpe	helpe	n1	help	help	0
in	in	p-acp	in	in	0
heauenly	heauenly	j	heavenly	heavenly	0
things	things	n2	things	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
both	both	d	both	both	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
vice	vice	n1	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
learne	learne	vvb	learn	learn	0
to	to	pc-acp	to	to	0
imbrace	imbrace	vvi	embrace	embrace	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
auoide	auoide	vvi	avoid	avoid	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
is	is	vbz	is	be	0
exceeding	exceeding	vvg	exceeding	exceed	0
great	great	j	great	great	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
ventu	ventu	fw-la	ventu	ventu	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
a	a	dt	a	a	0
little	little	j	little	little	0
paine	paine	n1	pain	pain	0
to	to	pc-acp	to	to	0
collect	collect	vvi	collect	collect	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
bestowe	bestowe	vvi	bestow	bestow	0
some	some	d	some	some	0
labour	labour	n1	labour	labour	0
to	to	pc-acp	to	to	0
gather	gather	vvi	gather	gather	0
togither	togither	av	together	together	0
,	,	,	,	,	0
a	a	dt	a	a	0
little	little	j	little	little	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
Similies	Similies	n2	Similes	simile	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
my	my	po11	my	my	0
loue	loue	n1	love	love	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
Iesu	Iesu	np1	Iesu	Jesus	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
seruants	seruants	n2	servants	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
:	:	:	:	:	0
not	not	xx	not	not	0
doubting	doubting	vvg	doubting	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
profit	profit	n1	profit	profit	0
very	very	av	very	very	0
manie	manie	d	many	many	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
iudgements	iudgements	n2	judgements	judgement	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
so	so	av	so	so	0
your	your	po22	your	your	0
Honor	Honor	n1	Honour	honour	0
will	will	vmb	will	will	0
accordingly	accordingly	av-vvg	accordingly	accord	0
,	,	,	,	,	0
re	re	fw-it	re	re	0
∣	∣	sy	∣	∣	0
ceiue	ceiue	vvb	ceiue	ceiue	0
the	the	pno32	thee	they	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
patrone	patrone	n1	patron	patron	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
true	true	j	true	true	0
seruice	seruice	n1	service	service	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
is	is	vbz	is	be	0
or	or	cc	or	or	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Honors	Honors	ng1	Honours	honour	0
continuall	continuall	j	continual	continual	0
