THat	THat	cst	THat	that	0
I	I	pns11	I	i	0
make	make	vvb	make	make	0
so	so	av	so	so	0
bold	bold	j	bold	bold	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
sort	sort	n1	sort	sort	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
these	these	d	these	these	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
graue	graue	n1	graven	grave	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
censure	censure	n1	censure	censure	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
worthinesse	worthinesse	n1	worthiness	worthiness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
sense	sense	n1	sense	sense	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
yet	yet	av	yet	yet	0
had	had	vhn	had	have	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
conceiued	conceiued	vvn	conceived	conceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Lazarus	Lazarus	np1	Lazarus	Lazarus	0
now	now	av	now	now	0
assaying	assaying	vvg	assaying	assay	0
againe	againe	av	again	again	0
,	,	,	,	,	0
though	though	cs	though	though	0
once	once	a-acp	once	once	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
but	but	p-acp	but	but	0
little	little	av-j	little	little	0
regarded	regarded	vvn	regarded	regard	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
speede	speede	vvi	speed	speed	0
any	any	d	any	any	0
better	better	av-jc	better	better	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
mans	mans	ng1	men	man	0
gate	gate	n1	gate	gate	0
.	.	.	.	.	1
None	None	pix	None	none	0
other	other	j-jn	other	other	0
foundation	foundation	n1	foundation	foundation	0
,	,	,	,	,	0
we	we	pns12	we	we	0
all	all	d	all	all	0
doe	doe	vdb	do	do	0
know	know	vvi	know	know	0
,	,	,	,	,	0
can	can	vmb	can	can	0
any	any	d	any	any	0
man	man	n1	man	man	0
lay	lay	vvd	lay	lie	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
long	long	j	long	long	0
since	since	c-acp	since	since	0
already	already	av	already	already	0
laide	laide	vvn	laid	lay	0
,	,	,	,	,	0
euen	euen	av	even	even	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
building	building	n-vvg	building	build	0
which	which	r-crq	which	which	0
others	others	n2-jn	others	other	0
may	may	vmb	may	may	0
reare	reare	vvi	rear	rear	0
therupon	therupon	av	thereupon	thereupon	0
,	,	,	,	,	0
may	may	vmb	may	may	0
well	well	av	well	well	0
be	be	vbi	be	be	0
diuers	diuers	j	diverse	diverse	0
;	;	;	;	;	0
either	either	d	either	either	0
commendably	commendably	av-j	commendably	commendable	0
answering	answering	vvg	answering	answer	0
the	the	dt	the	the	0
foundation	foundation	n1	foundation	foundation	0
laide	laide	vvd	laid	lay	0
,	,	,	,	,	0
or	or	cc	or	or	0
(	(	(	(	(	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
reproach	reproach	n1	reproach	reproach	0
and	and	cc	and	and	0
losse	losse	n1	loss	loss	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
workeman	workeman	n1	workman	workman	0
)	)	)	)	)	0
swearuing	swearuing	vvg	swearuing	swearue	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
.	.	.	.	.	1
It	It	pn31	It	it	0
may	may	vmb	may	may	0
answere	answere	vvi	answer	answer	0
the	the	dt	the	the	0
foundation	foundation	n1	foundation	foundation	0
laide	laide	vvd	laid	lay	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
swearue	swearue	vvi	swearue	swearue	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
substance	substance	n1	substance	substance	0
:	:	:	:	:	0
or	or	cc	or	or	0
else	else	av	else	else	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
forme	forme	n1	form	form	0
or	or	cc	or	or	0
manner	manner	n1	manner	manner	0
onely	onely	av-j	only	only	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
substance	substance	n1	substance	substance	0
(	(	(	(	(	0
God	God	np1	God	God	0
be	be	vbb	be	be	0
thanked	thanked	vvn	thanked	thank	0
for	for	p-acp	for	for	0
