Illustrious	Illustrious	j	Illustrious	illustrious	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
inducements	inducements	n2	inducements	inducement	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
swayed	swayed	vvn	swayed	sway	0
mee	mee	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Compiling	Compiling	vvg	Compiling	compile	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Tri	Tri	np1	Tri	Tri	0
∣	∣	sy	∣	∣	0
partite	partite	j	partite	partite	0
History	History	n1	History	history	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
survey	survey	n1	survey	survey	0
and	and	cc	and	and	0
prospect	prospect	n1	prospect	prospect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
times	times	n2	times	time	0
and	and	cc	and	and	0
occurrences	occurrences	n2	occurrences	occurrence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
coin	coin	n1	coin	coin	0
∣	∣	sy	∣	∣	0
cident	cident	n1	cident	cident	0
,	,	,	,	,	0
and	and	cc	and	and	0
contemporary	contemporary	j	contemporary	contemporary	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
partly	partly	av	partly	partly	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reader	Reader	n1	Reader	reader	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
contemplation	contemplation	n1	contemplation	contemplation	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
delight	delight	n1	delight	delight	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
a	a	dt	a	a	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
variety	variety	n1	variety	variety	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
chiefly	chiefly	av-jn	chiefly	chief	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
both	both	d	both	both	0
our	our	po12	our	our	0
observation	observation	n1	observation	observation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
good	good	j	good	good	0
and	and	cc	and	and	0
gracious	gracious	j	gracious	gracious	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
preservation	preservation	n1	preservation	preservation	0
and	and	cc	and	and	0
propaga	propaga	fw-la	propaga	propaga	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
just	just	j	just	just	0
and	and	cc	and	and	0
avengefull	avengefull	j	avengeful	avengeful	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
indig	indig	fw-ge	indig	indig	0
∣	∣	sy	∣	∣	0
nation	nation	n1	nation	nation	0
and	and	cc	and	and	0
judgements	judgements	n2	judgements	judgement	0
upon	upon	p-acp	upon	upon	0
those	those	d	those	those	0
two	two	crd	two	two	0
Nations	Nations	n2	Nations	nation	0
that	that	cst	that	that	0
perse	perse	vvi	pierce	pierce	0
∣	∣	sy	∣	∣	0
cuted	cuted	vvi	cut	cut	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
▪	▪	▪	▪	▪	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
have	have	vhi	have	have	0
done	done	vdn	done	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
death	death	n1	death	death	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
executed	executed	vvn	executed	execute	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
death	death	n1	death	death	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
two	two	crd	two	two	0
Theeves	Theeves	n2	Thieves	thief	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
crucified	crucified	vvn	crucified	crucify	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
left	left	j	left	left	0
;	;	;	;	;	0
so	so	av	so	so	0
were	were	vbdr	were	be	0
there	there	a-acp	there	there	0
two	two	crd	two	two	0
worse	worse	jc	worse	worse	0
by	by	p-acp	by	by	0
far	far	j	far	far	0
that	that	cst	that	that	0
crucified	crucified	vvd	crucified	crucify	0
him	him	pno31	him	he	0
,	,	,	,	,	0
the	the	dt	the	the	0
Iew	Iew	np1	Iew	Jew	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Roman	Roman	njp	Roman	roman	0
:	:	:	:	:	0
The	The	dt	The	the	0
former	former	j	former	former	0
of	of	pp-f	of	of	0
ig	ig	n1	ig	ig	0
∣	∣	sy	∣	∣	0
norance	norance	n1	norance	norance	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
once	once	a-acp	once	once	0
obtaine	obtaine	vvi	obtain	obtain	0
mercy	mercy	n1	mercy	mercy	0
;	;	;	;	;	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
even	even	av	even	even	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
confession	confession	n1	confession	confession	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
innocency	innocency	n1	innocency	innocency	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
perish	perish	vvi	perish	perish	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
.	.	.	.	.	1
Both	Both	av-d	Both	both	0
persecutors	persecutors	n2	persecutors	persecutor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
crucifiers	crucifiers	n2	crucifiers	crucifier	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
while	while	n1	while	while	0
they	they	pns32	they	they	0
continued	continued	vvd	continued	continue	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
the	the	dt	the	the	0
Romans	Romans	njp2	Roman	roman	0
while	while	cs	while	while	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
The	The	dt	The	the	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
very	very	j	very	very	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
war	war	n1	war	war	0
∣	∣	sy	∣	∣	0
rant	rant	vvi	rant	rant	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
even	even	av	even	even	0
challenge	challenge	vvi	challenge	challenge	0
a	a	dt	a	a	0
mixture	mixture	n1	mixture	mixture	0
of	of	pp-f	of	of	0
study	study	n1	study	study	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Story	Story	n1	Story	story	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
three	three	crd	three	three	0
together	together	av	together	together	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
footsteps	footsteps	n2	footsteps	footstep	0
of	of	pp-f	of	of	0
providence	providence	n1	providence	providence	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
traced	traced	vvn	traced	trace	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
clearly	clearly	av-j	clearly	clear	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
two	two	crd	two	two	0
impressions	impressions	n2	impressions	impression	0
of	of	pp-f	of	of	0
Mer	Mer	np1	Mer	Mer	0
∣	∣	sy	∣	∣	0
cy	cy	n1	cy	cy	0
and	and	cc	and	and	0
Judgement	Judgement	n1	Judgement	judgement	0
dispensed	dispensed	vvn	dispensed	dispense	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
trariety	trariety	n1	trariety	trariety	0
,	,	,	,	,	0
the	the	dt	the	the	0
former	former	j	former	former	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
two	two	crd	two	two	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
and	and	cc	and	and	0
persecutors	persecutors	n2	persecutors	persecutor	0
of	of	pp-f	of	of	0
her	her	pno31	her	she	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Lord	Lord	n1	Lord	lord	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
taken	taken	vvn	taken	take	0
them	them	pno32	them	they	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
discourse	discourse	n1	discourse	discourse	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
very	very	j	very	very	0
time	time	n1	time	time	0
that	that	cst	that	that	0
thse	thse	d	thse	these	0
two	two	crd	two	two	0
people	people	n1	people	people	0
did	did	vdd	did	do	0
undoe	undoe	vvi	undo	undo	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
doing	doing	vdg	doing	do	0
violence	violence	n1	violence	violence	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
how	how	c-crq	how	how	0
long	long	av-j	long	long	0
a	a	dt	a	a	0
processe	processe	n1	process	process	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
the	the	dt	the	the	0
discourse	discourse	n1	discourse	discourse	0
doth	doth	vdz	does	do	0
carry	carry	vvi	carry	carry	0
them	them	pno32	them	they	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
this	this	d	this	this	0
volumne	volumne	n1	volume	volume	0
will	will	vmb	will	will	0
speak	speak	vvi	speak	speak	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
present	present	j	present	present	0
;	;	;	;	;	0
mine	mine	po11	mine	my	0
intentions	intentions	n2	intentions	intention	0
aime	aime	vvb	aim	aim	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
longer	longer	jc	longer	long	0
extent	extent	n1	extent	extent	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
permit	permit	vvi	permit	permit	0
.	.	.	.	.	1
The	The	dt	The	the	0
Story	Story	n1	Story	story	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
traced	traced	vvn	traced	trace	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Acts	Acts	n2	Acts	act	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
have	have	vhi	have	have	0
rather	rather	av-c	rather	rather	0
set	set	vvn	set	set	0
