AMong	AMong	p-acp	AMong	among	0
all	all	d	all	all	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
histories	histories	n2	histories	history	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saincts	Saincts	n2	Saints	saint	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
registred	registred	vvn	registered	register	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
any	any	d	any	any	0
one	one	crd	one	one	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
bedience	bedience	n1	bedience	bedience	0
comparable	comparable	j	comparable	comparable	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
A	A	dt	A	a	0
∣	∣	sy	∣	∣	0
braham	braham	n1	braham	braham	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
father	father	n1	father	father	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
Rom.	Rom.	np1	Rom.	Rom.	1
4.11	4.11	crd	4.11	4.11	0
.	.	.	.	.	0
so	so	av	so	so	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
propoun	propoun	j	propon	propon	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	pc-acp	to	to	0
all	all	av-d	all	all	0
the	the	dt	the	the	0
heires	heires	n2	heirs	heir	0
of	of	pp-f	of	of	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
worthie	worthie	j	worthy	worthy	0
patterne	patterne	n1	pattern	pattern	0
for	for	p-acp	for	for	0
imitation	imitation	n1	imitation	imitation	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
indued	indued	vvn	endued	endue	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
excellent	excellent	j	excellent	excellent	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
cor	cor	uh	cor	cor	0
∣	∣	sy	∣	∣	0
respondencie	respondencie	n1	respondency	respondency	0
of	of	pp-f	of	of	0
trials	trials	n2	trials	trial	0
proportionable	proportionable	j	proportionable	proportionable	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
manifested	manifested	vvn	manifested	manifest	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
that	that	cst	that	that	0
all	all	d	all	all	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
professe	professe	vvb	profess	profess	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selues	selues	n2	selves	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
Abraham	Abraham	np1	Abraham	Abraham	0
,	,	,	,	,	0
might	might	vmd	might	may	0
either	either	av-d	either	either	0
imitate	imitate	vvi	imitate	imitate	0
his	his	po31	his	his	0
faith	faith	n1	faith	faith	0
and	and	cc	and	and	0
obedience	obedience	n1	obedience	obedience	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
know	know	vvb	know	know	0
themselues	themselues	px32	themselves	themselves	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
children	children	n2	children	child	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
which	which	r-crq	which	which	0
cause	cause	n1	cause	cause	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Apostles	Apostles	np1	Apostles	Apostles	0
Paule	Paule	np1	Paule	Paul	0
and	and	cc	and	and	0
Iames	Iames	np1	Iames	Iames	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
intreating	intreating	vvg	entreating	entreat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
causes	causes	n2	causes	cause	0
whereby	whereby	c-crq	whereby	whereby	0
a	a	dt	a	a	0
