IMmediatlye	IMmediatlye	av-j	Immediately	immediate	0
after	after	c-acp	after	after	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
caused	caused	vvn	caused	cause	0
your	your	po22	your	your	0
articles	articles	n2	articles	article	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
printe	printe	n1	print	print	0
(	(	(	(	(	0
beloued	beloued	vvn	beloved	belove	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
stirred	stirred	vvn	stirred	stir	0
wyth	wyth	p-acp	with	with	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
syre	syre	n1	sire	sire	0
to	to	p-acp	to	to	0
haue	haue	vhi	have	have	0
them	them	pno32	them	they	0
confuted	confuted	vvn	confuted	confute	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
displeasure	displeasure	n1	displeasure	displeasure	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
conceyned	conceyned	vvn	conceyned	conceyn	0
towardes	towardes	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
anye	anye	d	any	any	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whose	whose	rg-crq	whose	who	0
meanes	meanes	n2	means	mean	0
you	you	pn22	you	you	0
shoulde	shoulde	vmd	should	shall	0
be	be	vbi	be	be	0
wil	wil	n1	will	will	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
or	or	cc	or	or	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
)	)	)	)	)	0
required	required	vvd	required	require	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
them	them	pno32	them	they	0
abrod	abrod	av	abroad	abroad	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
onelye	onelye	av-j	only	only	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
to	to	p-acp	to	to	0
Christes	Christes	npg1	Christes	Christ	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
whyche	whyche	r-crq	which	which	0
I	I	pns11	I	i	0
woulde	woulde	vmd	would	will	0
not	not	xx	not	not	0
(	(	(	(	(	0
if	if	cs	if	if	0
my	my	po11	my	my	0
wit	wit	n1	wit	wit	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
were	were	vbdr	were	be	0
corespondente	corespondente	fw-la	corespondente	corespondente	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
