THOMAS	THOMAS	np1	THOMAS	Thomas	0
HOWARD	HOWARD	np1	HOWARD	Howard	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Arundel	Arundel	np1	Arundel	Arundel	0
and	and	cc	and	and	0
Surrey	Surrey	np1	Surrey	Surrey	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Howard	Howard	np1	Howard	Howard	0
,	,	,	,	,	0
Fitz	Fitz	np1	Fitz	Fitz	0
Alan	Alan	np1	Alan	Alan	0
,	,	,	,	,	0
Mow	Mow	vvi	Mow	mow	0
∣	∣	sy	∣	∣	0
brey	brey	n1	brey	brey	0
,	,	,	,	,	0
Matravers	Matravers	np1	Matravers	Matravers	0
,	,	,	,	,	0
Segrave	Segrave	np1	Segrave	Segrave	0
,	,	,	,	,	0
Bruse	Bruse	vvb	Bruise	bruise	0
and	and	cc	and	and	0
Clun	Clun	np1	Clun	Clun	0
.	.	.	.	.	1
SEYMOUR	SEYMOUR	np1	SEYMOUR	Seymour	0
or	or	cc	or	or	0
De	De	fw-fr	De	de	0
Sto	Sto	np1	Sto	Sto	0
Mauro	Mauro	np1	Mauro	Mauro	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Somerset	Somerset	np1	Somerset	Somerset	0
,	,	,	,	,	0
Mar	Mar	vvi	Mar	mar	0
∣	∣	sy	∣	∣	0
quesse	quesse	n1	quesse	quesse	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Hertford	Hertford	np1	Hertford	Hertford	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
Beauchampe	Beauchampe	np1	Beauchampe	Beauchampe	0
and	and	cc	and	and	0
Seymour	Seymour	np1	Seymour	Seymour	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
GEORGE	GEORGE	np1	GEORGE	George	0
VILLIERS	VILLIERS	np1	VILLIERS	Villiers	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Marquesse	Marquesse	np1	Marquesse	Marquesse	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Buckingham	Buckingham	np1	Buckingham	Buckingham	0
,	,	,	,	,	0
Viscount	Viscount	np1	Viscount	Viscount	0
Villiers	Villiers	np1	Villiers	Villiers	0
and	and	cc	and	and	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Whaddon	Whaddon	np1	Whaddon	Whaddon	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
CHARLES	CHARLES	np1	CHARLES	Charles	0
STEWART	STEWART	np1	STEWART	Stewart	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
