COnsydering	COnsydering	vvg	Considering	considere	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
VVorshipfull	VVorshipfull	j	Worshipful	worshipful	0
)	)	)	)	)	0
that	that	d	that	that	0
saying	saying	vvg	saying	say	0
of	of	pp-f	of	of	0
Dauid	Dauid	np1	Dauid	David	0
alleaged	alleaged	vvd	alleged	allege	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
that	that	cst	that	that	0
vnderstandeth	vnderstandeth	vvz	understandeth	understand	0
,	,	,	,	,	0
none	none	pi	none	none	0
that	that	cst	that	that	0
see	see	vvb	see	see	0
∣	∣	sy	∣	∣	0
keth	keth	zz	keth	keth	0
after	after	p-acp	after	after	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
are	are	vbr	are	be	0
gone	gone	vvn	gone	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vvay	vvay	n1	way	way	0
and	and	cc	and	and	0
become	become	vvi	become	become	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
profitable	profitable	j	profitable	profitable	0
:	:	:	:	:	0
me	me	pno11	me	i	0
thinkes	thinkes	vvz	thinks	think	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
liue	liue	vvi	live	live	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
set	set	vvb	set	set	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
blindnesse	blindnesse	n1	blindness	blindness	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
the	the	dt	the	the	0
vvickednesse	vvickednesse	n1	wickedness	wickedness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
vvill	vvill	n1	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
peruersnes	peruersnes	n1	perverseness	perverseness	0
and	and	cc	and	and	0
vnhabilitie	vnhabilitie	n1	unhability	unhability	0
vnto	vnto	p-acp	unto	unto	0
that	that	d	that	that	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
good	good	j	good	good	0
.	.	.	.	.	1
VVhereof	VVhereof	c-crq	Whereof	whereof	0
if	if	cs	if	if	0
vve	vve	pns12	we	we	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
many	many	d	many	many	0
testimonies	testimonies	n2	testimonies	testimony	0
of	of	pp-f	of	of	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
common	common	j	common	common	0
experience	experience	n1	experience	experience	0
vvere	vvere	vbdr	were	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
confirme	confirme	vvi	confirm	confirm	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
vvhen	vvhen	c-crq	when	when	0
vve	vve	pns12	we	we	0
daily	daily	av-j	daily	daily	0
see	see	vvb	see	see	0
men	men	n2	men	man	0
so	so	av	so	so	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
carelesse	carelesse	j	careless	careless	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
vvell	vvell	av	well	well	0
.	.	.	.	.	1
Hovvbeit	Hovvbeit	a-acp	Howbeit	howbeit	0
this	this	d	this	this	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
meruell	meruell	vvb	marvel	marvel	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
tree	tree	n1	tree	tree	0
vvhose	vvhose	rg-crq	whose	who	0
roote	roote	n1	root	root	0
is	is	vbz	is	be	0
rotten	rotten	vvn	rotten	rot	0
and	and	cc	and	and	0
infected	infected	vvn	infected	infect	0
vvith	vvith	p-acp	with	with	0
venimous	venimous	j	venomous	venomous	0
sappe	sappe	n1	sap	sap	0
,	,	,	,	,	0
bringeth	bringeth	vvz	brings	bring	0
forth	forth	av	forth	forth	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
corrupt	corrupt	j	corrupt	corrupt	0
and	and	cc	and	and	0
naughty	naughty	j	naughty	naughty	0
frute	frute	n1	fruit	fruit	0
:	:	:	:	:	0
so	so	av	so	so	0
from	from	p-acp	from	from	0
mans	mans	ng1	men	man	0
hart	hart	n1	heart	hart	0
vvhich	vvhich	r-crq	which	which	0
is	is	vbz	is	be	0
corrupt	corrupt	j	corrupt	corrupt	0
and	and	cc	and	and	0
infected	infected	vvn	infected	infect	0
vvith	vvith	p-acp	with	with	0
the	the	dt	the	the	0
venim	venim	n1	venom	venom	0
of	of	pp-f	of	of	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
can	can	vmb	can	can	0
proceede	proceede	vvi	proceed	proceed	0
nothing	nothing	pix	nothing	nothing	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
good	good	j	good	good	0
.	.	.	.	.	1
Novv	Novv	av	Now	now	0
mans	mans	ng1	men	man	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
being	being	vbg	being	be	0
blinde	blinde	j	blind	blind	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
attaine	attaine	vvi	attain	attain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
knovvledge	knovvledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
conse	conse	fw-fr	conse	conse	0
∣	∣	sy	∣	∣	0
quently	quently	av-j	quently	quent	0
vvithout	vvithout	p-acp	without	without	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
meanes	meanes	n2	means	mean	0
or	or	cc	or	or	0
helpe	helpe	n1	help	help	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
sa	sa	uh	sa	sa	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
