VNDERSTANDING	VNDERSTANDING	n1	VNDERSTANDING	understanding	0
by	by	p-acp	by	by	0
good	good	j	good	good	0
intelligence	intelligence	n1	intelligence	intelligence	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ge	ge	zz	ge	ge	0
∣	∣	sy	∣	∣	0
nerall	nerall	n1	nerall	nerall	0
well	well	n1	well	well	0
liking	liking	vvg	liking	like	0
,	,	,	,	,	0
and	and	cc	and	and	0
grate	grate	vvi	grate	grate	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
acceptation	acceptation	n1	acceptation	acceptation	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Honors	Honors	n2	Honours	honour	0
and	and	cc	and	and	0
Worships	Worships	n2	Worships	worship	0
haue	haue	vhb	have	have	0
had	had	vhn	had	have	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Booke	Booke	n1	Book	book	0
of	of	pp-f	of	of	0
Medita	Medita	np1	Medita	Medita	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reuerend	Reuerend	j-jn	Reverend	reverend	0
Reli	Reli	fw-la	Reli	reli	0
∣	∣	sy	∣	∣	0
gious	gious	j	gious	gious	0
Father	Father	n1	Father	father	0
F.	F.	np1	F.	F.	0
Lewis	Lewis	np1	Lewis	Lewis	0
de	de	fw-fr	de	de	0
Gra	Gra	uh	Gram	gra	0
∣	∣	sy	∣	∣	0
nada	nada	fw-es	nada	nada	0
,	,	,	,	,	0
published	published	vvn	published	publish	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
English	English	jp	English	english	0
tong	tong	n1	tonge	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
dedicated	dedicated	vvn	dedicated	dedicate	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
thereby	thereby	av	thereby	thereby	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
prouoked	prouoked	vvd	provoked	provoke	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
also	also	av	also	also	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Godly	Godly	j	Godly	godly	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
A	A	dt	A	a	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
.	.	.	.	.	0
intituled	intituled	vvn	entitled	entitle	0
A	A	dt	A	a	0
Memoriall	Memoriall	n-jn	Memorial	memorial	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
life	life	n1	life	life	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
among	among	p-acp	among	among	0
all	all	d	all	all	0
his	his	po31	his	his	0
