Dearly	Dearly	av-jn	Dearly	dear	0
beloved	beloved	j-vvn	beloved	belove	0
Friends	Friends	n2	Friends	friend	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
unfeigned	unfeigned	j	unfeigned	unfeigned	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
hitherto	hitherto	av	hitherto	hitherto	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ved	ved	j-vvn	ved	ve	0
me	me	pno11	me	i	0
much	much	d	much	much	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
help	help	n1	help	help	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Truths	Truths	n2	Truths	truth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
acquainted	acquainted	vvn	acquainted	acquaint	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
dead	dead	j	dead	dead	0
and	and	cc	and	and	0
gone	gone	vvn	gone	go	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
same	same	d	same	same	0
Affection	Affection	n1	Affection	affection	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
perswaded	perswaded	vvn	persuaded	persuade	0
me	me	pno11	me	i	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
you	you	pn22	you	you	0
this	this	d	this	this	0
fami	fami	fw-la	fami	fami	0
∣	∣	sy	∣	∣	0
liar	liar	n1	liar	liar	0
Discourse	Discourse	n1	Discourse	discourse	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
heard	heard	av	herd	heard	0
preacht	preacht	vvd	preached	preach	0
;	;	;	;	;	0
And	And	cc	And	and	0
the	the	dt	the	the	0
Reasons	Reasons	n2	Reasons	reason	0
that	that	cst	that	that	0
moved	moved	vvd	moved	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
it	it	pn31	it	it	0
,	,	,	,	,	0
do	do	vdb	do	do	0
move	move	vvi	move	move	0
me	me	pno11	me	i	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
it	it	pn31	it	it	0
;	;	;	;	;	0
that	that	cst	that	that	0
if	if	cs	if	if	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
forgot	forgot	vvn	forgotten	forget	0
it	it	pn31	it	it	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
remembrance	remembrance	n1	remembrance	remembrance	0
;	;	;	;	;	0
or	or	cc	or	or	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
workt	workt	vvn	worked	work	0
not	not	xx	not	not	0
up	up	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hearing	hearing	n-vvg	hearing	hear	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
deliberate	deliberate	j	deliberate	deliberate	0
peru	peru	n2	peru	peru	0
∣	∣	sy	∣	∣	0
sall	sall	vmb	shall	shall	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
Work	Work	vvi	Work	work	0
.	.	.	.	.	1
I	I	pns11	I	i	0
bless	bless	vvb	bless	bless	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
so	so	av	so	so	0
many	many	d	many	many	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
know	know	vvb	know	know	0
by	by	p-acp	by	by	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
the	the	dt	the	the	0
Nature	Nature	n1	Nature	nature	0
of	of	pp-f	of	of	0
Conversion	Conversion	n1	Conversion	conversion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
