SEeing	SEeing	vvg	SEeing	see	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
(	(	(	(	(	0
most	most	ds	most	most	0
Reuerend	Reuerend	j-jn	Reverend	reverend	0
)	)	)	)	)	0
so	so	av	so	so	0
highly	highly	av-j	highly	high	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
esteemed	esteemed	vvn	esteemed	esteem	0
,	,	,	,	,	0
or	or	cc	or	or	0
so	so	av	so	so	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
desired	desired	vvn	desired	desire	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
saluation	saluation	n1	salvation	salvation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
the	the	dt	the	the	0
principall	principall	j-jn	principal	principal	0
and	and	cc	and	and	0
chiefe	chiefe	j-jn	chief	chief	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
creation	creation	n1	creation	creation	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
preseruation	preseruation	n1	preservation	preservation	0
and	and	cc	and	and	0
continuing	continuing	vvg	continuing	continue	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
behoueth	behoueth	vvz	behooves	behoove	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
faile	faile	vvi	fail	fail	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
end	end	n1	end	end	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
liue	liue	vvb	live	live	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
seuerall	seuerall	j	several	several	0
callings	callings	n2	callings	calling	0
wherein	wherein	c-crq	wherein	wherein	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
placed	placed	vvn	placed	place	0
them	them	pno32	them	they	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
this	this	d	this	this	0
alwaies	alwaies	av	always	always	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
their	their	po32	their	their	0
chiefe	chiefe	j-jn	chief	chief	0
marke	marke	n1	mark	mark	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
propound	propound	vvi	propound	propound	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
principall	principall	j-jn	principal	principal	0
scope	scope	n1	scope	scope	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
their	their	po32	their	their	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
vsing	vsing	vvg	using	use	0
all	all	d	all	all	0
good	good	j	good	good	0
meanes	meanes	n2	means	mean	0
whereby	whereby	c-crq	whereby	whereby	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
furthered	furthered	vvn	furthered	further	0
and	and	cc	and	and	0
aduanced	aduanced	vvd	advanced	advance	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
Princes	Princes	n2	Princes	prince	0
and	and	cc	and	and	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
enacting	enacting	vvg	enacting	enact	0
good	good	j	good	good	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
seeing	seeing	vvg	seeing	see	0
them	them	pno32	them	they	0
duely	duely	av-jn	duly	due	0
executed	executed	vvn	executed	execute	0
,	,	,	,	,	0
making	making	vvg	making	make	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
liues	liues	n2	lives	life	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
rules	rules	vvz	rules	rule	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
obedience	obedience	n1	obedience	obedience	0
which	which	r-crq	which	which	0
