NOT	NOT	xx	NOT	not	0
only	only	av-j	only	only	0
novv	novv	av	now	now	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
some	some	d	some	some	0
in	in	p-acp	in	in	0
ENGLAND	ENGLAND	np1	ENGLAND	England	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Learned	Learned	vvn	Learned	learn	0
vvho	vvho	r-crq	who	who	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
may	may	vmb	may	may	0
neither	neither	av-dx	neither	neither	0
be	be	vbi	be	be	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
taken	taken	vvn	taken	take	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
.	.	.	.	.	1
Againe	Againe	av	Again	again	0
some	some	d	some	some	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
Learned	Learned	vvn	Learned	learn	0
vvho	vvho	r-crq	who	who	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
both	both	av-d	both	both	0
Learned	Learned	j	Learned	learned	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
;	;	;	;	;	0
vvhereunto	vvhereunto	c-crq	whereunto	whereunto	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
a	a	dt	a	a	0
fift	fift	ord	fift	five	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
take	take	vvb	take	take	0
themselues	themselues	px32	themselves	themselves	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Learned	Learned	vvn	Learned	learn	0
,	,	,	,	,	0
vvhen	vvhen	c-crq	when	when	0
indeed	indeed	av	indeed	indeed	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
.	.	.	.	.	1
And	And	cc	And	and	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
last	last	ord	last	last	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
certaine	certaine	j	certain	certain	0
reasons	reasons	n2	reasons	reason	0
(	(	(	(	(	0
not	not	xx	not	not	0
need	need	av	needs	needs	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
heere	heere	av	here	here	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
related	related	vvn	related	relate	0
)	)	)	)	)	0
this	this	d	this	this	0
Worke	Worke	n1	Work	work	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
reseruedly	reseruedly	av-vvn	reservedly	reserve	0
dedicated	dedicated	vvn	dedicated	dedicate	0
;	;	;	;	;	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
so	so	av	so	so	0
far	far	av-j	far	far	0
forth	forth	av	forth	forth	0
only	only	av-j	only	only	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
