{	{	{	{	{	0
inverted	inverted	vvn	inverted	invert	0
⁂	⁂	⁂	⁂	⁂	0
}	}	}	}	}	0
TO	TO	p-acp	TO	to	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
dedicate	dedicate	vvb	dedicate	dedicate	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
This	This	d	This	this	0
frame	frame	n1	frame	frame	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
erected	erected	vvn	erected	erect	0
,	,	,	,	,	0
For	For	c-acp	For	for	0
your	your	po22	your	your	0
faire	faire	j	fair	fair	0
mind	mind	n1	mind	mind	0
I	I	pns11	I	i	0
hold	hold	vvb	hold	hold	0
the	the	dt	the	the	0
fittest	fittest	js	fittest	fit	0
place	place	n1	place	place	0
,	,	,	,	,	0
Where	Where	q-crq	Where	where	0
virtue	virtue	n1	virtue	virtue	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
fetled	fetled	vvn	fetled	fetle	0
&	&	cc	&	and	0
protected	protected	vvn	protected	protect	0
;	;	;	;	;	0
If	If	cs	If	if	0
highest	highest	js	highest	high	0
thoughts	thoughts	n2	thoughts	thought	0
true	true	j	true	true	0
honor	honor	n1	honour	honour	0
do	do	vdb	do	do	0
imbrace	imbrace	vvi	embrace	embrace	0
,	,	,	,	,	0
And	And	cc	And	and	0
holy	holy	j	holy	holy	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
respected	respected	vvd	respected	respect	0
:	:	:	:	:	0
Then	Then	av	Then	then	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Mirrour	Mirrour	n1	Mirror	mirror	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
faire	faire	j	fair	fair	0
eyes	eyes	n2	eyes	eye	0
looke	looke	vvi	look	look	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
view	view	vvi	view	view	0
your	your	po22	your	your	0
virtues	virtues	n2	virtues	virtue	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
blessed	blessed	j-vvn	blessed	bless	0
Booke	Booke	n1	Book	book	0
.	.	.	.	.	1
Blest	Blest	j-vvn	Blessed	bless	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
Sauiours	Sauiours	ng1	Saviour's	saviour	0
merits	merits	n2	merits	merit	0
,	,	,	,	,	0
not	not	xx	not	not	0
my	my	po11	my	my	0
skil	skil	n1	skill	skill	0
,	,	,	,	,	0
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
very	very	av	very	very	0
small	small	j	small	small	0
;	;	;	;	;	0
Yet	Yet	av	Yet	yet	0
if	if	cs	if	if	0
the	the	dt	the	the	0
least	least	ds	least	least	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
blessed	blessed	j-vvn	blessed	bless	0
Will	Will	vmb	Will	will	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
perform'd	perform'd	vvn	performed	perform	0
,	,	,	,	,	0
I	I	pns11	I	i	0
count	count	vvb	count	count	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
all	all	d	all	all	0
:	:	:	:	:	0
One	One	pi	One	one	0
sparke	sparke	n1	spark	spark	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
sufficient	sufficient	j	sufficient	sufficient	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
fill	fill	vvi	fill	fill	0
Our	Our	po12	Our	our	0
Lampes	Lampes	n2	Lamps	lamp	0
with	with	p-acp	with	with	0
oyle	oyle	n1	oil	oil	0
,	,	,	,	,	0
ready	ready	av-j	ready	ready	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
call	call	vvi	call	call	0
To	To	pc-acp	To	to	0
enter	enter	vvi	enter	enter	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Bridegroome	Bridegroome	n1	Bridegroom	bridegroom	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
feast	feast	n1	feast	feast	0
,	,	,	,	,	0
Where	Where	c-crq	Where	where	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
least	least	ds	least	least	0
.	.	.	.	.	1
Greatnesse	Greatnesse	n1	Greatness	greatness	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
sure	sure	j	sure	sure	0
frame	frame	n1	frame	frame	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
vpon	vpon	p-acp	upon	upon	0
,	,	,	,	,	0
No	No	dx	No	no	0
worldly	worldly	j	worldly	worldly	0
treasure	treasure	n1	treasure	treasure	0
can	can	vmb	can	can	0
assure	assure	vvi	assure	assure	0
that	that	d	that	that	0
place	place	n1	place	place	0
;	;	;	;	;	0
God	God	np1	God	God	0
