MOST	MOST	av-ds	MOST	most	0
SACRED	SACRED	j	SACRED	sacred	0
SOVERAIGN	SOVERAIGN	n-jn	SOVERAIGN	sovereign	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
aduentured	aduentured	vvn	adventured	adventure	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
your	your	po22	your	your	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
iestie	iestie	n1	iestie	iestie	0
,	,	,	,	,	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
faire	faire	j	fair	fair	0
pourtrait	pourtrait	n1	portrait	portrait	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
slight	slight	j	slight	slight	0
shadow	shadow	n1	shadow	shadow	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
imperiall	imperiall	j-jn	imperial	imperial	0
greatnesse	greatnesse	n1	greatness	greatness	0
,	,	,	,	,	0
Which	Which	r-crq	Which	which	0
I	I	pns11	I	i	0
began	began	vvd	began	begin	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
then	then	av	then	then	0
the	the	dt	the	the	0
end	end	n1	end	end	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
nubibus	nubibus	fw-la	nubibus	nubes	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
abeiance	abeiance	n1	abeiance	abeiance	0
(	(	(	(	(	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
say	say	vvb	say	say	0
)	)	)	)	)	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
finish	finish	vvi	finish	finish	0
it	it	pn31	it	it	0
(	(	(	(	(	0
accor	accor	n1	accor	accor	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
proiect	proiect	n1	project	project	0
)	)	)	)	)	0
vntill	vntill	c-acp	until	until	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
sent	sent	vvn	sent	send	0
,	,	,	,	,	0
Expectatio	Expectatio	fw-la	Expectatio	expectatio	0
gentium	gentium	fw-la	gentium	gentium	0
(	(	(	(	(	0
Britannicatū	Britannicatū	fw-la	Britannicatū	britannicatū	0
)	)	)	)	)	0
should	should	vmd	should	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
dained	dained	vvd	dained	dain	0
from	from	p-acp	from	from	0
aboue	aboue	p-acp	above	above	0
to	to	pc-acp	to	to	0
weare	weare	vvi	wear	wear	0
all	all	d	all	all	0
these	these	d	these	these	0
crownes	crownes	n2	crowns	crown	0
and	and	cc	and	and	0
garlands	garlands	n2	garlands	garland	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
reduce	reduce	vvi	reduce	reduce	0
this	this	d	this	this	0
whole	whole	j-jn	whole	whole	0
Isle	Isle	n1	Isle	isle	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
hereditary	hereditary	j	hereditary	hereditary	0
Kingdomes	Kingdomes	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
Prouinces	Prouinces	n2	Provinces	province	0
thereof	thereof	av	thereof	thereof	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
monarchie	monarchie	n1	monarchy	monarchy	0
,	,	,	,	,	0
and	and	cc	and	and	0
entire	entire	j	entire	entire	0
Empire	Empire	n1	Empire	empire	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
ancient	ancient	n1	ancient	ancient	0
.	.	.	.	.	1
British	British	np1	British	British	0
Saxon	Saxon	jp	Saxon	saxon	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
English	English	jp	English	english	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Norman	Norman	jp	Norman	norman	0
,	,	,	,	,	0
or	or	cc	or	or	0
Danish	Danish	jp	Danish	danish	0
race	race	n1	raze	race	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
hereaf	hereaf	vvi	hereaf	hereaf	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
appeare	appeare	vvi	appear	appear	0
.	.	.	.	.	1
The	The	dt	The	the	0
foundation	foundation	n1	foundation	foundation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
great	great	j	great	great	0
worke	worke	n1	work	work	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
layd	layd	vvn	laid	lay	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
Kings	Kings	n2	Kings	king	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
ancestors	ancestors	n2	ancestors	ancestor	0
(	(	(	(	(	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
by	by	p-acp	by	by	0
alliance	alliance	n1	alliance	alliance	0
,	,	,	,	,	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
armes	armes	n2	arms	arm	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
plots	plots	n2	plots	plot	0
were	were	vbdr	were	be	0
frustrate	frustrate	vvb	frustrate	frustrate	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
lately	lately	av-j	lately	late	0
by	by	p-acp	by	by	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
mediated	mediated	vvn	mediated	mediate	0
the	the	dt	the	the	0
mariage	mariage	n1	marriage	marriage	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Princesse	Princesse	n1	Princess	princess	0
of	of	pp-f	of	of	0
Scotland	Scotland	np1	Scotland	Scotland	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
mother	mother	n1	mother	mother	0
:	:	:	:	:	0
Vide	Vide	fw-la	Vide	vide	0
R.	R.	np1	R.	R.	0
Ascamin	Ascamin	np1	Ascamin	Ascamin	0
