NO	NO	dx	NO	no	0
Nation	Nation	n1	Nation	nation	0
euer	euer	av	ever	ever	0
vnder	vnder	p-acp	under	under	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
English	English	jp	English	english	0
men	men	n2	men	man	0
grealy	grealy	j	grealy	grealy	0
bound	bound	vvn	bound	bind	0
to	to	p-acp	to	to	0
praise	praise	n1	praise	praise	0
and	and	cc	and	and	0
serue	serue	vvi	serve	serve	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
rich	rich	j	rich	rich	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sings	sings	vvz	sings	sing	0
in	in	p-acp	in	in	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
hap	hap	n1	hap	hap	0
∣	∣	sy	∣	∣	0
pie	pie	uh	pie	pie	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
maiestie	maiestie	n1	majesty	majesty	0
.	.	.	.	.	0
more	more	dc	more	more	0
bound	bound	n1	bound	bound	0
to	to	pc-acp	to	to	0
praise	praise	vvi	praise	praise	0
&	&	cc	&	and	0
serue	serue	vvi	serve	serve	0
God	God	np1	God	God	0
,	,	,	,	,	0
then	then	cs	then	than	0
we	we	po12	we	our	0
English	English	jp	English	english	0
men	men	n2	men	man	0
;	;	;	;	;	0
now	now	av	now	now	0
aboue	aboue	p-acp	above	above	0
fortie	fortie	crd	fortie	forty	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
happie	happie	j	happy	happy	0
raigne	raigne	n1	reign	reign	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
deare	deare	j-jn	deer	dear	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
and	and	cc	and	and	0
Ladie	Ladie	n1	Lady	lady	0
Queene	Queene	n1	Queen	queen	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
(	(	(	(	(	0
whom	whom	r-crq	whom	who	0
God	God	np1	God	God	0
long	long	av-j	long	long	0
preserue	preserue	vvi	preserve	preserve	0
)	)	)	)	)	0
tasting	tasting	vvg	tasting	taste	0
&	&	cc	&	and	0
enioying	enioying	vvg	enjoying	enjoy	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
goodnes	goodnes	n1	goodness	goodness	0
&	&	cc	&	and	0
fauor	fauor	n1	favour	favour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
most	most	av-ds	most	most	0
kindly	kindly	av-j	kindly	kind	0
shewing	shewing	vvg	showing	show	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
shining	shining	vvg	shining	shine	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
harts	harts	n2	hearts	heart	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
blessed	blessed	j-vvn	blessed	bless	0
and	and	cc	and	and	0
ioyfull	ioyfull	j	joyful	joyful	0
Gospel	Gospel	n1	Gospel	gospel	0
.	.	.	.	.	1
No	No	dx	No	no	0
nation	nation	n1	nation	nation	0
euer	euer	av	ever	ever	0
vnder	vnder	p-acp	under	under	0
heauen	heauen	n1	heaven	heaven	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
more	more	dc	more	more	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
ioy	ioy	n1	joy	joy	0
,	,	,	,	,	0
and	and	cc	and	and	0
comfortable	comfortable	j	comfortable	comfortable	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
couragement	couragement	n1	couragement	couragement	0
vnto	vnto	p-acp	unto	unto	0
godlinesse	godlinesse	n1	godliness	godliness	0
and	and	cc	and	and	0
honestie	honestie	n1	honesty	honesty	0
,	,	,	,	,	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
Eng	Eng	np1	Eng	Eng	0
∣	∣	sy	∣	∣	0
lishmen	lishmen	n2	lishmen	lishman	0
,	,	,	,	,	0
all	all	d	all	all	0
these	these	d	these	these	0
yeares	yeares	n2	years	year	0
:	:	:	:	:	0
when	when	c-crq	when	when	0
God	God	np1	God	God	0
most	most	av-ds	most	most	0
miraculously	miraculously	av-j	miraculously	miraculous	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
maiden	maiden	n1	maiden	maiden	0
Queene	Queene	n1	Queen	queen	0
,	,	,	,	,	0
(	(	(	(	(	0
the	the	dt	the	the	0
weaker	weaker	jc	weaker	weak	0
vessell	vessell	n1	vessel	vessel	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
his	his	po31	his	his	0
name	name	n1	name	name	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Saintes	Saintes	n2	Saints	saint	0
glorious	glorious	j	glorious	glorious	0
by	by	p-acp	by	by	0
deliueraunce	deliueraunce	n1	deliverance	deliverance	0
:	:	:	:	:	0
