SEyng	SEyng	vvg	Sing	sing	0
(	(	(	(	(	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lordes	Lordes	n2	Lords	lord	0
)	)	)	)	)	0
that	that	cst	that	that	0
all	all	d	all	all	0
,	,	,	,	,	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
Rulers	Rulers	n2	Rulers	ruler	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gouernours	Gouernours	n2	Governors	governor	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
ordenaunce	ordenaunce	n1	ordinance	ordinance	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Sainct	Sainct	n1	Saint	saint	0
Paule	Paule	np1	Paule	Paul	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
13.	13.	crd	13.	13.	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ro	Ro	np1	Ro	Ro	0
∣	∣	sy	∣	∣	0
maines	maines	j	maines	maines	0
,	,	,	,	,	0
and	and	cc	and	and	0
diuers	diuers	j	diverse	diverse	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Scripture	Scripture	n1	Scripture	scripture	0
witnesseth	witnesseth	vvz	witnesseth	witness	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
Carie	Carie	vvb	Carry	carry	0
not	not	xx	not	not	0
the	the	dt	the	the	0
sworde	sworde	n1	sword	sword	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preseruation	preseruation	n1	preservation	preservation	0
and	and	cc	and	and	0
main	main	j	main	main	0
∣	∣	sy	∣	∣	0
tenaunce	tenaunce	n1	tenaunce	tenaunce	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
resi	resi	n1	resi	resi	0
∣	∣	sy	∣	∣	0
sting	sting	n1	sting	sting	0
and	and	cc	and	and	0
punishyng	punishyng	vvg	punishing	punish	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
and	and	cc	and	and	0
vngodly	vngodly	j	ungodly	ungodly	0
:	:	:	:	:	0
Well	Well	av	Well	well	0
then	then	av	then	then	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
my	my	po11	my	my	0
Lordes	Lordes	n2	Lords	lord	0
,	,	,	,	,	0
the	the	dt	the	the	0
Estates	Estates	n2	Estates	estate	0
,	,	,	,	,	0
and	and	cc	and	and	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prouinces	Prouinces	n2	Provinces	province	0
vni	vni	fw-fr	vni	vni	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lowe	lowe	j	low	low	0
Countreis	Countreis	n2	Countries	country	0
,	,	,	,	,	0
deserued	deserued	vvd	deserved	deserve	0
all	all	d	all	all	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
commen	commen	vvi	come	come	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
wonderfull	wonderfull	j	wonderful	wonderful	0
dissentions	dissentions	n2	dissensions	dissension	0
and	and	cc	and	and	0
breaches	breaches	n2	breaches	breach	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prouinces	Prouinces	n2	Provinces	province	0
and	and	cc	and	and	0
Cities	Cities	n2	Cities	city	0
(	(	(	(	(	0
that	that	cst	that	that	0
separated	separated	vvd	separated	separate	0
them	them	pno32	them	they	0
sel	sel	vvd	sell	fall	0
∣	∣	sy	∣	∣	0
ues	ues	n1	ues	ues	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
nomber	nomber	n1	number	number	0
,	,	,	,	,	0
bothe	bothe	d	both	both	0
forgettyng	forgettyng	vvg	forgetting	forget	0
al	al	d	all	all	0
their	their	po32	their	their	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
othe	othe	n1	other	oath	0
,	,	,	,	,	0
and	and	cc	and	and	0
condescendyng	condescendyng	j-vvg	condescending	condescend	0
and	and	cc	and	and	0
agreeyng	agreeyng	vvg	agreeing	agree	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Enemie	Enemie	n1	Enemy	enemy	0
)	)	)	)	)	0
haue	haue	vhi	have	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
continued	continued	vvn	continued	continue	0
their	their	po32	their	their	0
vnitie	vnitie	n1	unity	unity	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
greate	greate	j	great	great	0
deale	deale	n1	deal	deal	0
more	more	av-dc	more	more	0
confirmed	confirmed	vvn	confirmed	confirm	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
throughly	throughly	av-j	thoroughly	thorough	0
cō	cō	fw-mi	cō	cō	0
∣	∣	sy	∣	∣	0
sider	sider	vvb	sider	sider	0
of	of	a-acp	of	off	0
the	the	dt	the	the	0
great	great	j	great	great	0
constancie	constancie	n1	constancy	constancy	0
and	and	cc	and	and	0
stabilitie	stabilitie	n1	stability	stability	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Estates	Estates	n2	Estates	estate	0
of	of	pp-f	of	of	0
Hol	Hol	np1	Hol	Hol	0
∣	∣	sy	∣	∣	0
lande	lande	n1	land	land	0
and	and	cc	and	and	0
Zealande	Zealande	n1	Zealande	zealande	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
marueilous	marueilous	j	marvelous	marvelous	0
greate	greate	j	great	great	0
fidelitie	fidelitie	n1	fidelity	fidelity	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Lorde	Lorde	n1	Lord	lord	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Orenge	Orenge	np1	Orenge	Orange	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
ioynly	ioynly	av-j	ioynly	ioyn	0
,	,	,	,	,	0
and	and	cc	and	and	0
altogether	altogether	av	altogether	altogether	0
,	,	,	,	,	0
very	very	av	very	very	0
faithfully	faithfully	av-j	faithfully	faithful	0
haue	haue	vhb	have	have	0
performed	performed	vvn	performed	perform	0
all	all	d	all	all	0
office	office	n1	office	office	0
&	&	cc	&	and	0
duetie	duetie	n1	duty	duty	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
main	main	n1	main	main	0
∣	∣	sy	∣	∣	0
tenaunce	tenaunce	n1	tenaunce	tenaunce	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
warres	warres	n2	wars	war	0
against	against	p-acp	against	against	0
Tyrauntes	Tyrauntes	n2	Tyrants	tyrant	0
.	.	.	.	.	1
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
possibly	possibly	av-j	possibly	possible	0
but	but	p-acp	but	but	0
commende	commende	vvi	commend	commend	0
and	and	cc	and	and	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
their	their	po32	their	their	0
deserued	deserued	j-vvn	deserved	deserve	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
