Tit.	Tit.	np1	Tit.	Tit.	0
1.15	1.15	crd	1.15	1.15	0
.	.	.	.	.	1
RIght	RIght	av-jn	RIght	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
excellent	excellent	j	excellent	excellent	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
saying	saying	n-vvg	saying	say	0
of	of	pp-f	of	of	0
Paul	Paul	np1	Paul	Paul	0
to	to	p-acp	to	to	0
Titus	Titus	np1	Titus	Titus	0
,	,	,	,	,	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
pure	pure	j	pure	pure	0
all	all	d	all	all	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
pure	pure	j	pure	pure	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
impure	impure	j	impure	impure	0
and	and	cc	and	and	0
vnbe	vnbe	n1	vnbe	vnbe	0
∣	∣	sy	∣	∣	0
leeuing	leeuing	vvg	leeuing	leeue	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
pure	pure	j	pure	pure	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
euen	euen	av-j	even	even	0
their	their	po32	their	their	0
mindes	mindes	n2	minds	mind	0
and	and	cc	and	and	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
sciences	sciences	n2	sciences	science	0
are	are	vbr	are	be	0
defiled	defiled	vvn	defiled	defile	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
wordes	wordes	n2	words	word	0
he	he	pns31	he	he	0
determines	determines	vvz	determines	determine	0
three	three	crd	three	three	0
que	que	fw-fr	que	que	0
∣	∣	sy	∣	∣	0
stions	stions	n2	scions	scion	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
things	things	n2	things	thing	0
ordained	ordained	vvn	ordained	ordain	0
and	and	cc	and	and	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
,	,	,	,	,	0
may	may	vmb	may	may	0
become	become	vvi	become	become	0
vncleane	vncleane	j	unclean	unclean	0
or	or	cc	or	or	0
no	no	dx	no	no	0
?	?	?	?	?	0
his	his	po31	his	his	0
