Dread	Dread	j	Dread	dread	0
Soveraign	Soveraign	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
TRue	TRue	j	TRue	true	0
Loyalty	Loyalty	n1	Loyalty	loyalty	0
hath	hath	vhz	hath	have	0
imboldned	imboldned	vvd	emboldened	embolden	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
this	this	d	this	this	0
Subject	Subject	n-jn	Subject	subject	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
not	not	xx	not	not	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Sinester	Sinester	jc	Sinester	sinest	0
Ends	Ends	n2	Ends	end	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalf	behalf	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truly	truly	av-j	truly	true	0
Loyal	Loyal	j	Loyal	loyal	0
Commissi	Commissi	np1	Commissi	Commissi	0
∣	∣	sy	∣	∣	0
on'd	on'd	j-vvn	oned	on	0
Officers	Officers	n2	Officers	officer	0
;	;	;	;	;	0
them	them	pns32	them	they	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
declare	declare	vvi	declare	declare	0
and	and	cc	and	and	0
prove	prove	vvi	prove	prove	0
themselves	themselves	px32	themselves	themselves	0
so	so	av	so	so	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Causes	Causes	n2	Causes	cause	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
their	their	po32	their	their	0
Wants	Wants	vvz	Wants	want	0
,	,	,	,	,	0
Sufferings	Sufferings	n2	Sufferings	suffering	0
,	,	,	,	,	0
and	and	cc	and	and	0
Indigencies	Indigencies	n2	Indigencies	indigency	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
your	your	po22	your	your	0
happy	happy	j	happy	happy	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
stauration	stauration	n1	stauration	stauration	0
:	:	:	:	:	0
We	We	pns12	We	we	0
must	must	vmb	must	must	0
confess	confess	vvi	confess	confess	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
and	and	cc	and	and	0
Parliament	Parliament	n1	Parliament	parliament	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
bountiful	bountiful	j	bountiful	bountiful	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
the	the	dt	the	the	0
Sinester	Sinester	jc	Sinester	sinest	0
self-ends	self-ends	n2	self-ends	self-end	0
and	and	cc	and	and	0
Covetousness	Covetousness	n1	Covetousness	covetousness	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
Managing	Managing	n-vvg	Managing	manage	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Gracious	Gracious	j	Gracious	gracious	0
Favours	Favours	n2	Favours	favour	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
left	left	vvn	left	leave	0
us	us	pno12	us	we	0
still	still	av	still	still	0
Indigent	Indigent	j	Indigent	indigent	0
Officers	Officers	n2	Officers	officer	0
;	;	;	;	;	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
enricht	enricht	vvn	enriched	enrich	0
themselves	themselves	px32	themselves	themselves	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
Ruines	Ruines	n2	Ruins	ruin	0
.	.	.	.	.	1
All	All	av-d	All	all	0
that	that	d	that	that	0
we	we	pns12	we	we	0
humbly	humbly	av-j	humbly	humble	0
beg	beg	vvb	beg	beg	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Kings	Kings	ng1	Kings	king	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Blessed	Blessed	j-vvn	Blessed	bless	0
Fathers	Fathers	ng1	Father's	father	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
;	;	;	;	;	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
so	so	av	so	so	0
gra	gra	j	gram	great	0
∣	∣	sy	∣	∣	0
giously	giously	av-j	giously	gious	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
afford	afford	vvi	afford	afford	0
that	that	d	that	that	0
small	small	j	small	small	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
peruse	peruse	vvi	peruse	peruse	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
or	or	cc	or	or	0
Refer	Refer	vvb	Refer	refer	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
give	give	vvi	give	give	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
an	an	dt	and	a	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Here	Here	av	Here	here	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
Truth	Truth	n1	Truth	truth	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
deckt	deckt	vvn	decked	deck	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
mean	mean	j	mean	mean	0
Habit	Habit	n1	Habit	habit	0
of	of	pp-f	of	of	0
poor	poor	j	poor	poor	0
Language	Language	n1	Language	language	0
,	,	,	,	,	0
being	being	vbg	being	be	0
more	more	av-dc	more	more	0
Souldier	Souldier	n1	Soldier	soldier	0
then	then	cs	then	than	0
Scholar	Scholar	n1	Scholar	scholar	0
.	.	.	.	.	1
Thirty	Thirty	crd	Thirty	thirty	0
five	five	crd	five	five	0
Years	Years	n2	Years	year	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
served	served	vvn	served	serve	0
and	and	cc	and	and	0
suffered	suffered	vvn	suffered	suffer	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Royal	Royal	j	Royal	royal	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
ever	ever	av	ever	ever	0
Blessed	Blessed	j-vvn	Blessed	bless	0
Memory	Memory	n1	Memory	memory	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Sa	Sa	uh	Sa	sa	0
∣	∣	sy	∣	∣	0
cred	cred	j	cred	cred	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
above	above	p-acp	above	above	0
half	half	j-jn	half	half	0
the	the	dt	the	the	0
Age	Age	n1	Age	age	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
.	.	.	.	.	1
Twenty	Twenty	crd	Twenty	twenty	0
Years	Years	n2	Years	year	0
before	before	p-acp	before	before	0
your	your	po22	your	your	0
happy	happy	j	happy	happy	0
Restauration	Restauration	n1	Restauration	restauration	0
,	,	,	,	,	0
we	we	pns12	we	we	0
spent	spent	vvd	spent	spend	0
our	our	po12	our	our	0
Youths	Youths	n2	Youths	youth	0
,	,	,	,	,	0
our	our	po12	our	our	0
