MOST	MOST	av-ds	MOST	most	0
Noble	Noble	j	Noble	noble	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hum	hum	uh	hum	humh	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
intreat	intreat	n1	entreat	entreat	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
count	count	vvi	count	count	0
it	it	pn31	it	it	0
presumptuous	presumptuous	j	presumptuous	presumptuous	0
bodlnes	bodlnes	n1	bodlnes	bodlnes	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
man	man	n1	man	man	0
so	so	av	so	so	0
meanly	meanly	av-j	meanly	mean	0
qualified	qualified	vvn	qualified	qualify	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
a	a	dt	a	a	0
Booke	Booke	n1	Book	book	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
so	so	av	so	so	0
Noble	Noble	j	Noble	noble	0
a	a	dt	a	a	0
personage	personage	n1	personage	personage	0
;	;	;	;	;	0
the	the	dt	the	the	0
zeale	zeale	n1	zeal	zeal	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
glorious	glorious	j	glorious	glorious	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
honor	honor	n1	honour	honour	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
visible	visible	j	visible	visible	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Great	Great	j	Great	great	0
Brittaine	Brittaine	np1	Brittaine	Britain	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
my	my	po11	my	my	0
first	first	ord	first	first	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
corrupted	corrupted	j-vvn	corrupted	corrupt	0
nature	nature	n1	nature	nature	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
Gods	Gods	npg1	Gods	God	0
good	good	j	good	good	0
time	time	n1	time	time	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
blessing	blessing	n1	blessing	blessing	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
ordinance	ordinance	n1	ordinance	ordinance	0
,	,	,	,	,	0
