REverend	REverend	j-jn	REverend	reverend	0
,	,	,	,	,	0
and	and	cc	and	and	0
much	much	d	much	much	0
honoured	honoured	j-vvn	honoured	honour	0
Fathers	Fathers	n2	Father's	father	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
received	received	j-vvn	received	receive	0
Maxime	Maxime	n1	Maxim	maxim	0
,	,	,	,	,	0
that	that	cst	that	that	0
publike	publike	j	public	public	0
rights	rights	n2-jn	rights	right	0
and	and	cc	and	and	0
interests	interests	n2	interests	interest	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
preferred	preferred	vvn	preferred	prefer	0
before	before	p-acp	before	before	0
private	private	j	private	private	0
and	and	cc	and	and	0
par	par	fw-la	par	par	0
∣	∣	sy	∣	∣	0
ticular	ticular	j	ticular	ticular	0
;	;	;	;	;	0
spiritual	spiritual	j	spiritual	spiritual	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
secular	secular	j	secular	secular	0
;	;	;	;	;	0
divine	divine	j-jn	divine	divine	0
before	before	c-acp	before	before	0
humane	humane	j	humane	humane	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
internal	internal	j	internal	internal	0
spiritual	spiritual	j	spiritual	spiritual	0
gover	gover	n1	gover	gover	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
invisible	invisible	j	invisible	invisible	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
is	is	vbz	is	be	0
farre	farre	av-j	far	far	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
then	then	cs	then	than	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
:	:	:	:	:	0
so	so	av	so	so	0
also	also	av	also	also	0
his	his	po31	his	his	0
external	external	j	external	external	0
visible	visible	j	visible	visible	0
government	government	n1	government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
visible	visible	j	visible	visible	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
preheminence	preheminence	n1	pre-eminence	pre-eminence	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
visible	visible	j	visible	visible	0
civil	civil	j	civil	civil	0
governments	governments	n2	governments	government	0
and	and	cc	and	and	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
lawful	lawful	j	lawful	lawful	0
even	even	av	even	even	0
for	for	p-acp	for	for	0
private	private	j	private	private	0
persons	persons	n2	persons	person	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
humane	humane	j	humane	humane	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
the	the	dt	the	the	0
extents	extents	n2	extents	extent	0
and	and	cc	and	and	0
rights	rights	n2-jn	rights	right	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
particular	particular	j	particular	particular	0
civil	civil	j	civil	civil	0
inheritances	inheritances	n2	inheritances	inheritance	0
and	and	cc	and	and	0
possessions	possessions	n2	possessions	possession	0
:	:	:	:	:	0
and	and	cc	and	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
accounted	accounted	vvn	accounted	account	0
the	the	dt	the	the	0
duty	duty	n1	duty	duty	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
subjects	subjects	n2-jn	subject's	subject	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
the	the	dt	the	the	0
extents	extents	n2	extents	extent	0
and	and	cc	and	and	0
rights	rights	n2-jn	rights	right	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
civil	civil	j	civil	civil	0
Soveraigns	Soveraigns	n2-jn	Sovereigns	sovereign	0
Dominions	Dominions	n2	Dominions	dominion	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Estates	Estates	n2	Estates	estate	0
and	and	cc	and	and	0
Lives	Lives	n2	Lives	life	0
,	,	,	,	,	0
even	even	av	even	even	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Sword	Sword	n1	Sword	sword	0
:	:	:	:	:	0
then	then	cs	then	than	0
much	much	d	much	much	0
more	more	dc	more	more	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
duty	duty	n1	duty	duty	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
disputes	disputes	vvz	disputes	dispute	0
and	and	cc	and	and	0
argumentations	argumentations	n2	argumentations	argumentation	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
the	the	dt	the	the	0
extents	extents	n2	extents	extent	0
and	and	cc	and	and	0
rights	rights	n2-jn	rights	right	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
external	external	j	external	external	0
political	political	j	political	political	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
;	;	;	;	;	0
the	the	dt	the	the	0
one	one	pi	one	one	0
being	being	vbg	being	be	0
but	but	p-acp	but	but	0
of	of	pp-f	of	of	0
civil	civil	j	civil	civil	0
concernment	concernment	n1	concernment	concernment	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
divine	divine	j-jn	divine	divine	0
;	;	;	;	;	0
the	the	dt	the	the	0
one	one	pi	one	one	0
tending	tending	vvg	tending	tend	0
but	but	p-acp	but	but	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
civil	civil	j	civil	civil	0
end	end	n1	end	end	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
a	a	dt	a	a	0
spiritual	spiritual	j	spiritual	spiritual	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
none	none	pix	none	none	0
will	will	vmb	will	will	0
blame	blame	vvi	blame	blame	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
appearing	appearing	vvg	appearing	appear	0
in	in	p-acp	in	in	0
publike	publike	j	public	public	0
to	to	pc-acp	to	to	0
contend	contend	vvi	contend	contend	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
extent	extent	n1	extent	extent	0
and	and	cc	and	and	0
rights	rights	n2-jn	rights	right	0
