WEE	WEE	pns12	we	we	0
are	are	vbr	are	be	0
angariated	angariated	vvn	angariated	angariate	0
(	(	(	(	(	0
wee	wee	pns12	we	we	0
make	make	vvb	make	make	0
bold	bold	j	bold	bold	0
with	with	p-acp	with	with	0
that	that	cst	that	that	0
Persian	Persian	jp	Persian	persian	0
word	word	n1	word	word	0
,	,	,	,	,	0
our	our	po12	our	our	0
English	English	jp	English	english	0
being	being	vbg	being	be	0
so	so	av	so	so	0
short	short	j	short	short	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
seeming	seeming	n-vvg	seeming	seem	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
the	the	dt	the	the	0
enforce	enforce	vvi	enforce	enforce	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
that	that	d	that	that	0
lyeth	lyeth	vvz	lies	lie	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
)	)	)	)	)	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
pelled	pelled	j	pelled	pelled	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
tired	tired	j-vvn	tired	tire	0
horse	horse	n1	horse	horse	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
his	his	po31	his	his	0
Stage	Stage	n1	Stage	stage	0
:	:	:	:	:	0
so	so	av	so	so	0
we	we	pns12	we	we	0
to	to	p-acp	to	to	0
put-forth	put-forth	j	put-forth	put-forth	0
our	our	po12	our	our	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
intend	intend	vvb	intend	intend	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
one	one	pi	one	one	0
after	after	p-acp	after	after	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
judge	judge	vvi	judge	judge	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Minister	Minister	n1	Minister	minister	0
of	of	pp-f	of	of	0
Mr	Mr	n1	Mr	mr.	0
Hs	Hs	zz	Hs	hs	0
perswasion	perswasion	n1	persuasion	persuasion	0
in	in	p-acp	in	in	0
Reference	Reference	n1	Reference	reference	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Discipline	Discipline	n1	Discipline	discipline	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
House	House	n1	House	house	0
,	,	,	,	,	0
free	free	j	free	free	0
Admission	Admission	n1	Admission	admission	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
