FOr	FOr	p-acp	FOr	for	0
a	a	dt	a	a	0
testimoni	testimoni	fw-la	testimoni	testimoni	0
∣	∣	sy	∣	∣	0
all	all	av-d	all	all	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
and	and	cc	and	and	0
doo	doo	vdb	do	do	0
(	(	(	(	(	0
I	I	pns11	I	i	0
praise	praise	vvb	praise	praise	0
God	God	np1	God	God	0
)	)	)	)	)	0
bestowe	bestowe	vvb	bestow	bestow	0
the	the	dt	the	the	0
pretious	pretious	j	precious	precious	0
treasure	treasure	n1	treasure	treasure	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
,	,	,	,	,	0
euen	euen	av	even	even	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
virginitie	virginitie	n1	virginity	virginity	0
or	or	cc	or	or	0
maiden	maiden	n1	maiden	maiden	0
∣	∣	sy	∣	∣	0
hood	hood	n1	hood	hood	0
;	;	;	;	;	0
lo	lo	uh	lo	lo	0
heare	heare	vvb	hear	hear	0
I	I	pns11	I	i	0
dedicate	dedicate	vvb	dedicate	dedicate	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
good	good	j	good	good	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
Gentlewo	Gentlewo	np1	Gentlewo	Gentlewo	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
desire	desire	n1	desire	desire	0
to	to	pc-acp	to	to	0
inuocate	inuocate	vvi	invocate	invocate	0
and	and	cc	and	and	0
call	call	vvi	call	call	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
a	a	dt	a	a	0
small	small	j	small	small	0
handfull	handfull	n1	handful	handful	0
of	of	pp-f	of	of	0
grose	grose	j	grose	gross	0
hearbs	hearbs	n2	herbs	herb	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	p-acp	to	to	0
ga	ga	fw-es	ga	ga	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
garden	garden	n1	garden	garden	0
of	of	pp-f	of	of	0
Gods	Gods	n2	Gods	god	0
most	most	av-ds	most	most	0
holie	holie	j	holy	holy	0
word	word	n1	word	word	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
that	that	d	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
anie	anie	d	any	any	0
vnpurenes	vnpurenes	n1	unpureness	unpureness	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
in	in	a-acp	in	in	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
(	(	(	(	(	0
peraduenture	peraduenture	av	peradventure	peradventure	0
)	)	)	)	)	0
my	my	po11	my	my	0
rudenes	rudenes	n1	rudeness	rudeness	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
plucked	plucked	vvn	plucked	pluck	0
them	them	pno32	them	they	0
vp	vp	a-acp	up	up	0
vnreuerent	vnreuerent	j	unreverent	unreverent	0
∣	∣	sy	∣	∣	0
lie	lie	vvb	lie	lie	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
zeale	zeale	n1	zeal	zeal	0
.	.	.	.	.	1
Wherevpon	Wherevpon	c-crq	Whereupon	whereupon	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
iudged	iudged	vvn	judged	judge	0
grose	grose	n1	grose	grose	0
and	and	cc	and	and	0
vn	vn	zz	vn	vn	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
presuming	presuming	vvg	presuming	presume	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
