¶	¶	¶	¶	¶	0
To	To	pc-acp	To	to	0
the	the	dt	the	the	0
ryght	ryght	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
Dukes	Dukes	n2	Dukes	duke	0
&	&	cc	&	and	0
Erles	Erles	n2	Earls	earl	0
,	,	,	,	,	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Northfolke	Northfolke	np1	Northfolke	Northfolke	0
,	,	,	,	,	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Suthfolke	Suthfolke	np1	Suthfolke	Suthfolke	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
A	A	np1	A	A	0
∣	∣	sy	∣	∣	0
rundale	rundale	n1	rundale	rundale	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Derbi	Derbi	np1	Derbi	Derbi	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Shrosbery	Shrosbery	np1	Shrosbery	Shrosbery	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Huntyng	Huntyng	np1	Huntyng	Huntyng	0
∣	∣	sy	∣	∣	0
ton	ton	n1	tun	tun	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Combrelande	Combrelande	np1	Combrelande	Combrelande	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Westmerlande	Westmerlande	n1	Westmerlande	westmerlande	0
,	,	,	,	,	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Penbrook	Penbrook	np1	Penbrook	Penbrook	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Warwik	Warwik	np1	Warwik	Warwik	0
William	William	np1	William	William	0
Turner	Turner	np1	Turner	Turner	0
Physician	Physician	n1	Physician	physician	0
wys	wys	vvb	wys	wis	0
∣	∣	sy	∣	∣	0
sheth	sheth	vvz	sheth	sh	0
perfyt	perfyt	j	perfect	perfect	0
knowlege	knowlege	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
∣	∣	sy	∣	∣	0
des	des	fw-mi	des	des	0
holy	holy	j	holy	holy	0
worde	worde	n1	word	word	0
and	and	cc	and	and	0
grace	grace	n1	grace	grace	0
to	to	pc-acp	to	to	0
lyue	lyue	vvi	live	live	0
acordyng	acordyng	vvg	according	accord	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
