THIS	THIS	np1	THIS	This	0
FOR	FOR	p-acp	FOR	for	0
Dear	Dear	j-jn	Dear	dear	0
Friends	Friends	n2	Friends	friend	0
IN	IN	p-acp	IN	in	0
LONDON	LONDON	np1	LONDON	London	0
,	,	,	,	,	0
And	And	cc	And	and	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Aboard	Aboard	p-acp	Aboard	aboard	0
the	the	dt	the	the	0
Ship	Ship	n1	Ship	ship	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
Transportation	Transportation	n1	Transportation	transportation	0
;	;	;	;	;	0
or	or	cc	or	or	0
else	else	av	else	else	0
where	where	c-crq	where	where	0
all	all	d	all	all	0
abroad	abroad	av	abroad	abroad	0
.	.	.	.	.	1
DEAR	DEAR	j-jn	DEAR	dear	0
and	and	cc	and	and	0
Valiant	Valiant	j	Valiant	valiant	0
Children	Children	n2	Children	child	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
High	High	j	High	high	0
,	,	,	,	,	0
your	your	po22	your	your	0
faithful	faithful	j	faithful	faithful	0
standing	standing	n-vvg	standing	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meek	meek	j	meek	meek	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bear	bear	vvi	bear	bear	0
your	your	po22	your	your	0
Testimony	Testimony	n1	Testimony	testimony	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
calls	calls	vvz	calls	call	0
you	you	pn22	you	you	0
unto	unto	p-acp	unto	unto	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
perfume	perfume	n1	perfume	perfume	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
great	great	j	great	great	0
refreshing	refreshing	n-vvg	refreshing	refresh	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
;	;	;	;	;	0
Therefore	Therefore	av	Therefore	therefore	0
,	,	,	,	,	0
abide	abide	vvb	abide	abide	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pue	pue	uh	pue	pue	0
meek	meek	j	meek	meek	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
receive	receive	vvb	receive	receive	0
your	your	po22	your	your	0
blessed	blessed	j-vvn	blessed	bless	0
reward	reward	n1	reward	reward	0
you	you	pn22	you	you	0
faithful	faithful	j	faithful	faithful	0
Lambs	Lambs	n2	Lambs	lamb	0
,	,	,	,	,	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
Crown	Crown	n1	Crown	crown	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
is	is	vbz	is	be	0
yours	yours	png22	yours	you	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
;	;	;	;	;	0
Oh	Oh	uh	O	oh	0
feel	feel	vvb	feel	feel	0
the	the	dt	the	the	0
earning	earning	vvg	earning	earn	0
of	of	pp-f	of	of	0
Bowels	Bowels	n2	Bowels	bowel	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
breakings	breakings	n2	breakings	break	0
of	of	pp-f	of	of	0
heart	heart	n1	heart	heart	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
;	;	;	;	;	0
Oh	Oh	uh	O	oh	0
can	can	vmb	can	can	0
we	we	pns12	we	we	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
member	member	n1	member	member	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
our	our	po12	our	our	0
eyes	eyes	n2	eyes	eye	0
water	water	vvi	water	water	0
with	with	p-acp	with	with	0
tears	tears	n2	tears	tear	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
passionating	passionating	vvg	passionating	passionate	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
simpathizing	simpathizing	vvg	sympathizing	sympathize	0
Spirit	Spirit	n1	Spirit	spirit	0
that	that	cst	that	that	0
indears	indears	vvz	endears	endear	0
,	,	,	,	,	0
and	and	cc	and	and	0
unites	unites	vvz	unites	unite	0
us	us	pno12	us	we	0
one	one	crd	one	one	0
unto	unto	p-acp	unto	unto	0
another	another	n-jn	another	another	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
my	my	po11	my	my	0
Soul	Soul	n1	Soul	soul	0
breaths	breaths	n2	breathes	breath	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
Lord	Lord	n1	Lord	lord	0
sweeten	sweeten	vvb	sweeten	sweeten	0
the	the	dt	the	the	0
passage	passage	n1	passage	passage	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
Cups	Cups	n2	Cups	cup	0
pleasant	pleasant	j	pleasant	pleasant	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
suffers	suffers	vvz	suffers	suffer	0
to	to	pc-acp	to	to	0
