Right	Right	av-jn	Right	right	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
,	,	,	,	,	0
PLato	PLato	np1	PLato	PLato	0
accounted	accounted	vvd	accounted	account	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Phi	Phi	np1	Phi	Phi	0
∣	∣	sy	∣	∣	0
losopher	losopher	n1	losopher	losopher	0
,	,	,	,	,	0
that	that	cst	that	that	0
studies	studies	vvz	studies	study	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
God	God	np1	God	God	0
.	.	.	.	.	1
Divines	Divines	n2-jn	Divines	divine	0
go	go	vvb	go	go	0
far	far	av-j	far	far	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
and	and	cc	and	and	0
account	account	vvb	account	account	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
studies	studies	vvz	studies	study	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
fear	fear	vvi	fear	fear	0
and	and	cc	and	and	0
serve	serve	vvi	serve	serve	0
him	him	pno31	him	he	0
.	.	.	.	.	1
To	To	pc-acp	To	to	0
do	do	vdi	do	do	0
this	this	d	this	this	0
,	,	,	,	,	0
is	is	vbz	is	be	0
totum	totum	fw-la	totum	totum	0
Hominis	Hominis	fw-la	Hominis	hominis	0
,	,	,	,	,	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
of	of	pp-f	of	of	0
Man	Man	n1	Man	man	0
;	;	;	;	;	0
Parisiens	Parisiens	npg1	Parisiens	parisiens	0
.	.	.	.	.	0
totum	totum	fw-la	totum	totum	0
Officii	Officii	np1	Officii	Officii	0
,	,	,	,	,	0
totum	totum	fw-la	totum	totum	0
Conatus	Conatus	np1	Conatus	Conatus	0
,	,	,	,	,	0
totum	totum	fw-la	totum	totum	0
Fae	Fae	zz	Fae	fae	0
∣	∣	sy	∣	∣	0
licitatis	licitatis	fw-la	licitatis	licitatis	0
