Honour'd	Honour'd	j-vvn	Honoured	honour	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
first	first	ord	first	first	0
Prospect	Prospect	n1	Prospect	prospect	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
methoughts	methoughts	n2	methought	methought	0
,	,	,	,	,	0
presented	presented	vvd	presented	present	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
Landskip	Landskip	n1	Landskip	landscape	0
of	of	pp-f	of	of	0
Candor	Candor	n1	Candor	candour	0
and	and	cc	and	and	0
Ingenuity	Ingenuity	n1	Ingenuity	ingenuity	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
sweetness	sweetness	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
Disposition	Disposition	n1	Disposition	disposition	0
and	and	cc	and	and	0
native	native	j-jn	native	native	0
Goodness	Goodness	n1	Goodness	goodness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
sently	sently	av-j	sently	sent	0
began	began	vvd	began	begin	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
admire	admire	vvi	admire	admire	0
the	the	dt	the	the	0
Sce	Sce	vvi	Sce	see	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Accomplishments	Accomplishments	n2	Accomplishments	accomplishment	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
passionately	passionately	av-j	passionately	passionate	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ravisht	ravisht	vvn	ravished	ravish	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Love	Love	n1	Love	love	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
secret	secret	j-jn	secret	secret	0
charms	charms	n2	charms	charm	0
of	of	pp-f	of	of	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
Excellency	Excellency	n1	Excellency	excellency	0
(	(	(	(	(	0
Ethicks	Ethicks	n2	Ethics	ethic	0
her	her	po31	her	her	0
self	self	n1	self	self	0
can't	can't	vmb|pn31	can't	can|it	0
give	give	vvb	give	give	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
name	name	n1	name	name	0
)	)	)	)	)	0
that	that	cst	that	that	0
runs	runs	vvz	runs	run	0
through	through	p-acp	through	through	0
and	and	cc	and	and	0
adorns	adorns	vvz	adorns	adorn	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
frame	frame	n1	frame	frame	0
and	and	cc	and	and	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Life	Life	n1	Life	life	0
and	and	cc	and	and	0
Being	Being	vbg	Being	be	0
,	,	,	,	,	0
did	did	vdd	did	do	0
so	so	av	so	so	0
captivate	captivate	vvi	captivate	captivate	0
and	and	cc	and	and	0
affect	affect	vvb	affect	affect	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
wisht	wisht	vvd	wished	wish	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
so	so	av	so	so	0
happy	happy	j	happy	happy	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
Mercy	Mercy	n1	Mercy	mercy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Worthy	Worthy	j	Worthy	worthy	0
Acquaintance	Acquaintance	n1	Acquaintance	acquaintance	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
influence	influence	n1	influence	influence	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
much	much	d	much	much	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wish't	wish't	vvd	wished	wish	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
blest	blest	vvn	blessed	bless	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
of	of	pp-f	of	of	0
expressing	expressing	vvg	expressing	express	0
the	the	dt	the	the	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Homage	Homage	n1	Homage	homage	0
and	and	cc	and	and	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
vice	vice	n1	vice	vice	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
presenting	presenting	vvg	presenting	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
somewhat	somewhat	av	somewhat	somewhat	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Pledge	Pledge	n1	Pledge	pledge	0
and	and	cc	and	and	0
Emblem	Emblem	n1	Emblem	emblem	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
profoundest	profoundest	js	profoundest	profound	0
Esteem	Esteem	n1	Esteem	esteem	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
devout	devout	j	devout	devout	0
Affection	Affection	n1	Affection	affection	0
I	I	pns11	I	i	0
bear	bear	vvb	bear	bear	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
indeed	indeed	av	indeed	indeed	0
Providence	Providence	n1	Providence	providence	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
so	so	av	so	so	0
propitious	propitious	j	propitious	propitious	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swer	swer	n1	swer	swer	0
my	my	po11	my	my	0
desires	desires	n2	desires	desire	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
occasionally	occasionally	av-j	occasionally	occasional	0
fixing	fixing	vvg	fixing	fix	0
me	me	pno11	me	i	0
some	some	d	some	some	0
∣	∣	sy	∣	∣	0
times	times	av	times	time	0
near	near	av-j	near	near	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
placing	placing	vvg	placing	place	0
me	me	pno11	me	i	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
Verge	Verge	n1	Verge	verge	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Paradise	Paradise	n1	Paradise	paradise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Pre	Pre	fw-es	Pre	pre	0
∣	∣	sy	∣	∣	0
sence	sence	n1	sense	sense	0
Consecrates	Consecrates	vvz	Consecrates	consecrate	0
where	where	c-crq	where	where	0
ever	ever	av	ever	ever	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
often	often	av	often	often	0
been	been	vbn	been	be	0
ennobled	ennobled	vvn	ennobled	ennoble	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
almost	almost	av	almost	almost	0
deified	deified	vvn	deified	deify	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Elisium	Elisium	np1	Elisium	Elysium	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Company	Company	n1	Company	company	0
,	,	,	,	,	0
have	have	vhb	have	have	0
become	become	vvn	become	become	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Converse	Converse	n1	Converse	converse	0
,	,	,	,	,	0
have	have	vhb	have	have	0
grown	grown	vvn	grown	grow	0
Prudent	Prudent	j	Prudent	prudent	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Example	Example	n1	Example	example	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
maintained	maintained	vvn	maintained	maintain	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Table	Table	n1	Table	table	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
feasted	feasted	vvn	feasted	feast	0
with	with	p-acp	with	with	0
Civilities	Civilities	n2	Civilities	civility	0
both	both	av-d	both	both	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Person	Person	n1	Person	person	0
and	and	cc	and	and	0
Fortune	Fortune	n1	Fortune	fortune	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
joyed	joyed	vvd	joyed	joy	0
the	the	dt	the	the	0
Favours	Favours	n2	Favours	favour	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
circumstances	circumstances	n2	circumstances	circumstance	0
and	and	cc	and	and	0
capacities	capacities	n2	capacities	capacity	0
;	;	;	;	;	0
For	For	p-acp	For	for	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
return	return	vvb	return	return	0
you	you	pn22	you	you	0
an	an	dt	and	a	0
Eterni	Eterni	fw-la	Eterni	eterni	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
of	of	pp-f	of	of	0
Thanks	Thanks	n2	Thanks	thank	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
unsuccesseful	unsuccesseful	j	unsuccessful	unsuccessful	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
second	second	ord	second	second	0
Prayers	Prayers	n2	Prayers	prayer	0
,	,	,	,	,	0
Fortune	Fortune	n1	Fortune	fortune	0
having	having	vhg	having	have	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
mine	mine	po11	mine	my	0
hands	hands	n2	hands	hand	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
capacitated	capacitated	vvn	capacitated	capacitate	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
somewhat	somewhat	av	somewhat	somewhat	0
into	into	p-acp	into	into	0
yours	yours	png22	yours	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
mean	mean	vvb	mean	mean	0
this	this	d	this	this	0
inconsiderable	inconsiderable	j	inconsiderable	inconsiderable	0
trifle	trifle	n1	trifle	trifle	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Present	Present	j	Present	present	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
ra	ra	uh	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Toy	Toy	n1	Toy	toy	0
to	to	pc-acp	to	to	0
play	play	vvi	play	play	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
divert	divert	vvi	divert	divert	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
pardon	pardon	vvi	pardon	pardon	0
the	the	dt	the	the	0
Solecism	Solecism	n1	Solecism	solecism	0
,	,	,	,	,	0
and	and	cc	and	and	0
Impropriety	Impropriety	n1	Impropriety	impropriety	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gift	Gift	n1	Gift	gift	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confess	confess	vvi	confess	confess	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sensible	sensible	j	sensible	sensible	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
Errour	Errour	n1	Error	error	0
in	in	p-acp	in	in	0
Prefacing	Prefacing	vvg	Prefacing	preface	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
stately	stately	j	stately	stately	0
a	a	dt	a	a	0
Frontispeice	Frontispeice	n1	Frontispeice	frontispeice	0
so	so	av	so	so	0
mean	mean	j	mean	mean	0
an	an	dt	and	a	0
Edifice	Edifice	n1	Edifice	edifice	0
;	;	;	;	;	0
I	I	pns11	I	i	0
mean	mean	vvb	mean	mean	0
in	in	p-acp	in	in	0
prefixing	prefixing	vvg	prefixing	prefix	0
your	your	po22	your	your	0
name	name	n1	name	name	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
poor	poor	j	poor	poor	0
a	a	dt	a	a	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
,	,	,	,	,	0
your	your	po22	your	your	0
more	more	n1	more	moor	0
curious	curious	j	curious	curious	0
Ingenuity	Ingenuity	n1	Ingenuity	ingenuity	0
,	,	,	,	,	0
large	large	j	large	large	0
