CONSIDERING	CONSIDERING	vvg	CONSIDERING	consider	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
vertuous	vertuous	j	virtuous	virtuous	0
M	M	sy	M	m	0
.	.	.	.	.	0
ris	ris	zz	ris	ris	0
M.	M.	n1	M.	m.	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
whom	whom	ro-crq	whom	who	0
of	of	pp-f	of	of	0
mortal	mortal	j-jn	mortal	mortal	0
crea	crea	n1	crea	crea	0
∣	∣	sy	∣	∣	0
tures	tures	av	tures	tures	0
,	,	,	,	,	0
euen	euen	av	even	even	0
next	next	ord	next	next	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
glorious	glorious	j	glorious	glorious	0
Virgin	Virgin	n1	Virgin	virgin	0
the	the	dt	the	the	0
Mother	Mother	n1	Mother	mother	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
mercifull	mercifull	j	merciful	merciful	0
and	and	cc	and	and	0
great	great	j	great	great	0
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
and	and	cc	and	and	0
deliuer	deliuer	vvi	deliver	deliver	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
(	(	(	(	(	0
being	being	vbg	being	be	0
as	as	p-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
gate	gate	n1	gate	gate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
flourishing	flourishing	j-vvg	flourishing	flourish	0
pla	pla	zz	pla	pla	0
∣	∣	sy	∣	∣	0
ce	ce	fw-fr	ce	ce	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
true	true	j	true	true	0
spirituall	spirituall	j	spiritual	spiritual	0
Paradise	Paradise	n1	Paradise	paradise	0
was	was	vbds	was	be	0
planted	planted	vvn	planted	plant	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
opened	opened	vvn	opened	open	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
well-fare	well-fare	n1	welfare	welfare	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
distressed	distressed	j-vvn	distressed	distress	0
Countrey	Countrey	n1	Country	country	0
:	:	:	:	:	0
me	me	pno11	me	i	0
thought	thought	vvd	thought	think	0
none	none	pix	none	none	0
could	could	vmd	could	can	0
better	better	vvi	better	better	0
performe	performe	vvi	perform	perform	0
so	so	av	so	so	0
singular	singular	j	singular	singular	0
an	an	dt	and	a	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
duty	duty	n1	duty	duty	0
towards	towards	p-acp	towards	towards	0
B.	B.	np1	B.	B.	0
Mary	Mary	vvi	Marry	marry	0
of	of	pp-f	of	of	0
Lo	Lo	np1	Lo	Lo	0
∣	∣	sy	∣	∣	0
reto	reto	av	reto	reto	0
,	,	,	,	,	0
than	than	cs	than	than	0
they	they	pns32	they	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
Virginall	Virginall	j	Virginal	virginal	0
purity	purity	n1	purity	purity	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
euē	euē	av	even	even	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
cradle	cradle	n1	cradle	cradle	0
beene	beene	vbn	been	be	0
allwaies	allwaies	av	always	always	0
specially	specially	av-j	specially	special	0
deuoted	deuoted	j-vvn	devoted	devote	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
place	place	n1	place	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
much	much	d	much	much	0
desired	desired	vvn	desired	desire	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
the	the	dt	the	the	0
meruailous	meruailous	j	marvelous	marvellous	0
won	won	n1	wone	wone	0
∣	∣	sy	∣	∣	0
ders	ders	n2-jn	dears	dear	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
mercifull	mercifull	j	merciful	merciful	0
a	a	dt	a	a	0
Patronesse	Patronesse	n1	Patroness	patroness	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
soules	soules	n2	souls	soul	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
fully	fully	av-j	fully	full	0
replenished	replenished	vvn	replenished	replenish	0
,	,	,	,	,	0
and	and	cc	and	and	0
happily	happily	av-j	happily	happy	0
blest	blest	vvn	blessed	bless	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
great	great	j	great	great	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
fort	fort	n1	fort	fort	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
diuine	diuine	j-jn	divine	divine	0
a	a	dt	a	a	0
benefit	benefit	n1	benefit	benefit	0
.	.	.	.	.	1
Among	Among	p-acp	Among	among	0
whome	whome	ro-crq	whom	who	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
iudged	iudged	vvn	judged	judge	0
more	more	dc	more	more	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
than	than	cs	than	than	0
shee	shee	pns31	she	she	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whome	whome	ro-crq	whom	who	0
from	from	p-acp	from	from	0
infancy	infancy	n1	infancy	infancy	0
,	,	,	,	,	0
the	the	dt	the	the	0
disposer	disposer	n1	disposer	disposer	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
celestiall	celestiall	j	celestial	celestial	0
graces	graces	n2	graces	grace	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
dwelt	dwelt	vvn	dwelled	dwell	0
both	both	d	both	both	0
by	by	p-acp	by	by	0
name	name	n1	name	name	0
&	&	cc	&	and	0
grace	grace	n1	grace	grace	0
?	?	?	?	?	1
And	And	cc	And	and	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
may	may	vmb	may	may	0
allwaies	allwaies	av	always	always	0
dwell	dwell	vvi	dwell	dwell	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
reli	reli	fw-la	reli	reli	0
∣	∣	sy	∣	∣	0
gious	gious	j	gious	gious	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
soules	soules	n2	souls	soul	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
(	(	(	(	(	0
deuout	deuout	j	devout	devout	0
M	M	sy	M	m	0
.	.	.	.	.	0
ris	ris	zz	ris	ris	0
M.	M.	n1	M.	m.	0
)	)	)	)	)	1
I	I	pns11	I	i	0
present	present	vvb	present	present	0
this	this	d	this	this	0
small	small	j	small	small	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dutifull	dutifull	j	dutiful	dutiful	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
singular	singular	j	singular	singular	0
piety	piety	n1	piety	piety	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
zeale	zeale	n1	zeal	zeal	0
towards	towards	p-acp	towards	towards	0
this	this	d	this	this	0
miraculous	miraculous	j	miraculous	miraculous	0
place	place	n1	place	place	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
what	what	r-crq	what	what	0
vnfayned	vnfayned	j	unfeigned	unfeigned	0
happines	happines	n1	happiness	happiness	0
(	(	(	(	(	0
if	if	cs	if	if	0
any	any	d	any	any	0
be	be	vbb	be	be	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
)	)	)	)	)	0
this	this	d	this	this	0
little	little	j	little	little	0
booke	booke	n1	book	book	0
doth	doth	vdz	does	do	0
set	set	vvi	set	set	0
before	before	p-acp	before	before	0
their	their	po32	their	their	0
eyes	eyes	n2	eyes	eye	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	a-acp	as	as	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
glorious	glorious	j	glorious	glorious	0
merits	merits	n2	merits	merit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
disposi	disposi	n1	disposi	disposi	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
mercies	mercies	n2	mercies	mercy	0
,	,	,	,	,	0
B.	B.	np1	B.	B.	0
Mary	Mary	uh	Marry	mary	0
of	of	pp-f	of	of	0
Loreto	Loreto	np1	Loreto	Loreto	0
hath	hath	vhz	hath	have	0
deserued	deserued	vvn	deserved	deserve	0
the	the	dt	the	the	0
principality	principality	n1	principality	principality	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
heauenly	heauenly	j	heavenly	heavenly	0
crea	crea	n1	crea	crea	0
∣	∣	sy	∣	∣	0
tures	tures	av	tures	tures	0
:	:	:	:	:	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sanctification	sanctification	n1	sanctification	sanctification	0
and	and	cc	and	and	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
Mary	Mary	np1	Mary	Mary	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
sacred	sacred	j	sacred	sacred	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Loreto	Loreto	np1	Loreto	Loreto	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
euer	euer	av	ever	ever	0
beene	beene	vbn	been	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
places	places	n2	places	place	0
consecrated	consecrated	vvn	consecrated	consecrate	0
to	to	p-acp	to	to	0
her	her	po31	her	her	0
name	name	n1	name	name	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
meruailous	meruailous	j	marvelous	marvellous	0
a	a	dt	a	a	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
most	most	ds	most	most	0
B.	B.	np1	B.	B.	0
Queene	Queene	n1	Queen	queen	0
