SIRS	SIRS	np1	SIRS	Sirs	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Favours	Favours	n2	Favours	favour	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
from	from	p-acp	from	from	0
Your	Your	po22	Your	your	0
Excellency	Excellency	n1	Excellency	excellency	0
since	since	p-acp	since	since	0
Your	Your	po22	Your	your	0
Ac	Ac	fw-la	Ac	ac	0
∣	∣	sy	∣	∣	0
cession	cession	n1	session	session	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
You	You	pn22	You	you	0
the	the	dt	the	the	0
Honourable	Honourable	j	Honourable	honourable	0
Members	Members	n2	Members	member	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Council	Council	n1	Council	council	0
here	here	av	here	here	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
from	from	p-acp	from	from	0
You	You	pn22	You	you	0
the	the	dt	the	the	0
Worthy	Worthy	j	Worthy	worthy	0
and	and	cc	and	and	0
Wor	Wor	zz	Wor	wor	0
∣	∣	sy	∣	∣	0
shipful	shipful	j	shipful	shipful	0
Representatives	Representatives	n2-j	Representatives	representatives	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
People	People	n1	People	people	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
General	General	j	General	general	0
Assembly	Assembly	n1	Assembly	assembly	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Inhabitants	Inhabitants	n2	Inhabitants	inhabitant	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Island	Island	n1	Island	island	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
,	,	,	,	,	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
so	so	av	so	so	0
many	many	d	many	many	0
and	and	cc	and	and	0
Eminent	Eminent	j	Eminent	eminent	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
truly	truly	av-j	truly	true	0
sensible	sensible	j	sensible	sensible	0
they	they	pns32	they	they	0
exceed	exceed	vvb	exceed	exceed	0
all	all	d	all	all	0
possibility	possibility	n1	possibility	possibility	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
just	just	j	just	just	0
Compensation	Compensation	n1	Compensation	compensation	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
presume	presume	vvi	presume	presume	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Compilement	Compilement	n1	Compilement	compilement	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Tract	Tract	n1	Tract	tract	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
LAWS	LAWS	n2	LAWS	law	0
(	(	(	(	(	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
mility	mility	n1	mility	mility	0
dedicated	dedicated	vvn	dedicated	dedicate	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Excellency	Excellency	n1	Excellency	excellency	0
,	,	,	,	,	0
Council	Council	n1	Council	council	0
and	and	cc	and	and	0
General	General	j	General	general	0
Assembly	Assembly	n1	Assembly	assembly	0
)	)	)	)	)	0
ought	ought	vmd	ought	ought	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
measure	measure	n1	measure	measure	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
esteemed	esteemed	vvn	esteemed	esteem	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
as	as	p-acp	as	as	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Retribution	Retribution	n1	Retribution	retribution	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
attempt	attempt	vvi	attempt	attempt	0
this	this	d	this	this	0
Work	Work	n1	Work	work	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
such	such	d	such	such	0
Motive	Motive	n1	Motive	motive	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
purely	purely	av-j	purely	pure	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
convinced	convinced	vvn	convinced	convince	0
that	that	cst	that	that	0
every	every	d	every	every	0
Man	Man	n1	Man	man	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Debtor	Debtor	n1	Debtor	debtor	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Country	Country	n1	Country	country	0
and	and	cc	and	and	0
Profession	Profession	n1	Profession	profession	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
think	think	vvi	think	think	0
my	my	po11	my	my	0
self	self	n1	self	self	0
obliged	obliged	vvn	obliged	oblige	0
in	in	p-acp	in	in	0
Duty	Duty	n1	Duty	duty	0
to	to	pc-acp	to	to	0
exert	exert	vvi	exert	exert	0
my	my	po11	my	my	0
utmost	utmost	j	utmost	utmost	0
Efforts	Efforts	n2	Efforts	effort	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
Service	Service	n1	Service	service	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
lay	lay	vvb	lay	lay	0
most	most	ds	most	most	0
proper	proper	j	proper	proper	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
Post	Post	n1	Post	post	0
and	and	cc	and	and	0
Profession	Profession	n1	Profession	profession	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
jectured	jectured	vvd	jectured	jecture	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
Collection	Collection	n1	Collection	collection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
LAWS	LAWS	n2	LAWS	law	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
acceptable	acceptable	j	acceptable	acceptable	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
numerous	numerous	j	numerous	numerous	0
Disadvantages	Disadvantages	n2	Disadvantages	disadvantage	0
daily	daily	av-j	daily	daily	0
suffered	suffered	vvn	suffered	suffer	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
many	many	d	many	many	0
Attempts	Attempts	vvz	Attempts	attempt	0
formerly	formerly	av-j	formerly	former	0
without	without	p-acp	without	without	0
Effects	Effects	n2	Effects	effect	0
made	made	vvn	made	make	0
towards	towards	p-acp	towards	towards	0
such	such	d	such	such	0
a	a	dt	a	a	0
Col	Col	fw-fr	Col	col	0
∣	∣	sy	∣	∣	0
lection	lection	n1	lection	lection	0
,	,	,	,	,	0
convincingly	convincingly	av-vvg	convincingly	convince	0
shewed	shewed	vvd	showed	show	0
the	the	dt	the	the	0
difficulty	difficulty	n1	difficulty	difficulty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Task	Task	n1	Task	task	0
,	,	,	,	,	0
so	so	av	so	so	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
as	as	p-acp	as	as	0
manifestly	manifestly	av-j	manifestly	manifest	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
clare	clare	vvb	clare	clare	0
the	the	pno32	thee	they	0
general	general	j	general	general	0
Benefit	Benefit	n1	Benefit	benefit	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
aimed	aimed	vvn	aimed	aim	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
and	and	cc	and	and	0
expected	expected	vvd	expected	expect	0
from	from	p-acp	from	from	0
such	such	d	such	such	0
a	a	dt	a	a	0
Performance	Performance	n1	Performance	performance	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
confirmed	confirmed	vvn	confirmed	confirm	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
former	former	j	former	former	0
Opinion	Opinion	n1	Opinion	opinion	0
,	,	,	,	,	0
and	and	cc	and	and	0
incouraged	incouraged	vvn	encouraged	encourage	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
some	some	d	some	some	0
In	In	n1	In	inn	0
∣	∣	sy	∣	∣	0
timations	timations	n2	timations	timation	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
my	my	po11	my	my	0
Purposes	Purposes	n2	Purposes	purpose	0
and	and	cc	and	and	0
Designations	Designations	n2	Designations	designation	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Assembly	Assembly	n1	Assembly	assembly	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
found	found	vvd	found	find	0
such	such	d	such	such	0
an	an	dt	and	a	0
Acceptation	Acceptation	n1	Acceptation	acceptation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
easily	easily	av-j	easily	easy	0
convinced	convinced	vvd	convinced	convince	0
me	me	pno11	me	i	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
better	better	av-jc	better	better	0
acquit	acquit	vvi	acquit	acquit	0
my	my	po11	my	my	0
self	self	n1	self	self	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
than	than	cs	than	than	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Tender	Tender	j	Tender	tender	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Endeavours	Endeavours	n2	Endeavours	endeavour	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Service	Service	n1	Service	service	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
good	good	j	good	good	0
Opinion	Opinion	n1	Opinion	opinion	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
poor	poor	j	poor	poor	0
Abilities	Abilities	n2	Abilities	ability	0
,	,	,	,	,	0
and	and	cc	and	and	0
obliging	obliging	vvg	obliging	oblige	0
Commands	Commands	vvz	Commands	command	0
chiefly	chiefly	av-jn	chiefly	chief	0
induced	induced	vvn	induced	induce	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Undertaking	Undertaking	n-vvg	Undertaking	undertake	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
conscious	conscious	j	conscious	conscious	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
par	par	fw-la	par	par	0
Operi	Operi	fw-la	Operi	operi	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
hope	hope	vvb	hope	hope	0
this	this	d	this	this	0
well	well	av	well	well	0
intended	intended	j-vvn	intended	intend	0
Enterprize	Enterprize	n1	Enterprise	enterprise	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
Life	Life	n1	Life	life	0
and	and	cc	and	and	0
Encouragement	Encouragement	n1	Encouragement	encouragement	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
Abler	Abler	jc	Abler	able	0
Person	Person	n1	Person	person	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
fi	fi	n2	fi	fi	0
∣	∣	sy	∣	∣	0
nishing	nishing	vvg	nishing	nish	0
Stroak	Stroak	n1	Stroke	stroke	0
,	,	,	,	,	0
and	and	cc	and	and	0
bring	bring	vvb	bring	bring	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
Perfection	Perfection	n1	Perfection	perfection	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Benefit	Benefit	n1	Benefit	benefit	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Place	Place	n1	Place	place	0
and	and	cc	and	and	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
produced	produced	vvn	produced	produce	0
and	and	cc	and	and	0
raised	raised	vvd	raised	raise	0
many	many	d	many	many	0
great	great	j	great	great	0
Estates	Estates	n2	Estates	estate	0
to	to	p-acp	to	to	0
several	several	j	several	several	0
Merchants	Merchants	n2	Merchant's	merchant	0
,	,	,	,	,	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
Traders	Traders	n2	Traders	trader	0
hither	hither	av	hither	hither	0
;	;	;	;	;	0
and	and	cc	and	and	0
also	also	av	also	also	0
considerable	considerable	j	considerable	considerable	0
and	and	cc	and	and	0
great	great	j	great	great	0
Revenues	Revenues	n2	Revenues	revenue	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
