REcommendations	REcommendations	n2	REcommendations	recommendation	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
thanks	thanks	n2	thanks	thank	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
your	your	po22	your	your	0
paines	paines	n2	pains	pain	0
and	and	cc	and	and	0
courtesies	courtesies	n2	courtesies	courtesy	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
diligence	diligence	n1	diligence	diligence	0
and	and	cc	and	and	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
quiring	quiring	vvg	choiring	choir	0
,	,	,	,	,	0
and	and	cc	and	and	0
finding	finding	vvg	finding	find	0
diuers	diuers	j	diverse	diverse	0
good	good	j	good	good	0
secrets	secrets	n2-jn	secrets	secret	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
proceede	proceede	vvi	proceed	proceed	0
with	with	p-acp	with	with	0
double	double	j-jn	double	double	0
capping	capping	vvg	capping	cap	0
your	your	po22	your	your	0
Loadstone	Loadstone	n1	Loadstone	lodestone	0
you	you	pn22	you	you	0
speake	speake	vvb	speak	speak	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
write	write	vvb	write	write	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
man	man	n1	man	man	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
haue	haue	vhi	have	have	0
any	any	d	any	any	0
leisure	leisure	n1	leisure	leisure	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
moneth	moneth	n1	month	month	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
conferre	conferre	vvi	confer	confer	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
shewed	shewed	vvn	showed	show	0
mee	mee	pno11	me	i	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
more	more	av-dc	more	more	0
light	light	j	light	light	0
than	than	cs	than	than	0
any	any	d	any	any	0
man	man	n1	man	man	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
commend	commend	vvi	commend	commend	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
L.	L.	n1	L.	lord	0
of	of	pp-f	of	of	0
Effingham	Effingham	np1	Effingham	Effingham	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
heere	heere	av	here	here	0
a	a	dt	a	a	0
wise	wise	j	wise	wise	0
learned	learned	j	learned	learned	0
man	man	n1	man	man	0
,	,	,	,	,	0
a	a	dt	a	a	0
Secretary	Secretary	n1	Secretary	secretary	0
of	of	pp-f	of	of	0
Venice	Venice	np1	Venice	Venice	0
,	,	,	,	,	0
he	he	pns31	he	he	0
came	came	vvd	came	come	0
sent	sent	vvn	sent	send	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
State	State	n1	State	state	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
honourably	honourably	av-j	honourably	honourable	0
recei	recei	fw-mi	recei	recei	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
Maiesty	Maiesty	n1	Majesty	majesty	0
,	,	,	,	,	0
he	he	pns31	he	he	0
brought	brought	vvd	brought	bring	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
lattin	lattin	jp	latin	latin	0
letter	letter	n1	letter	letter	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Gentle-man	Gentle-man	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
Venice	Venice	np1	Venice	Venice	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
very	very	av	very	very	0
well	well	av	well	well	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
Iohannes	Iohannes	np1	Iohannes	Johannes	0
Franciscus	Franciscus	np1	Franciscus	Franciscus	0
Sagredus	Sagredus	np1	Sagredus	Sagredus	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
Magneticall	Magneticall	j	Magnetical	magnetical	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
writeth	writeth	vvz	writeth	write	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
conserred	conserred	vvn	conserred	conser	0
with	with	p-acp	with	with	0
diuers	diuers	j	diverse	diverse	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
Venice	Venice	np1	Venice	Venice	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Readers	Readers	n2	Readers	reader	0
of	of	pp-f	of	of	0
Padua	Padua	np1	Padua	Padua	0
,	,	,	,	,	0
and	and	cc	and	and	0
reporteth	reporteth	vvz	reporteth	report	0
won	won	n1	wone	wone	0
∣	∣	sy	∣	∣	0
derfull	derfull	j	derfull	derfull	0
liking	liking	n-vvg	liking	like	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
haue	haue	vhi	have	have	0
a	a	dt	a	a	0
coppy	coppy	n1	copy	copy	0
of	of	pp-f	of	of	0
he	he	pns31	he	he	0
letter	letter	n1	letter	letter	0
:	:	:	:	:	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
purpose	purpose	vvb	purpose	purpose	0
to	to	pc-acp	to	to	0
adioyne	adioyne	vvi	adjoin	adjoin	0
an	an	dt	and	a	0
appeudix	appeudix	n1	appeudix	appeudix	0
of	of	pp-f	of	of	0
tx	tx	n1	tx	tx	0
or	or	cc	or	or	0
eight	eight	crd	eight	eight	0
sheets	sheets	n2	sheets	sheet	0
of	of	pp-f	of	of	0
paper	paper	n1	paper	paper	0
tu	tu	fw-la	tu	tu	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
a	a	dt	a	a	0
while	while	n1	while	while	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
new	new	j	new	new	0
inuentions	inuentions	n2	inventions	invention	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
experiments	experiments	n2	experiments	experiment	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
name	name	n1	name	name	0
and	and	cc	and	and	0
inuention	inuention	n1	invention	invention	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
please	please	vvb	please	please	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
knowen	knowen	vvn	known	know	0
for	for	p-acp	for	for	0
an	an	dt	and	a	0
augmenter	augmenter	n1	augmenter	augmenter	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
act	act	n1	act	act	0
.	.	.	.	.	1
So	So	av	So	so	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
haste	haste	n1	haste	haste	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leaue	leaue	n1	leave	leave	0
the	the	dt	the	the	0
xiiijth	xiiijth	ord	xiiijth	xiiijth	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	1
