MADAME	MADAME	n1	MADAME	madam	0
,	,	,	,	,	0
KNovving	KNovving	vvg	Knowing	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
conside	conside	n1-an	conside	conside	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
sanctified	sanctified	j-vvn	sanctified	sanctify	0
vessell	vessell	n1	vessel	vessel	0
of	of	pp-f	of	of	0
Pietie	Pietie	n1	Piety	piety	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
another	another	j-jn	another	another	0
Elect	Elect	j-vvn	Elect	elect	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
die	die	zz	die	die	0
)	)	)	)	)	0
spendes	spendes	vvz	spends	spend	0
the	the	dt	the	the	0
grea	grea	zz	grea	grea	0
∣	∣	sy	∣	∣	0
test	test	n1	test	test	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Selfe	Selfe	n1	Self	self	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sweet	sweet	j	sweet	sweet	0
and	and	cc	and	and	0
sacred	sacred	j	sacred	sacred	0
calmes	calmes	vvz	calms	calm	0
of	of	pp-f	of	of	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Medita	Medita	np1	Medita	Medita	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
,	,	,	,	,	0
and	and	cc	and	and	0
Contempla	Contempla	fw-la	Contempla	contempla	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
;	;	;	;	;	0
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
make	make	vvb	make	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
esteeme	esteeme	vvi	esteem	esteem	0
the	the	dt	the	the	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
indeed	indeed	av	indeed	indeed	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
)	)	)	)	)	0
your	your	po22	your	your	0
chiefest	chiefest	js-jn	chiefest	chief	0
Ioy	Ioy	n1	Joy	joy	0
;	;	;	;	;	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
your	your	po22	your	your	0
grea	grea	zz	grea	grea	0
∣	∣	sy	∣	∣	0
test	test	n1	test	test	0
Delight	Delight	n1	Delight	delight	0
,	,	,	,	,	0
and	and	cc	and	and	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
your	your	po22	your	your	0
divinest	divinest	js-jn	divinest	divine	0
Ambition	Ambition	n1	Ambition	ambition	0
,	,	,	,	,	0
and	and	cc	and	and	0
Feli	Feli	fw-la	Feli	feli	0
∣	∣	sy	∣	∣	0
citie	citie	n1	city	city	0
heere	heere	vvi	here	hear	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
.	.	.	.	.	1
I	I	pns11	I	i	0
therefore	therefore	av	therefore	therefore	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
dignitie	dignitie	n1	dignity	dignity	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
merits	merits	n2	merits	merit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
qualitie	qualitie	n1	quality	quality	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
duetie	duetie	n1	duty	duty	0
)	)	)	)	)	0
doe	doe	vdb	do	do	0
heere	heere	av	here	here	0
embolden	embolden	vvi	embolden	embolden	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
,	,	,	,	,	0
and	and	cc	and	and	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
,	,	,	,	,	0
a	a	dt	a	a	0
small	small	j	small	small	0
Tran	Tran	np1	Tran	Tran	0
∣	∣	sy	∣	∣	0
slation	slation	n1	slation	slation	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
from	from	p-acp	from	from	0
French	French	jp	French	french	0
,	,	,	,	,	0
Of	Of	pp-f	Of	of	0
a	a	dt	a	a	0
Sermon	Sermon	n1	Sermon	sermon	0
lately	lately	av-j	lately	late	0
delivered	delivered	vvn	delivered	deliver	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
worthie	worthie	j	worthy	worthy	0
Servant	Servant	n1	Servant	servant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Prote	Prote	np1	Prote	Prote	0
∣	∣	sy	∣	∣	0
stant	stant	n1	stant	stant	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Paris	Paris	np1	Paris	Paris	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
firmest	firmest	js	firmest	firm	0
poynt	poynt	n1	point	point	0
