Most	Most	ds	Most	most	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
nourable	nourable	j	nourable	nourable	0
Senators	Senators	np1	Senators	Senators	0
,	,	,	,	,	0
FOrasmuch	FOrasmuch	av	FOrasmuch	forasmuch	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
own	own	vvi	own	own	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
rude	rude	j	rude	rude	0
,	,	,	,	,	0
&	&	cc	&	and	0
plain	plain	j	plain	plain	0
speech	speech	n1	speech	speech	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mand	mand	vvn	manned	man	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Pulpit	Pulpit	n1	Pulpit	pulpit	0
,	,	,	,	,	0
and	and	cc	and	and	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
.	.	.	.	.	1
I	I	pns11	I	i	0
now	now	av	now	now	0
humbly	humbly	av-j	humbly	humble	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
small	small	j	small	small	0
portall	portall	n1	portal	portal	0
(	(	(	(	(	0
or	or	cc	or	or	0
short	short	j	short	short	0
Epi	Epi	fw-la	Epi	epi	0
∣	∣	sy	∣	∣	0
stle	stle	n1	stle	stle	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Edifice	Edifice	n1	Edifice	edifice	0
,	,	,	,	,	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
(	(	(	(	(	0
being	being	vbg	being	be	0
so	so	av	so	so	0
little	little	j	little	little	0
,	,	,	,	,	0
and	and	cc	and	and	0
built	built	vvn	built	build	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
many	many	d	many	many	0
unhewne	unhewne	j	unhewn	unhewn	0
stones	stones	n2	stones	stone	0
,	,	,	,	,	0
)	)	)	)	)	0
deserves	deserves	vvz	deserves	deserve	0
not	not	xx	not	not	0
a	a	dt	a	a	0
great	great	j	great	great	0
Porch	Porch	n1	Porch	porch	0
,	,	,	,	,	0
or	or	cc	or	or	0
Gate	Gate	n1	Gate	gate	0
before	before	p-acp	before	before	0
it	it	pn31	it	it	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
intended	intended	vvd	intended	intend	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
)	)	)	)	)	0
aime	aime	vvb	aim	aim	0
at	at	p-acp	at	at	0
and	and	cc	and	and	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
vour	vour	zz	vour	vour	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
whole	whole	j-jn	whole	whole	0
Course	Course	n1	Course	course	0
,	,	,	,	,	0
was	was	vbds	was	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Exaltation	Exaltation	n1	Exaltation	exaltation	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
humiliation	humiliation	n1	humiliation	humiliation	0
,	,	,	,	,	0
and	and	cc	and	and	0
aba	aba	fw-la	aba	aba	0
∣	∣	sy	∣	∣	0
sing	sing	vvi	sing	sing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creature	Creature	n1	Creature	creature	0
.	.	.	.	.	1
Christ	Christ	np1	Christ	Christ	0
was	was	vbds	was	be	0
once	once	a-acp	once	once	0
humbled	humbled	vvn	humbled	humble	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
exalted	exalted	vvn	exalted	exalt	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
now	now	av	now	now	0
exalted	exalted	vvn	exalted	exalt	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
humbled	humbled	vvn	humbled	humble	0
.	.	.	.	.	1
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
without	without	p-acp	without	without	0
flat	flat	j	flat	flat	0
∣	∣	sy	∣	∣	0
tery	tery	uh	tery	tery	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
honoured	honoured	vvn	honoured	honour	0
you	you	pn22	you	you	0
much	much	d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
honoured	honoured	vvn	honoured	honour	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
